"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 25 February 2008   Time: 02:43:44 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: QDR2_BY2_3_SA3 - route3 using 2 ounce copper"
"Probe 1: U17.B8 (at pin)"
"Probe 2: U15.A15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4465e-001",DC,"2.4276e-001",DC
"","   0.9777e-11","2.4465e-001","1.5487e-007","2.4276e-001","-9.8294e-003"
"","   1.9555e-11","2.4465e-001","2.8715e-007","2.4276e-001","-9.8301e-003"
"","   2.9332e-11","2.4465e-001","3.9839e-007","2.4276e-001","-9.8307e-003"
"","   3.9109e-11","2.4465e-001","4.9040e-007","2.4276e-001","-9.8313e-003"
"","   4.8886e-11","2.4466e-001","5.8471e-007","2.4276e-001","-9.8318e-003"
"","   5.8664e-11","2.4466e-001","6.4804e-007","2.4276e-001","-9.8323e-003"
"","   6.8441e-11","2.4467e-001","7.2866e-007","2.4276e-001","-9.8242e-003"
"","   7.8218e-11","2.4467e-001","8.6543e-007","2.4276e-001","-9.8090e-003"
"","   8.7996e-11","2.4467e-001","1.0054e-006","2.4336e-001","-9.7939e-003"
"","   9.7773e-11","2.4467e-001","1.1029e-006","2.4455e-001","-9.7777e-003"
"","  10.7550e-11","2.4468e-001","1.1355e-006","2.4506e-001","-9.7484e-003"
"","  11.7328e-11","2.4468e-001","1.1855e-006","2.4526e-001","-9.7159e-003"
"","  12.7105e-11","2.4468e-001","1.2113e-006","2.4534e-001","-9.6787e-003"
"","  13.6882e-11","2.4468e-001","1.2198e-006","2.4536e-001","-9.6227e-003"
"","  14.6659e-11","2.4468e-001","1.2238e-006","2.4536e-001","-9.5655e-003"
"","  15.6437e-11","2.4468e-001","1.2338e-006","2.4548e-001","-9.5089e-003"
"","  16.6214e-11","2.4468e-001","1.2189e-006","2.4584e-001","-9.4450e-003"
"","  17.5991e-11","2.4468e-001","1.1959e-006","2.4634e-001","-9.2771e-003"
"","  18.5769e-11","2.4468e-001","1.1595e-006","2.4690e-001","-9.2716e-003"
"","  19.5546e-11","2.4468e-001","1.1370e-006","2.4772e-001","-9.2254e-003"
"","  20.5323e-11","2.4468e-001","1.1065e-006","2.4879e-001","-9.1062e-003"
"","  21.5100e-11","2.4467e-001","1.0769e-006","2.5004e-001","-8.9630e-003"
"","  22.4878e-11","2.4467e-001","1.0499e-006","2.5174e-001","-8.8090e-003"
"","  23.4655e-11","2.4467e-001","1.0277e-006","2.5375e-001","-8.6074e-003"
"","  24.4432e-11","2.4467e-001","9.9676e-007","2.5588e-001","-8.3893e-003"
"","  25.4210e-11","2.4467e-001","9.7480e-007","2.5817e-001","-8.1780e-003"
"","  26.3987e-11","2.4467e-001","9.6114e-007","2.6133e-001","-7.9680e-003"
"","  27.3764e-11","2.4467e-001","9.5160e-007","2.6413e-001","-7.7481e-003"
"","  28.3541e-11","2.4467e-001","9.4151e-007","2.6658e-001","-7.5172e-003"
"","  29.3319e-11","2.4467e-001","9.3471e-007","2.7002e-001","-7.2226e-003"
"","  30.3096e-11","2.4467e-001","9.3226e-007","2.7472e-001","-6.8816e-003"
"","  31.2873e-11","2.4467e-001","9.3097e-007","2.8012e-001","-6.5278e-003"
"","  32.2651e-11","2.4467e-001","9.2930e-007","2.8671e-001","-6.1146e-003"
"","  33.2428e-11","2.4467e-001","9.3312e-007","2.9424e-001","-5.6952e-003"
"","  34.2205e-11","2.4467e-001","9.4056e-007","3.0215e-001","-5.2733e-003"
"","  35.1983e-11","2.4467e-001","9.4536e-007","3.1020e-001","-4.8099e-003"
"","  36.1760e-11","2.4467e-001","9.5041e-007","3.1852e-001","-4.4251e-003"
"","  37.1537e-11","2.4467e-001","9.5708e-007","3.2708e-001","-3.9867e-003"
"","  38.1314e-11","2.4467e-001","9.6393e-007","3.3679e-001","-3.4439e-003"
"","  39.1092e-11","2.4467e-001","9.6872e-007","3.4839e-001","-2.9066e-003"
"","  40.0869e-11","2.4467e-001","9.7382e-007","3.6104e-001","-2.3867e-003"
"","  41.0646e-11","2.4467e-001","9.7956e-007","3.7530e-001","-1.8263e-003"
"","  42.0424e-11","2.4467e-001","9.8457e-007","3.9091e-001","-1.2953e-003"
"","  43.0201e-11","2.4467e-001","9.8697e-007","4.0705e-001","-7.9728e-004"
"","  43.9978e-11","2.4467e-001","9.8998e-007","4.2380e-001","-2.9799e-004"
"","  44.9755e-11","2.4467e-001","9.9339e-007","4.4046e-001","2.0245e-004"
"","  45.9533e-11","2.4467e-001","9.9496e-007","4.5743e-001","7.0134e-004"
"","  46.9310e-11","2.4467e-001","9.9513e-007","4.7567e-001","1.2862e-003"
"","  47.9087e-11","2.4467e-001","9.9559e-007","4.9532e-001","1.8295e-003"
"","  48.8865e-11","2.4467e-001","9.9557e-007","5.1524e-001","2.3391e-003"
"","  49.8642e-11","2.4467e-001","9.9466e-007","5.3581e-001","2.8821e-003"
"","  50.8419e-11","2.4467e-001","9.9366e-007","5.5666e-001","3.3559e-003"
"","  51.8197e-11","2.4467e-001","9.9295e-007","5.7723e-001","3.7893e-003"
"","  52.7974e-11","2.4467e-001","9.9203e-007","5.9759e-001","4.2139e-003"
"","  53.7751e-11","2.4467e-001","9.9115e-007","6.1789e-001","4.6166e-003"
"","  54.7528e-11","2.4467e-001","9.8908e-007","6.3813e-001","5.0405e-003"
"","  55.7306e-11","2.4467e-001","9.8372e-007","6.5900e-001","5.5211e-003"
"","  56.7083e-11","2.4467e-001","9.8001e-007","6.8011e-001","5.9038e-003"
