"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:58:14 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.C5 (at pin)"
"Probe 2: U15.E17 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4733e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4733e-001","1.5460e-007","2.4275e-001","-9.7752e-003"
"","   1.9551e-11","2.4733e-001","2.8660e-007","2.4275e-001","-9.7781e-003"
"","   2.9326e-11","2.4733e-001","3.9756e-007","2.4275e-001","-9.7807e-003"
"","   3.9102e-11","2.4733e-001","4.8508e-007","2.4275e-001","-9.7831e-003"
"","   4.8877e-11","2.4734e-001","5.6419e-007","2.4275e-001","-9.7852e-003"
"","   5.8653e-11","2.4734e-001","6.2928e-007","2.4275e-001","-9.7870e-003"
"","   6.8428e-11","2.4734e-001","7.8914e-007","2.4275e-001","-9.7816e-003"
"","   7.8204e-11","2.4735e-001","9.4352e-007","2.4275e-001","-9.7676e-003"
"","   8.7979e-11","2.4735e-001","1.0509e-006","2.4419e-001","-9.7535e-003"
"","   9.7755e-11","2.4735e-001","1.1226e-006","2.4540e-001","-9.7390e-003"
"","  10.7530e-11","2.4735e-001","1.1723e-006","2.4528e-001","-9.7115e-003"
"","  11.7305e-11","2.4736e-001","1.2317e-006","2.4518e-001","-9.6798e-003"
"","  12.7081e-11","2.4736e-001","1.2616e-006","2.4508e-001","-9.6449e-003"
"","  13.6856e-11","2.4736e-001","1.3117e-006","2.4500e-001","-9.5904e-003"
"","  14.6632e-11","2.4736e-001","1.3047e-006","2.4414e-001","-9.5339e-003"
"","  15.6407e-11","2.4736e-001","1.2841e-006","2.4512e-001","-9.4779e-003"
"","  16.6183e-11","2.4736e-001","1.2384e-006","2.4572e-001","-9.4161e-003"
"","  17.5958e-11","2.4736e-001","1.2414e-006","2.4628e-001","-9.3045e-003"
"","  18.5734e-11","2.4736e-001","1.1919e-006","2.4686e-001","-9.2896e-003"
"","  19.5509e-11","2.4735e-001","1.1544e-006","2.4794e-001","-9.2167e-003"
"","  20.5285e-11","2.4735e-001","1.0886e-006","2.4922e-001","-9.0908e-003"
"","  21.5060e-11","2.4735e-001","1.0232e-006","2.5043e-001","-8.9427e-003"
"","  22.4835e-11","2.4735e-001","9.7512e-007","2.5257e-001","-8.7900e-003"
"","  23.4611e-11","2.4735e-001","9.5796e-007","2.5484e-001","-8.5509e-003"
"","  24.4386e-11","2.4735e-001","9.3103e-007","2.5701e-001","-8.3885e-003"
"","  25.4162e-11","2.4735e-001","8.8946e-007","2.5939e-001","-8.1915e-003"
"","  26.3937e-11","2.4735e-001","8.5347e-007","2.6278e-001","-7.9880e-003"
"","  27.3713e-11","2.4735e-001","8.3019e-007","2.6455e-001","-7.7735e-003"
"","  28.3488e-11","2.4735e-001","8.2351e-007","2.6734e-001","-7.5627e-003"
"","  29.3264e-11","2.4735e-001","8.2893e-007","2.7229e-001","-7.2885e-003"
"","  30.3039e-11","2.4735e-001","8.5854e-007","2.7821e-001","-6.9522e-003"
"","  31.2814e-11","2.4735e-001","8.3867e-007","2.8416e-001","-6.6271e-003"
"","  32.2590e-11","2.4735e-001","8.5454e-007","2.9311e-001","-6.2314e-003"
"","  33.2365e-11","2.4735e-001","8.6846e-007","3.0019e-001","-5.8110e-003"
"","  34.2141e-11","2.4735e-001","8.9440e-007","3.0793e-001","-5.3970e-003"
"","  35.1916e-11","2.4735e-001","9.2534e-007","3.1556e-001","-4.9986e-003"
"","  36.1692e-11","2.4735e-001","9.5837e-007","3.2417e-001","-4.5352e-003"
"","  37.1467e-11","2.4735e-001","9.6308e-007","3.3240e-001","-4.0986e-003"
"","  38.1243e-11","2.4735e-001","9.8769e-007","3.4339e-001","-3.6494e-003"
"","  39.1018e-11","2.4735e-001","1.0050e-006","3.5664e-001","-3.1633e-003"
"","  40.0794e-11","2.4735e-001","1.0267e-006","3.6982e-001","-2.6773e-003"
"","  41.0569e-11","2.4735e-001","1.0449e-006","3.8576e-001","-2.2082e-003"
"","  42.0344e-11","2.4735e-001","1.0428e-006","4.0279e-001","-1.6900e-003"
"","  43.0120e-11","2.4735e-001","1.0475e-006","4.1960e-001","-1.1779e-003"
"","  43.9895e-11","2.4735e-001","1.0438e-006","4.3498e-001","-6.5271e-004"
"","  44.9671e-11","2.4783e-001","1.0501e-006","4.5323e-001","-1.6086e-004"
"","  45.9446e-11","2.4863e-001","1.0510e-006","4.7061e-001","3.4640e-004"
"","  46.9222e-11","2.4883e-001","1.0488e-006","4.8841e-001","8.2927e-004"
"","  47.8997e-11","2.4888e-001","-5.4050e-006","5.0859e-001","1.2995e-003"
"","  48.8773e-11","2.4891e-001","-3.0884e-005","5.2877e-001","1.7655e-003"
"","  49.8548e-11","2.4898e-001","-3.3409e-005","5.4857e-001","2.2168e-003"
"","  50.8324e-11","2.4890e-001","-2.9823e-005","5.6993e-001","2.6487e-003"
"","  51.8099e-11","2.4858e-001","-2.5434e-005","5.9125e-001","3.0743e-003"
"","  52.7874e-11","2.4875e-001","-2.4595e-005","6.1212e-001","3.5489e-003"
"","  53.7650e-11","2.4922e-001","-1.8148e-005","6.3290e-001","3.9569e-003"
"","  54.7425e-11","2.4971e-001","-2.6873e-005","6.5387e-001","4.3763e-003"
"","  55.7201e-11","2.5023e-001","-2.8493e-005","6.7419e-001","4.8036e-003"
"","  56.6976e-11","2.5128e-001","-2.9485e-005","6.9461e-001","5.1521e-003"
"","  57.6752e-11","2.5217e-001","-2.8919e-005","7.1468e-001","5.4926e-003"
"","  58.6527e-11","2.5331e-001","-3.1970e-005","7.3483e-001","5.8541e-003"
"","  59.6303e-11","2.5481e-001","-4.5801e-005","7.5436e-001","6.1552e-003"
"","  60.6078e-11","2.5641e-001","-6.1641e-005","7.7337e-001","6.4181e-003"
"","  61.5854e-11","2.5805e-001","-8.2129e-005","7.9375e-001","6.6985e-003"
"","  62.5629e-11","2.5989e-001","-1.0473e-004","8.1212e-001","6.9565e-003"
"","  63.5404e-11","2.6149e-001","-1.2826e-004","8.3083e-001","7.2314e-003"
"","  64.5180e-11","2.6326e-001","-1.4672e-004","8.4980e-001","7.4907e-003"
"","  65.4955e-11","2.6581e-001","-1.8020e-004","8.6637e-001","7.7262e-003"
"","  66.4731e-11","2.6926e-001","-2.0045e-004","8.8260e-001","7.9767e-003"
"","  67.4506e-11","2.7321e-001","-2.2527e-004","8.9955e-001","8.2039e-003"
"","  68.4282e-11","2.7815e-001","-2.5909e-004","9.1472e-001","8.4303e-003"
"","  69.4057e-11","2.8320e-001","-3.1583e-004","9.2780e-001","8.6471e-003"
"","  70.3833e-11","2.8875e-001","-3.6820e-004","9.4182e-001","8.8294e-003"
"","  71.3608e-11","2.9452e-001","-4.4479e-004","9.5524e-001","9.0108e-003"
"","  72.3384e-11","3.0034e-001","-5.0723e-004","9.6860e-001","9.1570e-003"
"","  73.3159e-11","3.0640e-001","-5.6784e-004","9.8181e-001","9.2741e-003"
"","  74.2934e-11","3.1326e-001","-6.2366e-004","9.9469e-001","9.3960e-003"
"","  75.2710e-11","3.2156e-001","-6.8880e-004","1.0074e+000","9.5156e-003"
"","  76.2485e-11","3.3077e-001","-7.4375e-004","1.0192e+000","9.5963e-003"
"","  77.2261e-11","3.4142e-001","-8.0685e-004","1.0311e+000","9.6752e-003"
"","  78.2036e-11","3.5313e-001","-8.9845e-004","1.0425e+000","9.7873e-003"
"","  79.1812e-11","3.6571e-001","-9.7793e-004","1.0529e+000","9.8394e-003"
"","  80.1587e-11","3.7843e-001","-1.0713e-003","1.0629e+000","9.9092e-003"
"","  81.1363e-11","3.9161e-001","-1.1775e-003","1.0711e+000","1.0020e-002"
"","  82.1138e-11","4.0534e-001","-1.2817e-003","1.0788e+000","1.0093e-002"
"","  83.0914e-11","4.1966e-001","-1.3600e-003","1.0862e+000","1.0143e-002"
"","  84.0689e-11","4.3450e-001","-1.4570e-003","1.0933e+000","1.0208e-002"
"","  85.0464e-11","4.5009e-001","-1.5347e-003","1.0991e+000","1.0289e-002"
"","  86.0240e-11","4.6641e-001","-1.6064e-003","1.1052e+000","1.0349e-002"
"","  87.0015e-11","4.8343e-001","-1.6819e-003","1.1116e+000","1.0389e-002"
"","  87.9791e-11","5.0099e-001","-1.7525e-003","1.1163e+000","1.0456e-002"
"","  88.9566e-11","5.1947e-001","-1.7993e-003","1.1213e+000","1.0501e-002"
"","  89.9342e-11","5.3784e-001","-1.8447e-003","1.1270e+000","1.0562e-002"
"","  90.9117e-11","5.5658e-001","-1.8832e-003","1.1328e+000","1.0611e-002"
"","  91.8893e-11","5.7581e-001","-1.9141e-003","1.1369e+000","1.0646e-002"
"","  92.8668e-11","5.9514e-001","-1.9344e-003","1.1416e+000","1.0664e-002"
"","  93.8444e-11","6.1445e-001","-1.9414e-003","1.1464e+000","1.0703e-002"
"","  94.8219e-11","6.3405e-001","-1.9432e-003","1.1500e+000","1.0717e-002"
"","  95.7994e-11","6.5365e-001","-1.9198e-003","1.1534e+000","1.0736e-002"
"","  96.7770e-11","6.7334e-001","-1.9001e-003","1.1572e+000","1.0780e-002"
"","  97.7545e-11","6.9345e-001","-1.8721e-003","1.1603e+000","1.0817e-002"
"","  98.7321e-11","7.1334e-001","-1.8396e-003","1.1632e+000","1.0851e-002"
"","  99.7096e-11","7.3323e-001","-1.7965e-003","1.1658e+000","1.0847e-002"
""," 100.6872e-11","7.5321e-001","-1.7674e-003","1.1679e+000","1.0886e-002"
""," 101.6647e-11","7.7236e-001","-1.7181e-003","1.1689e+000","1.0897e-002"
""," 102.6423e-11","7.9111e-001","-1.6753e-003","1.1705e+000","1.0924e-002"
""," 103.6198e-11","8.0971e-001","-1.6422e-003","1.1712e+000","1.0983e-002"
""," 104.5974e-11","8.2761e-001","-1.5947e-003","1.1720e+000","1.1022e-002"
""," 105.5749e-11","8.4474e-001","-1.5381e-003","1.1727e+000","1.1051e-002"
""," 106.5524e-11","8.6112e-001","-1.4922e-003","1.1737e+000","1.1091e-002"
""," 107.5300e-11","8.7713e-001","-1.4476e-003","1.1741e+000","1.1128e-002"
""," 108.5075e-11","8.9330e-001","-1.3784e-003","1.1733e+000","1.1159e-002"
