"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:59:54 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.N6 (at pin)"
"Probe 2: U15.C27 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4716e-001",DC,"2.4275e-001",DC
"","   0.9778e-11","2.4716e-001","1.5437e-007","2.4275e-001","-9.7720e-003"
"","   1.9556e-11","2.4716e-001","2.8624e-007","2.4275e-001","-9.7750e-003"
"","   2.9334e-11","2.4716e-001","3.9706e-007","2.4275e-001","-9.7777e-003"
"","   3.9112e-11","2.4717e-001","4.8924e-007","2.4275e-001","-9.7801e-003"
"","   4.8891e-11","2.4717e-001","5.6803e-007","2.4275e-001","-9.7823e-003"
"","   5.8669e-11","2.4718e-001","6.3320e-007","2.4275e-001","-9.7842e-003"
"","   6.8447e-11","2.4718e-001","7.7932e-007","2.4275e-001","-9.7760e-003"
"","   7.8225e-11","2.4719e-001","8.5835e-007","2.4275e-001","-9.7620e-003"
"","   8.8003e-11","2.4719e-001","9.1626e-007","2.4429e-001","-9.7481e-003"
"","   9.7781e-11","2.4719e-001","9.5862e-007","2.4540e-001","-9.7320e-003"
"","  10.7559e-11","2.4720e-001","9.9098e-007","2.4528e-001","-9.7028e-003"
"","  11.7337e-11","2.4720e-001","1.0729e-006","2.4517e-001","-9.6712e-003"
"","  12.7115e-11","2.4720e-001","1.1142e-006","2.4507e-001","-9.6327e-003"
"","  13.6893e-11","2.4720e-001","1.1363e-006","2.4416e-001","-9.5770e-003"
"","  14.6672e-11","2.4720e-001","1.1616e-006","2.4480e-001","-9.5207e-003"
"","  15.6450e-11","2.4720e-001","1.1718e-006","2.4515e-001","-9.4648e-003"
"","  16.6228e-11","2.4720e-001","1.1708e-006","2.4572e-001","-9.4000e-003"
"","  17.6006e-11","2.4720e-001","1.1900e-006","2.4627e-001","-9.3315e-003"
"","  18.5784e-11","2.4720e-001","1.1810e-006","2.4689e-001","-9.2729e-003"
"","  19.5562e-11","2.4720e-001","1.1561e-006","2.4795e-001","-9.1940e-003"
"","  20.5340e-11","2.4719e-001","1.1370e-006","2.4907e-001","-9.0591e-003"
"","  21.5118e-11","2.4719e-001","1.1148e-006","2.5043e-001","-8.9114e-003"
"","  22.4896e-11","2.4719e-001","1.1003e-006","2.5259e-001","-8.6940e-003"
"","  23.4675e-11","2.4719e-001","1.0821e-006","2.5478e-001","-8.5420e-003"
"","  24.4453e-11","2.4719e-001","1.0743e-006","2.5688e-001","-8.3483e-003"
"","  25.4231e-11","2.4719e-001","1.0577e-006","2.5935e-001","-8.1507e-003"
"","  26.4009e-11","2.4719e-001","1.0416e-006","2.6202e-001","-7.9439e-003"
"","  27.3787e-11","2.4719e-001","1.0252e-006","2.6443e-001","-7.7301e-003"
"","  28.3565e-11","2.4719e-001","1.0162e-006","2.6733e-001","-7.5171e-003"
"","  29.3343e-11","2.4718e-001","1.0001e-006","2.7237e-001","-7.2140e-003"
"","  30.3121e-11","2.4718e-001","9.8967e-007","2.7816e-001","-6.8848e-003"
"","  31.2899e-11","2.4718e-001","9.7889e-007","2.8514e-001","-6.5512e-003"
"","  32.2678e-11","2.4718e-001","9.6785e-007","2.9239e-001","-6.1423e-003"
"","  33.2456e-11","2.4718e-001","9.6077e-007","3.0004e-001","-5.7184e-003"
"","  34.2234e-11","2.4718e-001","9.5529e-007","3.0742e-001","-5.3098e-003"
"","  35.2012e-11","2.4718e-001","9.5495e-007","3.1553e-001","-4.8886e-003"
"","  36.1790e-11","2.4718e-001","9.5126e-007","3.2369e-001","-4.4371e-003"
