"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 03:00:18 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.N7 (at pin)"
"Probe 2: U15.G17 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4748e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4748e-001","1.5433e-007","2.4275e-001","-9.7699e-003"
"","   1.9551e-11","2.4748e-001","2.8648e-007","2.4275e-001","-9.7730e-003"
"","   2.9326e-11","2.4748e-001","3.9726e-007","2.4275e-001","-9.7758e-003"
"","   3.9102e-11","2.4748e-001","4.8935e-007","2.4275e-001","-9.7783e-003"
"","   4.8877e-11","2.4749e-001","5.6844e-007","2.4275e-001","-9.7805e-003"
"","   5.8653e-11","2.4750e-001","6.3862e-007","2.4275e-001","-9.7825e-003"
"","   6.8428e-11","2.4750e-001","7.0650e-007","2.4275e-001","-9.7755e-003"
"","   7.8204e-11","2.4750e-001","8.0508e-007","2.4275e-001","-9.7616e-003"
"","   8.7979e-11","2.4750e-001","9.1085e-007","2.4349e-001","-9.7477e-003"
"","   9.7755e-11","2.4750e-001","1.0357e-006","2.4468e-001","-9.7325e-003"
"","  10.7530e-11","2.4751e-001","1.1238e-006","2.4506e-001","-9.7038e-003"
"","  11.7306e-11","2.4751e-001","1.1928e-006","2.4513e-001","-9.6722e-003"
"","  12.7081e-11","2.4751e-001","1.2112e-006","2.4510e-001","-9.6356e-003"
"","  13.6857e-11","2.4751e-001","1.2080e-006","2.4503e-001","-9.5801e-003"
"","  14.6632e-11","2.4751e-001","1.2022e-006","2.4495e-001","-9.5238e-003"
"","  15.6408e-11","2.4751e-001","1.2107e-006","2.4502e-001","-9.4679e-003"
"","  16.6183e-11","2.4751e-001","1.2105e-006","2.4538e-001","-9.4044e-003"
"","  17.5959e-11","2.4751e-001","1.2072e-006","2.4586e-001","-9.2447e-003"
"","  18.5734e-11","2.4751e-001","1.1853e-006","2.4640e-001","-9.2452e-003"
