"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 12 February 2008   Time: 05:45:10 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A4 (at pin)"
"Probe 2: U15.F15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4812e-001",DC,"2.4275e-001",DC
"","   0.9779e-11","2.4812e-001","1.5323e-007","2.4275e-001","-9.7747e-003"
"","   1.9558e-11","2.4812e-001","2.8635e-007","2.4275e-001","-9.7776e-003"
"","   2.9336e-11","2.4812e-001","3.9622e-007","2.4275e-001","-9.7802e-003"
"","   3.9115e-11","2.4813e-001","4.8891e-007","2.4275e-001","-9.7826e-003"
"","   4.8894e-11","2.4814e-001","5.6721e-007","2.4275e-001","-9.7847e-003"
"","   5.8673e-11","2.4814e-001","6.3384e-007","2.4275e-001","-9.7857e-003"
"","   6.8452e-11","2.4815e-001","7.1629e-007","2.4275e-001","-9.7765e-003"
"","   7.8230e-11","2.4815e-001","8.0478e-007","2.4275e-001","-9.7626e-003"
"","   8.8009e-11","2.4816e-001","8.7323e-007","2.4507e-001","-9.7486e-003"
"","   9.7788e-11","2.4816e-001","9.2237e-007","2.4539e-001","-9.7318e-003"
"","  10.7567e-11","2.4816e-001","9.5921e-007","2.4527e-001","-9.7024e-003"
"","  11.7346e-11","2.4816e-001","9.8516e-007","2.4517e-001","-9.6708e-003"
"","  12.7124e-11","2.4816e-001","1.0068e-006","2.4507e-001","-9.6311e-003"
"","  13.6903e-11","2.4816e-001","1.0771e-006","2.4499e-001","-9.5743e-003"
"","  14.6682e-11","2.4816e-001","1.1240e-006","2.4498e-001","-9.5180e-003"
"","  15.6461e-11","2.4816e-001","1.1499e-006","2.4580e-001","-9.4619e-003"
"","  16.6240e-11","2.4816e-001","1.1626e-006","2.4633e-001","-9.3966e-003"
"","  17.6018e-11","2.4816e-001","1.1653e-006","2.4687e-001","-9.3364e-003"
"","  18.5797e-11","2.4816e-001","1.1617e-006","2.4749e-001","-9.2687e-003"
"","  19.5576e-11","2.4816e-001","1.1616e-006","2.4862e-001","-9.1860e-003"
"","  20.5355e-11","2.4816e-001","1.1573e-006","2.4987e-001","-9.0450e-003"
"","  21.5134e-11","2.4816e-001","1.1438e-006","2.5142e-001","-8.8975e-003"
"","  22.4912e-11","2.4816e-001","1.1247e-006","2.5375e-001","-8.7330e-003"
"","  23.4691e-11","2.4816e-001","1.1032e-006","2.5611e-001","-8.5311e-003"
"","  24.4470e-11","2.4816e-001","1.0818e-006","2.5845e-001","-8.3577e-003"
"","  25.4249e-11","2.4815e-001","1.0622e-006","2.6119e-001","-8.1560e-003"
"","  26.4028e-11","2.4815e-001","1.0523e-006","2.6410e-001","-7.9454e-003"
"","  27.3806e-11","2.4815e-001","1.0372e-006","2.6710e-001","-7.7298e-003"
"","  28.3585e-11","2.4815e-001","1.0198e-006","2.7071e-001","-7.5090e-003"
"","  29.3364e-11","2.4815e-001","1.0023e-006","2.7661e-001","-7.2068e-003"
"","  30.3143e-11","2.4815e-001","9.8670e-007","2.8292e-001","-6.8814e-003"
"","  31.2921e-11","2.4815e-001","9.7336e-007","2.8979e-001","-6.5496e-003"
"","  32.2700e-11","2.4815e-001","9.6439e-007","2.9834e-001","-6.1470e-003"
"","  33.2479e-11","2.4815e-001","9.5654e-007","3.0639e-001","-5.7356e-003"
"","  34.2258e-11","2.4815e-001","9.4883e-007","3.1501e-001","-5.3365e-003"
"","  35.2037e-11","2.4815e-001","9.4242e-007","3.2427e-001","-4.9248e-003"
"","  36.1815e-11","2.4815e-001","9.3813e-007","3.3407e-001","-4.4932e-003"
"","  37.1594e-11","2.4815e-001","9.3621e-007","3.4409e-001","-4.0814e-003"
"","  38.1373e-11","2.4815e-001","9.3455e-007","3.5743e-001","-3.6379e-003"
"","  39.1152e-11","2.4815e-001","9.3662e-007","3.7211e-001","-3.1692e-003"
"","  40.0931e-11","2.4815e-001","9.3884e-007","3.8706e-001","-2.7083e-003"
"","  41.0709e-11","2.4815e-001","9.4123e-007","4.0501e-001","-2.2345e-003"
"","  42.0488e-11","2.4815e-001","9.4440e-007","4.2348e-001","-1.7497e-003"
"","  43.0267e-11","2.4815e-001","9.4856e-007","4.4157e-001","-1.2721e-003"
"","  44.0046e-11","2.4815e-001","9.5316e-007","4.6042e-001","-8.1007e-004"
"","  44.9825e-11","2.4880e-001","9.5840e-007","4.8080e-001","-3.6683e-004"
"","  45.9603e-11","2.4972e-001","9.6335e-007","5.0058e-001","7.5846e-005"
"","  46.9382e-11","2.4969e-001","9.6770e-007","5.2207e-001","4.9166e-004"
"","  47.9161e-11","2.4971e-001","-9.8815e-006","5.4522e-001","8.9662e-004"
"","  48.8940e-11","2.4971e-001","-4.0354e-005","5.6805e-001","1.3027e-003"
"","  49.8719e-11","2.4969e-001","-3.1842e-005","5.9161e-001","1.6843e-003"
"","  50.8497e-11","2.4957e-001","-2.7254e-005","6.1580e-001","2.0611e-003"
"","  51.8276e-11","2.4890e-001","-2.2741e-005","6.3979e-001","2.4319e-003"
"","  52.8055e-11","2.4945e-001","-1.8547e-005","6.6353e-001","2.7773e-003"
"","  53.7834e-11","2.5005e-001","-1.4773e-005","6.8728e-001","3.0829e-003"
"","  54.7613e-11","2.5068e-001","-1.6198e-005","7.1106e-001","3.3954e-003"
"","  55.7391e-11","2.5151e-001","-2.0273e-005","7.3445e-001","3.6724e-003"
"","  56.7170e-11","2.5248e-001","-2.3940e-005","7.5781e-001","3.9011e-003"
"","  57.6949e-11","2.5358e-001","-2.7707e-005","7.8130e-001","4.1365e-003"
"","  58.6728e-11","2.5493e-001","-3.6643e-005","8.0415e-001","4.3617e-003"
"","  59.6507e-11","2.5628e-001","-4.9784e-005","8.2687e-001","4.5402e-003"
"","  60.6285e-11","2.5770e-001","-6.5367e-005","8.4929e-001","4.6954e-003"
"","  61.6064e-11","2.5920e-001","-9.0248e-005","8.7107e-001","4.8425e-003"
"","  62.5843e-11","2.6078e-001","-1.1040e-004","8.9186e-001","4.9825e-003"
"","  63.5622e-11","2.6239e-001","-1.2878e-004","9.1290e-001","5.1254e-003"
"","  64.5401e-11","2.6412e-001","-1.4694e-004","9.3309e-001","5.2554e-003"
"","  65.5179e-11","2.6704e-001","-1.6874e-004","9.5182e-001","5.3669e-003"
"","  66.4958e-11","2.7078e-001","-1.8608e-004","9.7073e-001","5.4812e-003"
"","  67.4737e-11","2.7492e-001","-2.0777e-004","9.8921e-001","5.5995e-003"
"","  68.4516e-11","2.7994e-001","-2.4450e-004","1.0060e+000","5.7012e-003"
"","  69.4295e-11","2.8534e-001","-3.0087e-004","1.0218e+000","5.7890e-003"
"","  70.4073e-11","2.9103e-001","-3.5108e-004","1.0371e+000","5.8813e-003"
"","  71.3852e-11","2.9677e-001","-4.1621e-004","1.0522e+000","5.9450e-003"
"","  72.3631e-11","3.0232e-001","-4.8068e-004","1.0674e+000","5.9846e-003"
"","  73.3410e-11","3.0831e-001","-5.3702e-004","1.0822e+000","6.0139e-003"
