"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 01:45:44 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.B7 (at pin)"
"Probe 2: U15.D15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4781e-001",DC,"2.4275e-001",DC
"","   0.9780e-11","2.4781e-001","1.5126e-007","2.4275e-001","-9.7700e-003"
"","   1.9560e-11","2.4781e-001","2.8210e-007","2.4275e-001","-9.7731e-003"
"","   2.9341e-11","2.4781e-001","3.9244e-007","2.4275e-001","-9.7759e-003"
"","   3.9121e-11","2.4782e-001","4.8376e-007","2.4275e-001","-9.7784e-003"
"","   4.8901e-11","2.4782e-001","5.6183e-007","2.4275e-001","-9.7806e-003"
"","   5.8681e-11","2.4783e-001","6.2703e-007","2.4275e-001","-9.7826e-003"
"","   6.8461e-11","2.4784e-001","7.1338e-007","2.4275e-001","-9.7738e-003"
"","   7.8242e-11","2.4784e-001","8.2357e-007","2.4275e-001","-9.7599e-003"
"","   8.8022e-11","2.4784e-001","8.9485e-007","2.4496e-001","-9.7460e-003"
"","   9.7802e-11","2.4784e-001","9.3170e-007","2.4539e-001","-9.7292e-003"
"","  10.7582e-11","2.4785e-001","9.3598e-007","2.4526e-001","-9.6998e-003"
"","  11.7362e-11","2.4785e-001","1.0338e-006","2.4515e-001","-9.6683e-003"
"","  12.7143e-11","2.4785e-001","1.0969e-006","2.4505e-001","-9.6277e-003"
"","  13.6923e-11","2.4785e-001","1.1393e-006","2.4412e-001","-9.5719e-003"
"","  14.6703e-11","2.4785e-001","1.1756e-006","2.4475e-001","-9.5156e-003"
"","  15.6483e-11","2.4785e-001","1.1879e-006","2.4519e-001","-9.4590e-003"
"","  16.6264e-11","2.4785e-001","1.1865e-006","2.4577e-001","-9.3937e-003"
"","  17.6044e-11","2.4785e-001","1.1884e-006","2.4633e-001","-9.3326e-003"
"","  18.5824e-11","2.4785e-001","1.2074e-006","2.4694e-001","-9.2663e-003"
"","  19.5604e-11","2.4785e-001","1.2076e-006","2.4811e-001","-9.1868e-003"
"","  20.5384e-11","2.4785e-001","1.1912e-006","2.4925e-001","-9.0472e-003"
"","  21.5165e-11","2.4785e-001","1.1698e-006","2.5073e-001","-8.8995e-003"
"","  22.4945e-11","2.4784e-001","1.1584e-006","2.5294e-001","-8.6947e-003"
"","  23.4725e-11","2.4784e-001","1.1366e-006","2.5515e-001","-8.5255e-003"
"","  24.4505e-11","2.4784e-001","1.1150e-006","2.5727e-001","-8.3326e-003"
"","  25.4285e-11","2.4784e-001","1.0958e-006","2.5982e-001","-8.1351e-003"
"","  26.4066e-11","2.4784e-001","1.0696e-006","2.6239e-001","-7.9272e-003"
"","  27.3846e-11","2.4784e-001","1.0401e-006","2.6496e-001","-7.7117e-003"
"","  28.3626e-11","2.4784e-001","1.0175e-006","2.6806e-001","-7.4981e-003"
"","  29.3406e-11","2.4784e-001","1.0035e-006","2.7307e-001","-7.1932e-003"
"","  30.3186e-11","2.4784e-001","9.8463e-007","2.7836e-001","-6.8645e-003"
"","  31.2967e-11","2.4784e-001","9.6675e-007","2.8562e-001","-6.5253e-003"
"","  32.2747e-11","2.4784e-001","9.5117e-007","2.9334e-001","-6.1134e-003"
"","  33.2527e-11","2.4784e-001","9.3720e-007","3.0131e-001","-5.6909e-003"
"","  34.2307e-11","2.4784e-001","9.2418e-007","3.0883e-001","-5.2840e-003"
"","  35.2087e-11","2.4784e-001","9.1766e-007","3.1709e-001","-4.8585e-003"
"","  36.1868e-11","2.4784e-001","9.1495e-007","3.2529e-001","-4.4075e-003"
"","  37.1648e-11","2.4784e-001","9.1157e-007","3.3385e-001","-3.9795e-003"
"","  38.1428e-11","2.4784e-001","9.0962e-007","3.4543e-001","-3.5032e-003"
"","  39.1208e-11","2.4784e-001","9.1111e-007","3.5857e-001","-2.9825e-003"
"","  40.0988e-11","2.4784e-001","9.1591e-007","3.7196e-001","-2.5159e-003"
"","  41.0769e-11","2.4784e-001","9.2037e-007","3.8814e-001","-2.0310e-003"
"","  42.0549e-11","2.4784e-001","9.2777e-007","4.0490e-001","-1.5363e-003"
"","  43.0329e-11","2.4784e-001","9.3529e-007","4.2026e-001","-1.0146e-003"
"","  44.0109e-11","2.4784e-001","9.4172e-007","4.3666e-001","-5.1554e-004"
"","  44.9890e-11","2.4784e-001","9.4848e-007","4.5435e-001","-3.2585e-006"
"","  45.9670e-11","2.4784e-001","9.5677e-007","4.7097e-001","4.9350e-004"
"","  46.9450e-11","2.4803e-001","9.6433e-007","4.8976e-001","9.8006e-004"
"","  47.9230e-11","2.4858e-001","9.7079e-007","5.1060e-001","1.4509e-003"
"","  48.9010e-11","2.4899e-001","9.7659e-007","5.2994e-001","1.9253e-003"
"","  49.8791e-11","2.4927e-001","5.8394e-007","5.4962e-001","2.3801e-003"
"","  50.8571e-11","2.4941e-001","-9.5719e-006","5.6963e-001","2.8266e-003"
"","  51.8351e-11","2.4950e-001","-2.1099e-005","5.8949e-001","3.3144e-003"
"","  52.8131e-11","2.4953e-001","-2.7185e-005","6.0907e-001","3.7615e-003"
"","  53.7911e-11","2.4948e-001","-2.8521e-005","6.2954e-001","4.1841e-003"
"","  54.7692e-11","2.4932e-001","-2.6927e-005","6.4955e-001","4.6337e-003"
"","  55.7472e-11","2.4938e-001","-2.4331e-005","6.6965e-001","5.0259e-003"
"","  56.7252e-11","2.4971e-001","-2.0734e-005","6.8942e-001","5.3672e-003"
"","  57.7032e-11","2.5032e-001","-1.9327e-005","7.0956e-001","5.7324e-003"
"","  58.6812e-11","2.5118e-001","-2.1579e-005","7.2858e-001","6.1077e-003"
"","  59.6593e-11","2.5216e-001","-2.4865e-005","7.4690e-001","6.4402e-003"
"","  60.6373e-11","2.5333e-001","-2.9340e-005","7.6593e-001","6.7726e-003"
"","  61.6153e-11","2.5461e-001","-3.8228e-005","7.8374e-001","7.0928e-003"
"","  62.5933e-11","2.5603e-001","-4.9436e-005","8.0068e-001","7.3774e-003"
"","  63.5713e-11","2.5763e-001","-6.2357e-005","8.1877e-001","7.6757e-003"
"","  64.5494e-11","2.5931e-001","-7.9223e-005","8.3582e-001","7.9438e-003"
"","  65.5274e-11","2.6104e-001","-9.9281e-005","8.5117e-001","8.2023e-003"
"","  66.5054e-11","2.6294e-001","-1.2138e-004","8.6743e-001","8.4447e-003"
"","  67.4834e-11","2.6525e-001","-1.4428e-004","8.8378e-001","8.7184e-003"
"","  68.4614e-11","2.6821e-001","-1.6682e-004","8.9796e-001","8.9968e-003"
"","  69.4395e-11","2.7179e-001","-1.8935e-004","9.1207e-001","9.2513e-003"
"","  70.4175e-11","2.7617e-001","-2.1370e-004","9.2591e-001","9.5185e-003"
"","  71.3955e-11","2.8120e-001","-2.4910e-004","9.3873e-001","9.7578e-003"
"","  72.3735e-11","2.8675e-001","-2.9516e-004","9.5196e-001","9.9397e-003"
"","  73.3515e-11","2.9276e-001","-3.5193e-004","9.6482e-001","1.0093e-002"
"","  74.3296e-11","2.9903e-001","-4.1588e-004","9.7715e-001","1.0244e-002"
"","  75.3076e-11","3.0534e-001","-4.8250e-004","9.8921e-001","1.0353e-002"
"","  76.2856e-11","3.1216e-001","-5.4798e-004","1.0020e+000","1.0445e-002"
"","  77.2636e-11","3.1988e-001","-6.1058e-004","1.0145e+000","1.0570e-002"
"","  78.2417e-11","3.2859e-001","-6.7038e-004","1.0264e+000","1.0657e-002"
"","  79.2197e-11","3.3874e-001","-7.2754e-004","1.0384e+000","1.0723e-002"
"","  80.1977e-11","3.5029e-001","-7.9461e-004","1.0492e+000","1.0822e-002"
"","  81.1757e-11","3.6297e-001","-8.7458e-004","1.0578e+000","1.0922e-002"
"","  82.1537e-11","3.7654e-001","-9.6446e-004","1.0658e+000","1.0997e-002"
"","  83.1318e-11","3.9081e-001","-1.0675e-003","1.0736e+000","1.1062e-002"
"","  84.1098e-11","4.0535e-001","-1.1779e-003","1.0800e+000","1.1123e-002"
"","  85.0878e-11","4.2026e-001","-1.2847e-003","1.0864e+000","1.1166e-002"
"","  86.0658e-11","4.3582e-001","-1.3846e-003","1.0937e+000","1.1207e-002"
"","  87.0438e-11","4.5197e-001","-1.4794e-003","1.0999e+000","1.1231e-002"
"","  88.0219e-11","4.6888e-001","-1.5647e-003","1.1050e+000","1.1254e-002"
"","  88.9999e-11","4.8669e-001","-1.6450e-003","1.1111e+000","1.1271e-002"
"","  89.9779e-11","5.0546e-001","-1.7261e-003","1.1176e+000","1.1314e-002"
