"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 01:46:30 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A5 (at pin)"
"Probe 2: U15.D16 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4784e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4784e-001","1.6117e-007","2.4275e-001","-9.7743e-003"
"","   1.9553e-11","2.4784e-001","2.9822e-007","2.4275e-001","-9.7772e-003"
"","   2.9329e-11","2.4784e-001","4.1212e-007","2.4275e-001","-9.7799e-003"
"","   3.9106e-11","2.4784e-001","5.0708e-007","2.4275e-001","-9.7822e-003"
"","   4.8882e-11","2.4784e-001","5.8641e-007","2.4275e-001","-9.7843e-003"
"","   5.8658e-11","2.4785e-001","6.5081e-007","2.4275e-001","-9.7861e-003"
"","   6.8435e-11","2.4786e-001","7.0496e-007","2.4275e-001","-9.7785e-003"
"","   7.8211e-11","2.4786e-001","7.5547e-007","2.4275e-001","-9.7645e-003"
"","   8.7988e-11","2.4786e-001","7.9197e-007","2.4367e-001","-9.7505e-003"
"","   9.7764e-11","2.4787e-001","8.8920e-007","2.4464e-001","-9.7349e-003"
"","  10.7541e-11","2.4787e-001","8.9916e-007","2.4500e-001","-9.7057e-003"
"","  11.7317e-11","2.4787e-001","9.3231e-007","2.4510e-001","-9.6742e-003"
"","  12.7093e-11","2.4787e-001","9.8179e-007","2.4510e-001","-9.6363e-003"
"","  13.6870e-11","2.4787e-001","1.0898e-006","2.4505e-001","-9.5805e-003"
"","  14.6646e-11","2.4788e-001","1.1720e-006","2.4498e-001","-9.5241e-003"
"","  15.6423e-11","2.4788e-001","1.2232e-006","2.4490e-001","-9.4682e-003"
"","  16.6199e-11","2.4788e-001","1.2492e-006","2.4492e-001","-9.4041e-003"
"","  17.5975e-11","2.4788e-001","1.2290e-006","2.4529e-001","-9.2627e-003"
"","  18.5752e-11","2.4788e-001","1.2059e-006","2.4593e-001","-9.2460e-003"
"","  19.5528e-11","2.4788e-001","1.1874e-006","2.4693e-001","-9.1934e-003"
"","  20.5305e-11","2.4788e-001","1.1946e-006","2.4817e-001","-9.0676e-003"
"","  21.5081e-11","2.4788e-001","1.1864e-006","2.4959e-001","-8.9237e-003"
"","  22.4858e-11","2.4788e-001","1.1970e-006","2.5132e-001","-8.7663e-003"
"","  23.4634e-11","2.4788e-001","1.1795e-006","2.5328e-001","-8.5622e-003"
"","  24.4410e-11","2.4787e-001","1.1699e-006","2.5543e-001","-8.3306e-003"
"","  25.4187e-11","2.4787e-001","1.1574e-006","2.5777e-001","-8.1067e-003"
"","  26.3963e-11","2.4787e-001","1.1446e-006","2.6093e-001","-7.8953e-003"
"","  27.3740e-11","2.4787e-001","1.1269e-006","2.6325e-001","-7.6807e-003"
"","  28.3516e-11","2.4787e-001","1.0937e-006","2.6554e-001","-7.4605e-003"
"","  29.3292e-11","2.4787e-001","1.0598e-006","2.6894e-001","-7.1722e-003"
"","  30.3069e-11","2.4787e-001","1.0162e-006","2.7353e-001","-6.8358e-003"
"","  31.2845e-11","2.4787e-001","9.8467e-007","2.7892e-001","-6.4809e-003"
"","  32.2622e-11","2.4787e-001","9.6562e-007","2.8559e-001","-6.0653e-003"
"","  33.2398e-11","2.4787e-001","9.6146e-007","2.9299e-001","-5.6491e-003"
"","  34.2175e-11","2.4787e-001","9.5515e-007","3.0095e-001","-5.2286e-003"
"","  35.1951e-11","2.4786e-001","9.5179e-007","3.0918e-001","-4.7955e-003"
"","  36.1727e-11","2.4786e-001","9.3788e-007","3.1727e-001","-4.3708e-003"
"","  37.1504e-11","2.4786e-001","9.2502e-007","3.2527e-001","-3.9033e-003"
"","  38.1280e-11","2.4786e-001","9.1743e-007","3.3459e-001","-3.3465e-003"
"","  39.1057e-11","2.4786e-001","9.3092e-007","3.4544e-001","-2.8082e-003"
"","  40.0833e-11","2.4786e-001","9.3972e-007","3.5724e-001","-2.2752e-003"
"","  41.0609e-11","2.4786e-001","9.3804e-007","3.7110e-001","-1.7177e-003"
"","  42.0386e-11","2.4786e-001","9.3231e-007","3.8638e-001","-1.1715e-003"
"","  43.0162e-11","2.4786e-001","9.2192e-007","4.0221e-001","-6.7681e-004"
"","  43.9939e-11","2.4792e-001","9.1703e-007","4.1853e-001","-1.9015e-004"
"","  44.9715e-11","2.4824e-001","9.1813e-007","4.3497e-001","3.1632e-004"
"","  45.9491e-11","2.4859e-001","9.1679e-007","4.5152e-001","8.4494e-004"
"","  46.9268e-11","2.4886e-001","9.1485e-007","4.6940e-001","1.4562e-003"
"","  47.9044e-11","2.4906e-001","9.1681e-007","4.8822e-001","2.0269e-003"
"","  48.8821e-11","2.4923e-001","9.1773e-007","5.0721e-001","2.5943e-003"
"","  49.8597e-11","2.4935e-001","-5.8085e-006","5.2689e-001","3.1456e-003"
"","  50.8374e-11","2.4948e-001","-1.4706e-005","5.4711e-001","3.6228e-003"
"","  51.8150e-11","2.4968e-001","-2.0743e-005","5.6706e-001","4.0898e-003"
"","  52.7926e-11","2.4983e-001","-2.3331e-005","5.8667e-001","4.4796e-003"
"","  53.7703e-11","2.4998e-001","-2.4438e-005","6.0628e-001","4.9189e-003"
"","  54.7479e-11","2.5015e-001","-2.4150e-005","6.2603e-001","5.3943e-003"
"","  55.7256e-11","2.5036e-001","-2.2899e-005","6.4680e-001","5.8938e-003"
"","  56.7032e-11","2.5082e-001","-2.4401e-005","6.6783e-001","6.2993e-003"
"","  57.6808e-11","2.5164e-001","-2.4974e-005","6.8898e-001","6.7073e-003"
"","  58.6585e-11","2.5273e-001","-2.4758e-005","7.1007e-001","7.1033e-003"
"","  59.6361e-11","2.5397e-001","-2.5992e-005","7.3042e-001","7.4073e-003"
"","  60.6138e-11","2.5536e-001","-3.2145e-005","7.5011e-001","7.6604e-003"
"","  61.5914e-11","2.5699e-001","-4.1318e-005","7.6861e-001","7.9206e-003"
"","  62.5690e-11","2.5882e-001","-5.4255e-005","7.8682e-001","8.2077e-003"
"","  63.5467e-11","2.6073e-001","-7.1800e-005","8.0527e-001","8.5297e-003"
"","  64.5243e-11","2.6286e-001","-8.9569e-005","8.2413e-001","8.8222e-003"
"","  65.5020e-11","2.6530e-001","-1.0736e-004","8.4207e-001","9.0486e-003"
"","  66.4796e-11","2.6811e-001","-1.2766e-004","8.5969e-001","9.2828e-003"
"","  67.4573e-11","2.7141e-001","-1.5371e-004","8.7703e-001","9.4647e-003"
"","  68.4349e-11","2.7535e-001","-1.7712e-004","8.9312e-001","9.6185e-003"
"","  69.4125e-11","2.7990e-001","-2.0000e-004","9.0749e-001","9.7681e-003"
"","  70.3902e-11","2.8494e-001","-2.2975e-004","9.2085e-001","9.9272e-003"
"","  71.3678e-11","2.9050e-001","-2.6725e-004","9.3397e-001","1.0101e-002"
"","  72.3455e-11","2.9636e-001","-3.1168e-004","9.4766e-001","1.0275e-002"
"","  73.3231e-11","3.0267e-001","-3.6726e-004","9.6146e-001","1.0373e-002"
"","  74.3007e-11","3.0985e-001","-4.3219e-004","9.7431e-001","1.0419e-002"
"","  75.2784e-11","3.1779e-001","-4.9790e-004","9.8700e-001","1.0479e-002"
"","  76.2560e-11","3.2635e-001","-5.6417e-004","9.9939e-001","1.0499e-002"
"","  77.2337e-11","3.3574e-001","-6.3095e-004","1.0110e+000","1.0458e-002"
"","  78.2113e-11","3.4598e-001","-6.9497e-004","1.0219e+000","1.0456e-002"
"","  79.1890e-11","3.5693e-001","-7.6246e-004","1.0322e+000","1.0506e-002"
"","  80.1666e-11","3.6867e-001","-8.4018e-004","1.0422e+000","1.0604e-002"
"","  81.1442e-11","3.8139e-001","-9.2447e-004","1.0517e+000","1.0707e-002"
"","  82.1219e-11","3.9492e-001","-1.0158e-003","1.0603e+000","1.0736e-002"
"","  83.0995e-11","4.0935e-001","-1.1165e-003","1.0676e+000","1.0758e-002"
"","  84.0772e-11","4.2458e-001","-1.2226e-003","1.0742e+000","1.0785e-002"
"","  85.0548e-11","4.4025e-001","-1.3266e-003","1.0802e+000","1.0776e-002"
"","  86.0324e-11","4.5638e-001","-1.4294e-003","1.0849e+000","1.0763e-002"
"","  87.0101e-11","4.7303e-001","-1.5293e-003","1.0893e+000","1.0775e-002"
"","  87.9877e-11","4.9004e-001","-1.6256e-003","1.0943e+000","1.0847e-002"
"","  88.9654e-11","5.0737e-001","-1.7177e-003","1.1002e+000","1.0873e-002"
"","  89.9430e-11","5.2520e-001","-1.8044e-003","1.1068e+000","1.0891e-002"
"","  90.9207e-11","5.4361e-001","-1.8840e-003","1.1129e+000","1.0855e-002"
"","  91.8983e-11","5.6254e-001","-1.9560e-003","1.1185e+000","1.0839e-002"
"","  92.8759e-11","5.8190e-001","-2.0205e-003","1.1237e+000","1.0839e-002"
"","  93.8536e-11","6.0166e-001","-2.0733e-003","1.1283e+000","1.0827e-002"
"","  94.8312e-11","6.2168e-001","-2.1153e-003","1.1324e+000","1.0833e-002"
"","  95.8089e-11","6.4187e-001","-2.1466e-003","1.1360e+000","1.0894e-002"
"","  96.7865e-11","6.6215e-001","-2.1701e-003","1.1398e+000","1.0965e-002"
"","  97.7641e-11","6.8242e-001","-2.1833e-003","1.1433e+000","1.1020e-002"
