"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 11 February 2008   Time: 04:29:57 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: U11:GPIO SMA1 (@100MHz)"
"Probe 1: U11.4 (at pin)"
"Probe 2: J10.1 (at pin)"
"Probe 3: J9.17 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","5.4688e-004",DC,"5.4687e-004",DC,"5.4688e-004",DC
"","   0.4888e-10","5.1635e-004","-1.1062e-006","5.4687e-004","-6.3782e-012","5.4687e-004","-6.9459e-012"
"","   0.9776e-10","4.5712e-004","-2.1562e-006","5.4687e-004","-6.3782e-012","5.2161e-004","-4.3642e-007"
"","   1.4664e-10","4.1098e-004","-3.3112e-006","5.4274e-004","-7.1407e-008","4.1372e-004","-2.3005e-006"
"","   1.9552e-10","3.2337e-004","-3.7025e-006","4.8357e-004","-1.0937e-006","3.4450e-004","-3.4964e-006"
"","   2.4440e-10","2.9783e-004","-3.3946e-006","4.0132e-004","-2.5146e-006","2.6925e-004","-4.7964e-006"
"","   2.9327e-10","2.5658e-004","-3.0417e-006","3.1457e-004","-4.0135e-006","2.4339e-004","-5.2432e-006"
"","   3.4215e-10","2.3836e-004","-2.1240e-006","2.5974e-004","-4.9608e-006","2.2274e-004","-5.6001e-006"
"","   3.9103e-10","2.2340e-004","-1.5966e-006","2.2280e-004","-5.5989e-006","1.9318e-004","-6.1106e-006"
"","   4.3991e-10","1.9738e-004","-8.2711e-007","2.0451e-004","-5.9149e-006","1.9356e-004","-6.1041e-006"
"","   4.8879e-10","2.0526e-004","-4.2461e-007","1.9192e-004","-6.1326e-006","1.8091e-004","-6.3228e-006"
"","   5.3767e-10","1.8685e-004","-2.3862e-007","1.8533e-004","-6.2464e-006","1.9752e-004","-6.0358e-006"
"","   5.8655e-10","1.9161e-004","-1.5251e-007","1.9004e-004","-6.1649e-006","1.8958e-004","-6.1730e-006"
"","   6.3543e-10","1.7845e-004","-3.9357e-007","1.8923e-004","-6.1790e-006","1.8213e-004","-6.3016e-006"
"","   6.8431e-10","1.6825e-004","-3.6201e-007","1.9071e-004","-6.1534e-006","1.7493e-004","-6.4260e-006"
"","   7.3318e-10","1.6648e-004","-5.1567e-007","1.8123e-004","-6.3172e-006","1.5946e-004","-6.6933e-006"
"","   7.8206e-10","1.5247e-004","-4.5278e-007","1.7126e-004","-6.4895e-006","1.6137e-004","-6.6603e-006"
"","   8.3094e-10","1.5648e-004","-4.2556e-007","1.6221e-004","-6.6457e-006","1.4687e-004","-6.9108e-006"
"","   8.7982e-10","1.4453e-004","-4.0177e-007","1.5290e-004","-6.8065e-006","1.4701e-004","-6.9085e-006"
"","   9.2870e-10","1.4555e-004","-2.3138e-007","1.4961e-004","-6.8634e-006","1.4075e-004","-7.0166e-006"
"","   9.7758e-10","1.4262e-004","-2.1659e-007","1.4279e-004","-6.9813e-006","1.3837e-004","-7.0577e-006"
"","  10.2646e-10","1.3929e-004","-7.0623e-008","1.4091e-004","-7.0137e-006","1.4189e-004","-6.9968e-006"
"","  10.7534e-10","1.4276e-004","-8.8602e-008","1.3915e-004","-7.0442e-006","1.3688e-004","-7.0834e-006"
"","  11.2422e-10","1.3617e-004","-6.0459e-008","1.3920e-004","-7.0434e-006","1.4149e-004","-7.0038e-006"
"","  11.7310e-10","1.4001e-004","-4.3361e-008","1.4030e-004","-7.0242e-006","1.3608e-004","-7.0972e-006"
"","  12.2197e-10","1.3523e-004","-8.5405e-008","1.3829e-004","-7.0590e-006","1.3743e-004","-7.0739e-006"
"","  12.7085e-10","1.3592e-004","-4.3053e-008","1.3847e-004","-7.0558e-006","1.3617e-004","-7.0956e-006"
"","  13.1973e-10","1.3555e-004","-9.7184e-008","1.3638e-004","-7.0921e-006","1.3368e-004","-7.1387e-006"
"","  13.6861e-10","1.3247e-004","-5.5509e-008","1.3597e-004","-7.0991e-006","1.3536e-004","-7.1096e-006"
"","  14.1749e-10","1.3486e-004","-6.5885e-008","1.3476e-004","-7.1199e-006","1.3114e-004","-7.1826e-006"
"","  14.6637e-10","1.3108e-004","-5.3961e-008","1.3328e-004","-7.1456e-006","1.3347e-004","-7.1422e-006"
"","  15.1525e-10","1.3347e-004","-2.4275e-008","1.3314e-004","-7.1481e-006","1.3125e-004","-7.1807e-006"
"","  15.6413e-10","1.3162e-004","-4.2421e-008","1.3185e-004","-7.1703e-006","1.3195e-004","-7.1686e-006"
"","  16.1301e-10","1.3167e-004","-4.4790e-009","1.3234e-004","-7.1617e-006","1.3219e-004","-7.1643e-006"
"","  16.6189e-10","1.3236e-004","-2.7603e-008","1.3170e-004","-7.1728e-006","1.3064e-004","-7.1912e-006"
"","  17.1076e-10","1.3046e-004","-8.0756e-009","1.3179e-004","-7.1713e-006","1.3245e-004","-7.1600e-006"
"","  17.5964e-10","1.3235e-004","-1.2906e-008","1.3178e-004","-7.1714e-006","1.3043e-004","-7.1949e-006"
"","  18.0852e-10","1.3035e-004","-1.9089e-008","1.3131e-004","-7.1797e-006","1.3179e-004","-7.1714e-006"
"","  18.5740e-10","1.3149e-004","-4.2311e-009","1.3163e-004","-7.1741e-006","1.3076e-004","-7.1892e-006"
"","  19.0628e-10","1.3088e-004","-2.1061e-008","1.3098e-004","-7.1853e-006","1.3067e-004","-7.1907e-006"
"","  19.5516e-10","1.3064e-004","2.2145e-010","1.3120e-004","-7.1815e-006","1.3124e-004","-7.1809e-006"
"","  20.0404e-10","1.3154e-004","-4.4192e-009","1.3085e-004","-7.1875e-006","1.3027e-004","-7.1976e-006"
"","  20.5292e-10","1.3084e-004","1.2217e-008","1.3083e-004","-7.1880e-006","1.3151e-004","-7.1761e-006"
"","  21.0180e-10","1.3246e-004","2.3957e-008","1.3101e-004","-7.1848e-006","1.3115e-004","-7.1824e-006"
"","  21.5068e-10","1.3225e-004","2.8788e-008","1.3114e-004","-7.1826e-006","1.3257e-004","-7.1578e-006"
"","  21.9955e-10","1.3345e-004","4.4718e-008","1.3200e-004","-7.1678e-006","1.3313e-004","-7.1481e-006"
"","  22.4843e-10","1.3406e-004","3.8166e-008","1.3252e-004","-7.1588e-006","1.3375e-004","-7.1375e-006"
"","  22.9731e-10","1.3444e-004","4.7678e-008","1.3351e-004","-7.1416e-006","1.3493e-004","-7.1171e-006"
"","  23.4619e-10","1.3568e-004","4.1613e-008","1.3424e-004","-7.1290e-006","1.3506e-004","-7.1149e-006"
"","  23.9507e-10","1.3572e-004","4.2214e-008","1.3494e-004","-7.1169e-006","1.3637e-004","-7.0922e-006"
"","  24.4395e-10","1.3696e-004","4.1557e-008","1.3574e-004","-7.1030e-006","1.3654e-004","-7.0893e-006"
"","  24.9283e-10","1.3712e-004","3.4011e-008","1.3626e-004","-7.0941e-006","1.3743e-004","-7.0739e-006"
"","  25.4171e-10","1.3785e-004","1.4568e-007","1.3707e-004","-7.0802e-006","1.3791e-004","-7.0656e-006"
"","  25.9059e-10","1.8513e-004","4.8756e-006","1.3751e-004","-7.0725e-006","1.3823e-004","-7.0600e-006"
"","  26.3947e-10","1.4468e-003","6.2492e-005","1.3809e-004","-7.0625e-006","1.7462e-004","-6.4314e-006"
"","  26.8834e-10","5.9633e-003","1.7492e-004","1.4667e-004","-6.9142e-006","1.2718e-003","1.2524e-005"
"","  27.3722e-10","1.3867e-002","3.8026e-004","4.7451e-004","-1.2502e-006","8.0830e-003","1.3020e-004"
"","  27.8610e-10","2.8589e-002","6.5828e-004","3.8224e-003","5.6591e-005","1.9284e-002","3.2371e-004"
"","  28.3498e-10","4.6645e-002","9.7326e-004","1.1356e-002","1.8675e-004","3.8341e-002","6.5296e-004"
"","  28.8386e-10","7.2825e-002","1.3568e-003","2.5242e-002","4.2665e-004","6.2320e-002","1.0672e-003"
"","  29.3274e-10","1.0542e-001","1.7560e-003","4.5460e-002","7.7595e-004","9.2608e-002","1.5905e-003"
"","  29.8162e-10","1.4345e-001","2.1945e-003","7.1773e-002","1.2306e-003","1.3290e-001","2.2866e-003"
"","  30.3050e-10","1.9031e-001","2.5911e-003","1.0485e-001","1.8020e-003","1.7883e-001","3.0801e-003"
"","  30.7938e-10","2.3693e-001","2.8420e-003","1.4613e-001","2.5153e-003","2.3167e-001","3.9930e-003"
"","  31.2826e-10","2.9167e-001","3.1907e-003","1.9468e-001","3.3539e-003","2.8525e-001","4.9188e-003"
"","  31.7713e-10","3.5111e-001","3.4757e-003","2.4741e-001","4.2651e-003","3.3784e-001","5.8273e-003"
"","  32.2601e-10","4.0828e-001","3.8034e-003","2.9960e-001","5.1666e-003","4.0640e-001","7.0118e-003"
"","  32.7489e-10","4.8100e-001","4.0060e-003","3.5919e-001","6.1962e-003","4.7113e-001","8.1302e-003"
"","  33.2377e-10","5.4930e-001","4.2809e-003","4.2751e-001","7.3765e-003","5.4550e-001","9.4150e-003"
"","  33.7265e-10","6.2022e-001","4.2895e-003","4.9857e-001","8.6042e-003","6.1687e-001","1.0648e-002"
"","  34.2153e-10","6.7550e-001","4.0350e-003","5.6736e-001","9.7927e-003","6.9557e-001","1.2008e-002"
"","  34.7041e-10","7.3341e-001","3.5184e-003","6.4533e-001","1.1140e-002","7.4476e-001","1.2858e-002"
"","  35.1929e-10","7.6836e-001","2.9817e-003","7.1168e-001","1.2286e-002","7.8878e-001","1.3618e-002"
"","  35.6817e-10","8.1121e-001","2.5262e-003","7.6193e-001","1.3154e-002","8.1872e-001","1.4135e-002"
"","  36.1705e-10","8.3818e-001","2.2120e-003","7.9671e-001","1.3755e-002","8.5288e-001","1.4726e-002"
"","  36.6592e-10","8.7735e-001","1.9711e-003","8.3004e-001","1.4331e-002","8.7587e-001","1.5123e-002"
"","  37.1480e-10","9.0500e-001","1.7913e-003","8.5589e-001","1.4778e-002","9.1262e-001","1.5758e-002"
"","  37.6368e-10","9.3671e-001","1.8411e-003","8.9033e-001","1.5373e-002","9.3690e-001","1.6177e-002"
"","  38.1256e-10","9.6167e-001","1.7350e-003","9.1547e-001","1.5807e-002","9.6260e-001","1.6621e-002"
"","  38.6144e-10","9.8861e-001","1.6945e-003","9.4289e-001","1.6281e-002","9.9215e-001","1.7132e-002"
"","  39.1032e-10","1.0134e+000","1.5686e-003","9.7305e-001","1.6802e-002","1.0155e+000","1.7535e-002"
"","  39.5920e-10","1.0339e+000","1.4723e-003","1.0009e+000","1.7283e-002","1.0393e+000","1.7946e-002"
"","  40.0808e-10","1.0541e+000","1.3295e-003","1.0233e+000","1.7669e-002","1.0581e+000","1.8271e-002"
"","  40.5696e-10","1.0704e+000","1.1616e-003","1.0453e+000","1.8050e-002","1.0744e+000","1.8552e-002"
"","  41.0584e-10","1.0862e+000","9.9784e-004","1.0644e+000","1.8380e-002","1.0898e+000","1.8819e-002"
"","  41.5471e-10","1.0985e+000","8.9911e-004","1.0808e+000","1.8663e-002","1.1029e+000","1.9046e-002"
"","  42.0359e-10","1.1111e+000","7.8116e-004","1.0941e+000","1.8893e-002","1.1124e+000","1.9209e-002"
"","  42.5247e-10","1.1204e+000","6.8482e-004","1.1052e+000","1.9085e-002","1.1235e+000","1.9402e-002"
"","  43.0135e-10","1.1308e+000","6.2469e-004","1.1165e+000","1.9281e-002","1.1317e+000","1.9543e-002"
"","  43.5023e-10","1.1388e+000","5.5919e-004","1.1257e+000","1.9439e-002","1.1406e+000","1.9696e-002"
"","  43.9911e-10","1.1462e+000","5.2152e-004","1.1345e+000","1.9591e-002","1.1482e+000","1.9828e-002"
"","  44.4799e-10","1.1532e+000","4.5225e-004","1.1423e+000","1.9725e-002","1.1540e+000","1.9927e-002"
"","  44.9687e-10","1.1584e+000","4.0475e-004","1.1497e+000","1.9853e-002","1.1606e+000","2.0042e-002"
"","  45.4575e-10","1.1641e+000","3.6039e-004","1.1563e+000","1.9968e-002","1.1648e+000","2.0115e-002"
"","  45.9463e-10","1.1679e+000","3.1370e-004","1.1615e+000","2.0058e-002","1.1696e+000","2.0197e-002"
"","  46.4350e-10","1.1722e+000","2.7733e-004","1.1663e+000","2.0140e-002","1.1731e+000","2.0259e-002"
"","  46.9238e-10","1.1753e+000","2.3006e-004","1.1703e+000","2.0209e-002","1.1763e+000","2.0313e-002"
"","  47.4126e-10","1.1779e+000","2.0370e-004","1.1741e+000","2.0276e-002","1.1792e+000","2.0364e-002"
"","  47.9014e-10","1.1807e+000","1.7513e-004","1.1770e+000","2.0326e-002","1.1809e+000","2.0393e-002"
"","  48.3902e-10","1.1824e+000","1.5640e-004","1.1794e+000","2.0366e-002","1.1833e+000","2.0434e-002"
"","  48.8790e-10","1.1848e+000","1.4059e-004","1.1815e+000","2.0403e-002","1.1849e+000","2.0462e-002"
"","  49.3678e-10","1.1863e+000","1.2485e-004","1.1835e+000","2.0437e-002","1.1869e+000","2.0497e-002"
"","  49.8566e-10","1.1880e+000","1.1559e-004","1.1854e+000","2.0471e-002","1.1884e+000","2.0522e-002"
"","  50.3454e-10","1.1892e+000","9.7725e-005","1.1870e+000","2.0498e-002","1.1896e+000","2.0543e-002"
"","  50.8342e-10","1.1902e+000","8.5461e-005","1.1886e+000","2.0525e-002","1.1908e+000","2.0564e-002"
"","  51.3230e-10","1.1912e+000","6.9811e-005","1.1898e+000","2.0547e-002","1.1914e+000","2.0574e-002"
"","  51.8117e-10","1.1917e+000","5.9821e-005","1.1908e+000","2.0564e-002","1.1923e+000","2.0589e-002"
"","  52.3005e-10","1.1925e+000","4.7873e-005","1.1916e+000","2.0577e-002","1.1927e+000","2.0596e-002"
"","  52.7893e-10","1.1926e+000","3.3200e-005","1.1921e+000","2.0587e-002","1.1932e+000","2.0606e-002"
"","  53.2781e-10","1.1929e+000","2.2979e-005","1.1928e+000","2.0598e-002","1.1932e+000","2.0606e-002"
"","  53.7669e-10","1.1928e+000","9.7400e-006","1.1930e+000","2.0602e-002","1.1931e+000","2.0603e-002"
"","  54.2557e-10","1.1927e+000","6.1371e-006","1.1931e+000","2.0604e-002","1.1930e+000","2.0602e-002"
"","  54.7445e-10","1.1929e+000","2.6834e-006","1.1930e+000","2.0601e-002","1.1927e+000","2.0596e-002"
"","  55.2333e-10","1.1928e+000","7.4608e-006","1.1928e+000","2.0598e-002","1.1929e+000","2.0600e-002"
"","  55.7221e-10","1.1934e+000","1.7156e-005","1.1927e+000","2.0597e-002","1.1929e+000","2.0601e-002"
"","  56.2108e-10","1.1938e+000","2.5263e-005","1.1927e+000","2.0597e-002","1.1935e+000","2.0611e-002"
"","  56.6996e-10","1.1943e+000","3.4182e-005","1.1931e+000","2.0603e-002","1.1942e+000","2.0623e-002"
"","  57.1884e-10","1.1948e+000","3.4002e-005","1.1936e+000","2.0613e-002","1.1948e+000","2.0633e-002"
"","  57.6772e-10","1.1951e+000","3.2266e-005","1.1944e+000","2.0625e-002","1.1954e+000","2.0644e-002"
"","  58.1660e-10","1.1955e+000","2.5842e-005","1.1950e+000","2.0637e-002","1.1956e+000","2.0647e-002"
"","  58.6548e-10","1.1956e+000","1.8180e-005","1.1955e+000","2.0644e-002","1.1959e+000","2.0652e-002"
"","  59.1436e-10","1.1958e+000","1.1943e-005","1.1958e+000","2.0650e-002","1.1959e+000","2.0653e-002"
"","  59.6324e-10","1.1958e+000","5.2370e-006","1.1959e+000","2.0653e-002","1.1960e+000","2.0653e-002"
"","  60.1212e-10","1.1959e+000","3.2538e-006","1.1960e+000","2.0654e-002","1.1960e+000","2.0653e-002"
"","  60.6100e-10","1.1960e+000","1.3100e-006","1.1960e+000","2.0654e-002","1.1959e+000","2.0652e-002"
"","  61.0987e-10","1.1960e+000","1.6645e-006","1.1960e+000","2.0654e-002","1.1960e+000","2.0654e-002"
"","  61.5875e-10","1.1961e+000","2.2382e-006","1.1960e+000","2.0654e-002","1.1961e+000","2.0655e-002"
"","  62.0763e-10","1.1960e+000","-8.7262e-006","1.1961e+000","2.0655e-002","1.1962e+000","2.0656e-002"
"","  62.5651e-10","1.1948e+000","-4.6771e-005","1.1962e+000","2.0656e-002","1.1962e+000","2.0657e-002"
"","  63.0539e-10","1.1918e+000","-1.3029e-004","1.1962e+000","2.0658e-002","1.1947e+000","2.0630e-002"
"","  63.5427e-10","1.1858e+000","-2.6386e-004","1.1957e+000","2.0648e-002","1.1903e+000","2.0555e-002"
"","  64.0315e-10","1.1769e+000","-4.3294e-004","1.1934e+000","2.0608e-002","1.1821e+000","2.0414e-002"
"","  64.5203e-10","1.1650e+000","-6.2170e-004","1.1880e+000","2.0515e-002","1.1704e+000","2.0211e-002"
"","  65.0091e-10","1.1502e+000","-8.1103e-004","1.1788e+000","2.0356e-002","1.1557e+000","1.9957e-002"
"","  65.4979e-10","1.1331e+000","-9.9400e-004","1.1660e+000","2.0135e-002","1.1380e+000","1.9652e-002"
"","  65.9866e-10","1.1132e+000","-1.1684e-003","1.1500e+000","1.9859e-002","1.1179e+000","1.9305e-002"
"","  66.4754e-10","1.0911e+000","-1.3112e-003","1.1314e+000","1.9537e-002","1.0953e+000","1.8914e-002"
"","  66.9642e-10","1.0677e+000","-1.4360e-003","1.1102e+000","1.9171e-002","1.0703e+000","1.8481e-002"
"","  67.4530e-10","1.0416e+000","-1.5933e-003","1.0866e+000","1.8763e-002","1.0452e+000","1.8048e-002"
"","  67.9418e-10","1.0092e+000","-1.8014e-003","1.0617e+000","1.8333e-002","1.0179e+000","1.7577e-002"
"","  68.4306e-10","9.7464e-001","-2.0672e-003","1.0354e+000","1.7878e-002","9.8182e-001","1.6953e-002"
"","  68.9194e-10","9.3123e-001","-2.3735e-003","1.0048e+000","1.7350e-002","9.4125e-001","1.6252e-002"
"","  69.4082e-10","8.9097e-001","-2.4379e-003","9.6864e-001","1.6726e-002","8.9444e-001","1.5444e-002"
"","  69.8970e-10","8.5684e-001","-2.5075e-003","9.2544e-001","1.5979e-002","8.4794e-001","1.4640e-002"
"","  70.3858e-10","8.1039e-001","-2.5901e-003","8.7881e-001","1.5174e-002","8.1975e-001","1.4153e-002"
