"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 06:23:04 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J21 (at pin)"
"Probe 2: U15.J20 (at pin)"
"Probe 3 (Differential): P5.C20 (at pin)/P5.C19 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4820e+000",DC,"1.0692e+000",DC,"4.0040e-001",DC
"","   0.1955e-10","1.4820e+000","3.9781e-003","1.0692e+000","-3.9796e-003","4.0040e-001","8.0079e-003"
"","   0.3910e-10","1.4820e+000","3.9799e-003","1.0692e+000","-3.9829e-003","4.0040e-001","8.0079e-003"
"","   0.5865e-10","1.4820e+000","3.9812e-003","1.0692e+000","-3.9857e-003","4.0040e-001","8.0079e-003"
"","   0.7820e-10","1.4820e+000","3.9810e-003","1.0692e+000","-3.9882e-003","4.0040e-001","8.0079e-003"
"","   0.9775e-10","1.4812e+000","3.9627e-003","1.0700e+000","-3.9903e-003","4.0040e-001","8.0079e-003"
"","   1.1730e-10","1.4810e+000","3.9018e-003","1.0702e+000","-3.9913e-003","4.0040e-001","8.0079e-003"
"","   1.3685e-10","1.4810e+000","3.6905e-003","1.0701e+000","-3.9687e-003","4.0040e-001","8.0079e-003"
"","   1.5640e-10","1.4811e+000","3.4619e-003","1.0700e+000","-3.9036e-003","4.0040e-001","8.0079e-003"
"","   1.7595e-10","1.4809e+000","3.1858e-003","1.0699e+000","-3.6669e-003","4.0040e-001","8.0079e-003"
"","   1.9550e-10","1.4801e+000","3.0347e-003","1.0698e+000","-3.4186e-003","4.0040e-001","8.0079e-003"
"","   2.1505e-10","1.4766e+000","2.8564e-003","1.0699e+000","-3.1818e-003","4.0040e-001","8.0079e-003"
"","   2.3461e-10","1.4682e+000","2.6602e-003","1.0710e+000","-2.9864e-003","4.0040e-001","8.0079e-003"
"","   2.5416e-10","1.4591e+000","2.0793e-003","1.0738e+000","-2.5252e-003","4.0040e-001","8.0079e-003"
"","   2.7371e-10","1.4498e+000","1.3068e-003","1.0827e+000","-1.8836e-003","4.0040e-001","8.0079e-003"
"","   2.9326e-10","1.4420e+000","6.0637e-004","1.0943e+000","-9.9046e-004","4.0040e-001","8.0079e-003"
"","   3.1281e-10","1.4348e+000","-1.1324e-004","1.1032e+000","6.1089e-005","4.0040e-001","8.0079e-003"
"","   3.3236e-10","1.4241e+000","-6.8231e-004","1.1130e+000","1.0841e-003","4.0040e-001","8.0079e-003"
"","   3.5191e-10","1.3996e+000","-1.2162e-003","1.1326e+000","2.1179e-003","4.0040e-001","8.0079e-003"
"","   3.7146e-10","1.3702e+000","-1.5979e-003","1.1596e+000","2.7983e-003","4.0040e-001","8.0079e-003"
"","   3.9101e-10","1.3422e+000","-1.9914e-003","1.1963e+000","3.3447e-003","4.0040e-001","8.0079e-003"
"","   4.1056e-10","1.3157e+000","-2.3801e-003","1.2377e+000","3.8880e-003","4.0040e-001","8.0079e-003"
"","   4.3011e-10","1.2922e+000","-2.9150e-003","1.2775e+000","4.4797e-003","4.0040e-001","8.0079e-003"
"","   4.4966e-10","1.2714e+000","-3.1096e-003","1.3147e+000","4.8472e-003","4.0040e-001","8.0079e-003"
"","   4.6921e-10","1.2529e+000","-3.1642e-003","1.3437e+000","5.1444e-003","4.0040e-001","8.0079e-003"
"","   4.8876e-10","1.2362e+000","-3.2157e-003","1.3681e+000","5.2044e-003","4.0040e-001","8.0079e-003"
"","   5.0831e-10","1.2191e+000","-3.2355e-003","1.3914e+000","5.1313e-003","4.0040e-001","8.0079e-003"
"","   5.2786e-10","1.2031e+000","-3.2983e-003","1.4115e+000","5.0404e-003","4.0040e-001","8.0079e-003"
"","   5.4741e-10","1.1938e+000","-3.3162e-003","1.4268e+000","4.8055e-003","4.0040e-001","8.0079e-003"
"","   5.6696e-10","1.1869e+000","-3.3547e-003","1.4376e+000","4.7237e-003","4.0040e-001","8.0079e-003"
"","   5.8651e-10","1.1814e+000","-3.4377e-003","1.4431e+000","4.7094e-003","4.0040e-001","8.0079e-003"
"","   6.0606e-10","1.1761e+000","-3.4936e-003","1.4457e+000","4.6478e-003","4.0040e-001","8.0079e-003"
"","   6.2561e-10","1.1709e+000","-3.4324e-003","1.4461e+000","4.5546e-003","4.0040e-001","8.0079e-003"
"","   6.4516e-10","1.1656e+000","-3.5103e-003","1.4466e+000","4.4902e-003","4.0040e-001","8.0080e-003"
"","   6.6471e-10","1.1609e+000","-3.5790e-003","1.4485e+000","4.4158e-003","4.0040e-001","8.0080e-003"
"","   6.8426e-10","1.1551e+000","-3.6663e-003","1.4514e+000","4.4145e-003","4.0040e-001","8.0080e-003"
"","   7.0382e-10","1.1512e+000","-3.7651e-003","1.4526e+000","4.4556e-003","4.0040e-001","8.0080e-003"
"","   7.2337e-10","1.1480e+000","-3.8431e-003","1.4538e+000","4.5068e-003","4.0040e-001","8.0080e-003"
"","   7.4292e-10","1.1430e+000","-3.8989e-003","1.4543e+000","4.5684e-003","4.0040e-001","8.0080e-003"
"","   7.6247e-10","1.1388e+000","-3.9957e-003","1.4554e+000","4.6089e-003","4.0040e-001","8.0080e-003"
"","   7.8202e-10","1.1345e+000","-4.0015e-003","1.4573e+000","4.5822e-003","4.0040e-001","8.0080e-003"
"","   8.0157e-10","1.1302e+000","-4.0248e-003","1.4593e+000","4.5911e-003","4.0040e-001","8.0080e-003"
"","   8.2112e-10","1.1258e+000","-4.1007e-003","1.4623e+000","4.5829e-003","4.0040e-001","8.0080e-003"
"","   8.4067e-10","1.1222e+000","-4.0991e-003","1.4646e+000","4.5903e-003","4.0040e-001","8.0080e-003"
"","   8.6022e-10","1.1185e+000","-4.1229e-003","1.4659e+000","4.5977e-003","4.0040e-001","8.0080e-003"
"","   8.7977e-10","1.1167e+000","-4.1353e-003","1.4662e+000","4.5983e-003","4.0040e-001","8.0080e-003"
"","   8.9932e-10","1.1140e+000","-4.1590e-003","1.4671e+000","4.6217e-003","4.0040e-001","8.0080e-003"
"","   9.1887e-10","1.1114e+000","-4.1602e-003","1.4674e+000","4.5919e-003","4.0040e-001","8.0080e-003"
"","   9.3842e-10","1.1099e+000","-4.1849e-003","1.4684e+000","4.5761e-003","4.0040e-001","8.0080e-003"
"","   9.5797e-10","1.1085e+000","-4.1624e-003","1.4691e+000","4.5569e-003","4.0040e-001","8.0080e-003"
"","   9.7752e-10","1.1071e+000","-4.1899e-003","1.4694e+000","4.5707e-003","4.0040e-001","8.0080e-003"
"","   9.9707e-10","1.1056e+000","-4.2035e-003","1.4701e+000","4.5518e-003","4.0040e-001","8.0080e-003"
"","  10.1662e-10","1.1043e+000","-4.1868e-003","1.4700e+000","4.5564e-003","4.0040e-001","8.0080e-003"
"","  10.3617e-10","1.1032e+000","-4.1950e-003","1.4698e+000","4.5336e-003","4.0040e-001","8.0079e-003"
"","  10.5572e-10","1.1025e+000","-4.1976e-003","1.4700e+000","4.5109e-003","4.0040e-001","8.0079e-003"
"","  10.7527e-10","1.1008e+000","-4.2164e-003","1.4704e+000","4.5344e-003","4.0040e-001","8.0079e-003"
"","  10.9482e-10","1.0999e+000","-4.2167e-003","1.4706e+000","4.5026e-003","4.0040e-001","8.0079e-003"
"","  11.1437e-10","1.0992e+000","-4.2306e-003","1.4710e+000","4.4555e-003","3.9998e-001","7.9802e-003"
