"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 05:54:50 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.H20 (at pin)"
"Probe 2: U15.H19 (at pin)"
"Probe 3 (Differential): P5.F20 (at pin)/P5.F19 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4820e+000",DC,"1.0692e+000",DC,"4.0046e-001",DC
"","   0.1955e-10","1.4820e+000","3.9786e-003","1.0692e+000","-3.9801e-003","4.0046e-001","8.0090e-003"
"","   0.3911e-10","1.4820e+000","3.9804e-003","1.0692e+000","-3.9834e-003","4.0046e-001","8.0090e-003"
"","   0.5866e-10","1.4820e+000","3.9818e-003","1.0692e+000","-3.9862e-003","4.0046e-001","8.0090e-003"
"","   0.7822e-10","1.4818e+000","3.9792e-003","1.0694e+000","-3.9886e-003","4.0046e-001","8.0090e-003"
"","   0.9777e-10","1.4810e+000","3.9561e-003","1.0702e+000","-3.9907e-003","4.0046e-001","8.0090e-003"
"","   1.1732e-10","1.4810e+000","3.8710e-003","1.0701e+000","-3.9874e-003","4.0046e-001","8.0090e-003"
"","   1.3688e-10","1.4810e+000","3.6480e-003","1.0700e+000","-3.9620e-003","4.0046e-001","8.0090e-003"
"","   1.5643e-10","1.4810e+000","3.4202e-003","1.0699e+000","-3.8885e-003","4.0046e-001","8.0090e-003"
"","   1.7599e-10","1.4806e+000","3.1930e-003","1.0698e+000","-3.6644e-003","4.0046e-001","8.0090e-003"
"","   1.9554e-10","1.4789e+000","3.0011e-003","1.0698e+000","-3.3632e-003","4.0046e-001","8.0090e-003"
"","   2.1509e-10","1.4724e+000","2.8226e-003","1.0704e+000","-3.1464e-003","4.0046e-001","8.0090e-003"
"","   2.3465e-10","1.4635e+000","2.5609e-003","1.0723e+000","-2.9065e-003","4.0046e-001","8.0090e-003"
"","   2.5420e-10","1.4542e+000","1.9189e-003","1.0776e+000","-2.4002e-003","4.0046e-001","8.0090e-003"
"","   2.7375e-10","1.4458e+000","1.1756e-003","1.0884e+000","-1.7305e-003","4.0046e-001","8.0090e-003"
"","   2.9331e-10","1.4382e+000","4.8910e-004","1.0993e+000","-7.9171e-004","4.0046e-001","8.0090e-003"
"","   3.1286e-10","1.4311e+000","-1.3702e-004","1.1072e+000","2.5080e-004","4.0046e-001","8.0090e-003"
"","   3.3242e-10","1.4132e+000","-6.9399e-004","1.1219e+000","1.2320e-003","4.0046e-001","8.0090e-003"
"","   3.5197e-10","1.3841e+000","-1.1775e-003","1.1456e+000","2.1300e-003","4.0046e-001","8.0090e-003"
"","   3.7152e-10","1.3560e+000","-1.6198e-003","1.1775e+000","2.7874e-003","4.0046e-001","8.0090e-003"
"","   3.9108e-10","1.3292e+000","-2.0109e-003","1.2175e+000","3.3697e-003","4.0046e-001","8.0090e-003"
"","   4.1063e-10","1.3046e+000","-2.4270e-003","1.2584e+000","3.9373e-003","4.0046e-001","8.0090e-003"
"","   4.3019e-10","1.2823e+000","-2.7347e-003","1.2967e+000","4.3653e-003","4.0046e-001","8.0090e-003"
"","   4.4974e-10","1.2623e+000","-2.8560e-003","1.3285e+000","4.6771e-003","4.0046e-001","8.0090e-003"
