"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 06:32:59 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.N28 (at pin)"
"Probe 2: U15.M28 (at pin)"
"Probe 3 (Differential): P5.A4 (at pin)/P5.A3 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4819e+000",DC,"1.0692e+000",DC,"4.0063e-001",DC
"","   0.1955e-10","1.4819e+000","3.9803e-003","1.0692e+000","-3.9816e-003","4.0063e-001","8.0124e-003"
"","   0.3910e-10","1.4819e+000","3.9821e-003","1.0692e+000","-3.9847e-003","4.0063e-001","8.0124e-003"
"","   0.5865e-10","1.4819e+000","3.9835e-003","1.0692e+000","-3.9874e-003","4.0063e-001","8.0124e-003"
"","   0.7820e-10","1.4819e+000","3.9833e-003","1.0692e+000","-3.9897e-003","4.0063e-001","8.0124e-003"
"","   0.9775e-10","1.4814e+000","3.9649e-003","1.0698e+000","-3.9918e-003","4.0063e-001","8.0124e-003"
"","   1.1730e-10","1.4810e+000","3.9041e-003","1.0701e+000","-3.9926e-003","4.0063e-001","8.0124e-003"
"","   1.3685e-10","1.4810e+000","3.6927e-003","1.0701e+000","-3.9700e-003","4.0063e-001","8.0124e-003"
"","   1.5640e-10","1.4810e+000","3.4641e-003","1.0700e+000","-3.9048e-003","4.0063e-001","8.0124e-003"
"","   1.7595e-10","1.4809e+000","3.1870e-003","1.0699e+000","-3.6671e-003","4.0063e-001","8.0124e-003"
"","   1.9550e-10","1.4803e+000","3.0281e-003","1.0698e+000","-3.4115e-003","4.0063e-001","8.0124e-003"
"","   2.1506e-10","1.4776e+000","2.8575e-003","1.0699e+000","-3.1828e-003","4.0063e-001","8.0124e-003"
"","   2.3461e-10","1.4705e+000","2.6635e-003","1.0707e+000","-2.9897e-003","4.0063e-001","8.0124e-003"
"","   2.5416e-10","1.4619e+000","2.0822e-003","1.0730e+000","-2.5286e-003","4.0063e-001","8.0124e-003"
"","   2.7371e-10","1.4527e+000","1.3019e-003","1.0803e+000","-1.8868e-003","4.0063e-001","8.0124e-003"
"","   2.9326e-10","1.4445e+000","5.7996e-004","1.0909e+000","-9.9296e-004","4.0063e-001","8.0124e-003"
"","   3.1281e-10","1.4372e+000","-2.1058e-004","1.1002e+000","6.8590e-005","4.0063e-001","8.0124e-003"
"","   3.3236e-10","1.4277e+000","-8.1657e-004","1.1096e+000","1.1137e-003","4.0063e-001","8.0124e-003"
"","   3.5191e-10","1.4070e+000","-1.3543e-003","1.1265e+000","2.2074e-003","4.0063e-001","8.0124e-003"
"","   3.7146e-10","1.3792e+000","-1.7156e-003","1.1511e+000","2.9595e-003","4.0063e-001","8.0124e-003"
"","   3.9101e-10","1.3510e+000","-2.0843e-003","1.1847e+000","3.5002e-003","4.0063e-001","8.0124e-003"
"","   4.1056e-10","1.3229e+000","-2.4714e-003","1.2246e+000","4.0111e-003","4.0063e-001","8.0124e-003"
"","   4.3011e-10","1.2980e+000","-3.1629e-003","1.2649e+000","4.6982e-003","4.0063e-001","8.0128e-003"
"","   4.4966e-10","1.2762e+000","-3.5142e-003","1.3040e+000","5.1911e-003","4.0063e-001","8.0129e-003"
"","   4.6921e-10","1.2575e+000","-3.5761e-003","1.3360e+000","5.6262e-003","4.0064e-001","8.0130e-003"
"","   4.8876e-10","1.2407e+000","-3.6196e-003","1.3620e+000","5.8034e-003","4.0064e-001","8.0130e-003"
"","   5.0831e-10","1.2237e+000","-3.5508e-003","1.3855e+000","5.7452e-003","4.0062e-001","8.0119e-003"
"","   5.2786e-10","1.2049e+000","-3.5312e-003","1.4080e+000","5.6325e-003","4.0062e-001","8.0117e-003"
"","   5.4741e-10","1.1918e+000","-3.4711e-003","1.4266e+000","5.2593e-003","4.0062e-001","8.0116e-003"
"","   5.6696e-10","1.1837e+000","-3.4791e-003","1.4411e+000","5.0224e-003","4.0062e-001","8.0121e-003"
"","   5.8651e-10","1.1783e+000","-3.5545e-003","1.4498e+000","4.9454e-003","4.0062e-001","8.0122e-003"
"","   6.0606e-10","1.1746e+000","-3.6996e-003","1.4535e+000","4.9172e-003","4.0062e-001","8.0123e-003"
"","   6.2561e-10","1.1711e+000","-3.5313e-003","1.4540e+000","4.7547e-003","4.0063e-001","8.0124e-003"
"","   6.4517e-10","1.1674e+000","-3.4583e-003","1.4519e+000","4.6242e-003","4.0063e-001","8.0124e-003"
"","   6.6472e-10","1.1635e+000","-3.4840e-003","1.4506e+000","4.4366e-003","4.0063e-001","8.0124e-003"
"","   6.8427e-10","1.1579e+000","-3.5361e-003","1.4520e+000","4.3239e-003","4.0063e-001","8.0124e-003"
"","   7.0382e-10","1.1527e+000","-3.6660e-003","1.4537e+000","4.3279e-003","4.0063e-001","8.0124e-003"
"","   7.2337e-10","1.1509e+000","-3.7689e-003","1.4540e+000","4.3044e-003","4.0063e-001","8.0124e-003"
"","   7.4292e-10","1.1484e+000","-3.8678e-003","1.4536e+000","4.4150e-003","4.0063e-001","8.0124e-003"
