"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:25:47 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.L34 (at pin)"
"Probe 2: U15.K34 (at pin)"
"Probe 3 (Differential): P5.D2 (at pin)/P5.D1 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0067e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9803e-003","1.4819e+000","3.9798e-003","4.0067e-001","8.0134e-003"
"","   1.9550e-11","1.0692e+000","-3.9820e-003","1.4819e+000","3.9808e-003","4.0067e-001","8.0134e-003"
"","   2.9326e-11","1.0692e+000","-3.9836e-003","1.4819e+000","3.9818e-003","4.0067e-001","8.0134e-003"
"","   3.9101e-11","1.0692e+000","-3.9851e-003","1.4819e+000","3.9826e-003","4.0067e-001","8.0134e-003"
"","   4.8876e-11","1.0692e+000","-3.9865e-003","1.4819e+000","3.9833e-003","4.0067e-001","8.0134e-003"
"","   5.8651e-11","1.0692e+000","-3.9878e-003","1.4819e+000","3.9840e-003","4.0067e-001","8.0134e-003"
"","   6.8427e-11","1.0692e+000","-3.9890e-003","1.4819e+000","3.9844e-003","4.0067e-001","8.0134e-003"
"","   7.8202e-11","1.0692e+000","-3.9901e-003","1.4819e+000","3.9838e-003","4.0067e-001","8.0134e-003"
"","   8.7977e-11","1.0706e+000","-3.9911e-003","1.4806e+000","3.9754e-003","4.0067e-001","8.0134e-003"
"","   9.7752e-11","1.0705e+000","-3.9921e-003","1.4806e+000","3.9654e-003","4.0067e-001","8.0134e-003"
"","  10.7528e-11","1.0704e+000","-3.9930e-003","1.4807e+000","3.9436e-003","4.0067e-001","8.0134e-003"
"","  11.7303e-11","1.0703e+000","-3.9929e-003","1.4807e+000","3.9047e-003","4.0067e-001","8.0134e-003"
"","  12.7078e-11","1.0703e+000","-3.9824e-003","1.4808e+000","3.8093e-003","4.0067e-001","8.0134e-003"
