"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:28:38 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J32 (at pin)"
"Probe 2: U15.H33 (at pin)"
"Probe 3 (Differential): P5.D6 (at pin)/P5.D5 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0070e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9805e-003","1.4819e+000","3.9800e-003","4.0070e-001","8.0138e-003"
"","   1.9551e-11","1.0692e+000","-3.9823e-003","1.4819e+000","3.9811e-003","4.0070e-001","8.0138e-003"
"","   2.9326e-11","1.0692e+000","-3.9839e-003","1.4819e+000","3.9820e-003","4.0070e-001","8.0138e-003"
"","   3.9101e-11","1.0692e+000","-3.9853e-003","1.4819e+000","3.9828e-003","4.0070e-001","8.0138e-003"
"","   4.8877e-11","1.0692e+000","-3.9867e-003","1.4819e+000","3.9836e-003","4.0070e-001","8.0138e-003"
"","   5.8652e-11","1.0692e+000","-3.9880e-003","1.4819e+000","3.9842e-003","4.0070e-001","8.0138e-003"
"","   6.8427e-11","1.0692e+000","-3.9892e-003","1.4819e+000","3.9847e-003","4.0070e-001","8.0138e-003"
"","   7.8202e-11","1.0692e+000","-3.9903e-003","1.4819e+000","3.9840e-003","4.0070e-001","8.0138e-003"
"","   8.7978e-11","1.0697e+000","-3.9913e-003","1.4814e+000","3.9756e-003","4.0070e-001","8.0138e-003"
"","   9.7753e-11","1.0702e+000","-3.9923e-003","1.4809e+000","3.9657e-003","4.0070e-001","8.0138e-003"
"","  10.7528e-11","1.0702e+000","-3.9931e-003","1.4809e+000","3.9437e-003","4.0070e-001","8.0138e-003"
"","  11.7304e-11","1.0701e+000","-3.9931e-003","1.4810e+000","3.9048e-003","4.0070e-001","8.0138e-003"
"","  12.7079e-11","1.0701e+000","-3.9826e-003","1.4810e+000","3.8093e-003","4.0070e-001","8.0138e-003"
"","  13.6854e-11","1.0699e+000","-3.9703e-003","1.4812e+000","3.6934e-003","4.0070e-001","8.0138e-003"
"","  14.6630e-11","1.0700e+000","-3.9438e-003","1.4810e+000","3.5786e-003","4.0070e-001","8.0138e-003"
"","  15.6405e-11","1.0700e+000","-3.9052e-003","1.4810e+000","3.4647e-003","4.0070e-001","8.0138e-003"
"","  16.6180e-11","1.0699e+000","-3.8492e-003","1.4810e+000","3.3520e-003","4.0070e-001","8.0138e-003"
"","  17.5955e-11","1.0699e+000","-3.7002e-003","1.4806e+000","3.2204e-003","4.0070e-001","8.0138e-003"
"","  18.5731e-11","1.0699e+000","-3.5756e-003","1.4803e+000","3.1336e-003","4.0070e-001","8.0138e-003"
"","  19.5506e-11","1.0698e+000","-3.4174e-003","1.4795e+000","3.0356e-003","4.0070e-001","8.0138e-003"
"","  20.5281e-11","1.0698e+000","-3.2727e-003","1.4781e+000","2.9421e-003","4.0070e-001","8.0138e-003"
"","  21.5057e-11","1.0702e+000","-3.1775e-003","1.4747e+000","2.8540e-003","4.0070e-001","8.0138e-003"
"","  22.4832e-11","1.0707e+000","-3.0795e-003","1.4703e+000","2.7600e-003","4.0070e-001","8.0138e-003"
"","  23.4607e-11","1.0716e+000","-2.9872e-003","1.4661e+000","2.6619e-003","4.0070e-001","8.0138e-003"
"","  24.4383e-11","1.0731e+000","-2.7837e-003","1.4621e+000","2.4055e-003","4.0070e-001","8.0138e-003"
"","  25.4158e-11","1.0750e+000","-2.5277e-003","1.4587e+000","2.0843e-003","4.0070e-001","8.0138e-003"
"","  26.3933e-11","1.0801e+000","-2.2129e-003","1.4544e+000","1.6886e-003","4.0070e-001","8.0138e-003"
"","  27.3708e-11","1.0850e+000","-1.8859e-003","1.4504e+000","1.3218e-003","4.0070e-001","8.0138e-003"
"","  28.3484e-11","1.0909e+000","-1.4611e-003","1.4464e+000","9.7639e-004","4.0070e-001","8.0138e-003"
"","  29.3259e-11","1.0961e+000","-9.9412e-004","1.4426e+000","6.5056e-004","4.0070e-001","8.0138e-003"
"","  30.3034e-11","1.0987e+000","-4.7436e-004","1.4389e+000","3.1539e-004","4.0070e-001","8.0138e-003"
"","  31.2810e-11","1.1021e+000","4.4109e-005","1.4351e+000","3.9120e-006","4.0070e-001","8.0138e-003"
"","  32.2585e-11","1.1059e+000","5.5446e-004","1.4309e+000","-3.1091e-004","4.0069e-001","8.0134e-003"
"","  33.2360e-11","1.1140e+000","1.0411e-003","1.4210e+000","-6.1433e-004","4.0070e-001","8.0138e-003"
"","  34.2136e-11","1.1247e+000","1.5100e-003","1.4086e+000","-9.3312e-004","4.0070e-001","8.0139e-003"
