"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:30:00 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.H30 (at pin)"
"Probe 2: U15.G31 (at pin)"
"Probe 3 (Differential): P5.D10 (at pin)/P5.D9 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0069e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9804e-003","1.4819e+000","3.9799e-003","4.0069e-001","8.0136e-003"
"","   1.9550e-11","1.0692e+000","-3.9822e-003","1.4819e+000","3.9810e-003","4.0069e-001","8.0136e-003"
"","   2.9326e-11","1.0692e+000","-3.9838e-003","1.4819e+000","3.9819e-003","4.0069e-001","8.0136e-003"
"","   3.9101e-11","1.0692e+000","-3.9853e-003","1.4819e+000","3.9827e-003","4.0069e-001","8.0136e-003"
"","   4.8876e-11","1.0692e+000","-3.9867e-003","1.4819e+000","3.9835e-003","4.0069e-001","8.0136e-003"
"","   5.8651e-11","1.0692e+000","-3.9879e-003","1.4819e+000","3.9841e-003","4.0069e-001","8.0136e-003"
"","   6.8427e-11","1.0692e+000","-3.9891e-003","1.4819e+000","3.9846e-003","4.0069e-001","8.0136e-003"
"","   7.8202e-11","1.0692e+000","-3.9902e-003","1.4819e+000","3.9839e-003","4.0069e-001","8.0136e-003"
"","   8.7977e-11","1.0697e+000","-3.9912e-003","1.4814e+000","3.9755e-003","4.0069e-001","8.0136e-003"
"","   9.7752e-11","1.0701e+000","-3.9922e-003","1.4810e+000","3.9656e-003","4.0069e-001","8.0136e-003"
"","  10.7527e-11","1.0697e+000","-3.9931e-003","1.4814e+000","3.9437e-003","4.0069e-001","8.0136e-003"
"","  11.7303e-11","1.0701e+000","-3.9930e-003","1.4810e+000","3.9047e-003","4.0069e-001","8.0136e-003"
"","  12.7078e-11","1.0701e+000","-3.9825e-003","1.4810e+000","3.8092e-003","4.0069e-001","8.0136e-003"
"","  13.6853e-11","1.0701e+000","-3.9703e-003","1.4810e+000","3.6933e-003","4.0069e-001","8.0136e-003"
"","  14.6628e-11","1.0700e+000","-3.9438e-003","1.4810e+000","3.5785e-003","4.0069e-001","8.0136e-003"
"","  15.6404e-11","1.0700e+000","-3.9051e-003","1.4810e+000","3.4647e-003","4.0069e-001","8.0136e-003"
"","  16.6179e-11","1.0700e+000","-3.8492e-003","1.4810e+000","3.3519e-003","4.0069e-001","8.0136e-003"
"","  17.5954e-11","1.0699e+000","-3.6976e-003","1.4807e+000","3.2178e-003","4.0069e-001","8.0136e-003"
"","  18.5729e-11","1.0699e+000","-3.5702e-003","1.4805e+000","3.1280e-003","4.0069e-001","8.0136e-003"
"","  19.5504e-11","1.0698e+000","-3.3923e-003","1.4799e+000","3.0096e-003","4.0069e-001","8.0136e-003"
"","  20.5280e-11","1.0698e+000","-3.2718e-003","1.4788e+000","2.9399e-003","4.0069e-001","8.0136e-003"
"","  21.5055e-11","1.0702e+000","-3.1808e-003","1.4760e+000","2.8559e-003","4.0069e-001","8.0136e-003"
