"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:31:02 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J25 (at pin)"
"Probe 2: U15.J24 (at pin)"
"Probe 3 (Differential): P5.D12 (at pin)/P5.D11 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0064e-001",DC
"","   0.9775e-11","1.4819e+000","3.9795e-003","1.0692e+000","-3.9800e-003","4.0064e-001","8.0125e-003"
"","   1.9550e-11","1.4819e+000","3.9806e-003","1.0692e+000","-3.9818e-003","4.0064e-001","8.0125e-003"
"","   2.9326e-11","1.4819e+000","3.9815e-003","1.0692e+000","-3.9834e-003","4.0064e-001","8.0125e-003"
"","   3.9101e-11","1.4819e+000","3.9824e-003","1.0692e+000","-3.9849e-003","4.0064e-001","8.0125e-003"
"","   4.8876e-11","1.4819e+000","3.9831e-003","1.0692e+000","-3.9863e-003","4.0064e-001","8.0125e-003"
"","   5.8651e-11","1.4819e+000","3.9837e-003","1.0692e+000","-3.9876e-003","4.0064e-001","8.0125e-003"
"","   6.8427e-11","1.4819e+000","3.9842e-003","1.0692e+000","-3.9888e-003","4.0064e-001","8.0125e-003"
"","   7.8202e-11","1.4819e+000","3.9836e-003","1.0692e+000","-3.9899e-003","4.0064e-001","8.0125e-003"
"","   8.7977e-11","1.4813e+000","3.9751e-003","1.0698e+000","-3.9910e-003","4.0064e-001","8.0125e-003"
"","   9.7752e-11","1.4810e+000","3.9652e-003","1.0702e+000","-3.9919e-003","4.0064e-001","8.0125e-003"
"","  10.7528e-11","1.4811e+000","3.9432e-003","1.0701e+000","-3.9928e-003","4.0064e-001","8.0125e-003"
"","  11.7303e-11","1.4813e+000","3.9043e-003","1.0698e+000","-3.9928e-003","4.0064e-001","8.0125e-003"
"","  12.7078e-11","1.4811e+000","3.8088e-003","1.0700e+000","-3.9823e-003","4.0064e-001","8.0125e-003"
"","  13.6853e-11","1.4810e+000","3.6929e-003","1.0701e+000","-3.9701e-003","4.0064e-001","8.0125e-003"
"","  14.6628e-11","1.4810e+000","3.5780e-003","1.0700e+000","-3.9436e-003","4.0064e-001","8.0125e-003"
"","  15.6404e-11","1.4810e+000","3.4642e-003","1.0700e+000","-3.9050e-003","4.0064e-001","8.0125e-003"
"","  16.6179e-11","1.4810e+000","3.3515e-003","1.0700e+000","-3.8490e-003","4.0064e-001","8.0125e-003"
"","  17.5954e-11","1.4807e+000","3.2259e-003","1.0699e+000","-3.7059e-003","4.0064e-001","8.0125e-003"
"","  18.5729e-11","1.4804e+000","3.1306e-003","1.0699e+000","-3.5729e-003","4.0064e-001","8.0125e-003"
"","  19.5505e-11","1.4797e+000","3.0187e-003","1.0698e+000","-3.4009e-003","4.0064e-001","8.0125e-003"
"","  20.5280e-11","1.4784e+000","2.9248e-003","1.0698e+000","-3.2566e-003","4.0064e-001","8.0125e-003"
