"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:32:05 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.G26 (at pin)"
"Probe 2: U15.G25 (at pin)"
"Probe 3 (Differential): P5.D16 (at pin)/P5.D15 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0061e-001",DC
"","   0.9775e-11","1.4819e+000","3.9790e-003","1.0692e+000","-3.9796e-003","4.0060e-001","8.0115e-003"
"","   1.9550e-11","1.4819e+000","3.9801e-003","1.0692e+000","-3.9814e-003","4.0060e-001","8.0115e-003"
"","   2.9326e-11","1.4819e+000","3.9810e-003","1.0692e+000","-3.9831e-003","4.0060e-001","8.0115e-003"
"","   3.9101e-11","1.4819e+000","3.9819e-003","1.0692e+000","-3.9846e-003","4.0060e-001","8.0115e-003"
"","   4.8876e-11","1.4819e+000","3.9826e-003","1.0692e+000","-3.9860e-003","4.0060e-001","8.0115e-003"
"","   5.8651e-11","1.4819e+000","3.9833e-003","1.0692e+000","-3.9873e-003","4.0060e-001","8.0115e-003"
"","   6.8426e-11","1.4819e+000","3.9837e-003","1.0692e+000","-3.9885e-003","4.0060e-001","8.0115e-003"
"","   7.8202e-11","1.4819e+000","3.9831e-003","1.0692e+000","-3.9896e-003","4.0060e-001","8.0115e-003"
"","   8.7977e-11","1.4819e+000","3.9747e-003","1.0693e+000","-3.9907e-003","4.0060e-001","8.0115e-003"
"","   9.7752e-11","1.4814e+000","3.9647e-003","1.0698e+000","-3.9917e-003","4.0060e-001","8.0115e-003"
"","  10.7527e-11","1.4811e+000","3.9427e-003","1.0700e+000","-3.9926e-003","4.0060e-001","8.0115e-003"
"","  11.7302e-11","1.4810e+000","3.9038e-003","1.0701e+000","-3.9925e-003","4.0060e-001","8.0115e-003"
"","  12.7077e-11","1.4810e+000","3.8083e-003","1.0701e+000","-3.9820e-003","4.0060e-001","8.0118e-003"
"","  13.6853e-11","1.4810e+000","3.6924e-003","1.0701e+000","-3.9698e-003","4.0061e-001","8.0120e-003"
"","  14.6628e-11","1.4810e+000","3.5776e-003","1.0700e+000","-3.9433e-003","4.0061e-001","8.0120e-003"
"","  15.6403e-11","1.4810e+000","3.4638e-003","1.0700e+000","-3.9047e-003","4.0061e-001","8.0120e-003"
"","  16.6178e-11","1.4810e+000","3.3510e-003","1.0700e+000","-3.8488e-003","4.0061e-001","8.0120e-003"
"","  17.5953e-11","1.4809e+000","3.1863e-003","1.0699e+000","-3.6666e-003","4.0061e-001","8.0120e-003"
"","  18.5729e-11","1.4807e+000","3.1096e-003","1.0699e+000","-3.5531e-003","4.0055e-001","8.0082e-003"
"","  19.5504e-11","1.4803e+000","3.0277e-003","1.0698e+000","-3.4113e-003","4.0060e-001","8.0118e-003"
"","  20.5279e-11","1.4794e+000","2.9418e-003","1.0698e+000","-3.2744e-003","4.0060e-001","8.0119e-003"
"","  21.5054e-11","1.4776e+000","2.8572e-003","1.0699e+000","-3.1827e-003","4.0061e-001","8.0119e-003"
"","  22.4829e-11","1.4744e+000","2.7708e-003","1.0702e+000","-3.0917e-003","4.0061e-001","8.0119e-003"
"","  23.4605e-11","1.4706e+000","2.6632e-003","1.0707e+000","-2.9896e-003","4.0061e-001","8.0119e-003"
"","  24.4380e-11","1.4663e+000","2.4053e-003","1.0717e+000","-2.7848e-003","4.0061e-001","8.0119e-003"
"","  25.4155e-11","1.4619e+000","2.0821e-003","1.0730e+000","-2.5286e-003","4.0061e-001","8.0119e-003"
"","  26.3930e-11","1.4574e+000","1.6738e-003","1.0758e+000","-2.2126e-003","4.0061e-001","8.0119e-003"
"","  27.3705e-11","1.4527e+000","1.3017e-003","1.0803e+000","-1.8867e-003","4.0060e-001","8.0119e-003"
"","  28.3480e-11","1.4485e+000","9.3500e-004","1.0854e+000","-1.4618e-003","4.0061e-001","8.0119e-003"
"","  29.3256e-11","1.4446e+000","5.8018e-004","1.0909e+000","-9.9302e-004","4.0061e-001","8.0119e-003"
"","  30.3031e-11","1.4408e+000","1.5834e-004","1.0959e+000","-4.5823e-004","4.0061e-001","8.0119e-003"
"","  31.2806e-11","1.4372e+000","-2.1059e-004","1.1002e+000","6.8602e-005","4.0061e-001","8.0119e-003"
"","  32.2581e-11","1.4336e+000","-5.3033e-004","1.1043e+000","6.0421e-004","4.0061e-001","8.0119e-003"
"","  33.2356e-11","1.4278e+000","-8.1693e-004","1.1096e+000","1.1137e-003","4.0061e-001","8.0119e-003"
"","  34.2132e-11","1.4191e+000","-1.0730e-003","1.1168e+000","1.6123e-003","4.0061e-001","8.0119e-003"
"","  35.1907e-11","1.4070e+000","-1.3562e-003","1.1265e+000","2.2084e-003","4.0061e-001","8.0119e-003"
"","  36.1682e-11","1.3933e+000","-1.5260e-003","1.1377e+000","2.6003e-003","4.0061e-001","8.0119e-003"
"","  37.1457e-11","1.3793e+000","-1.7161e-003","1.1510e+000","2.9597e-003","4.0061e-001","8.0119e-003"
"","  38.1232e-11","1.3653e+000","-1.9033e-003","1.1666e+000","3.2644e-003","4.0060e-001","8.0119e-003"
"","  39.1008e-11","1.3510e+000","-2.0847e-003","1.1846e+000","3.5009e-003","4.0061e-001","8.0119e-003"
"","  40.0783e-11","1.3367e+000","-2.2555e-003","1.2042e+000","3.7424e-003","4.0061e-001","8.0119e-003"
"","  41.0558e-11","1.3230e+000","-2.4702e-003","1.2245e+000","4.0105e-003","4.0061e-001","8.0119e-003"
"","  42.0333e-11","1.3101e+000","-2.8403e-003","1.2450e+000","4.3722e-003","4.0061e-001","8.0119e-003"
"","  43.0108e-11","1.2981e+000","-3.1611e-003","1.2648e+000","4.6970e-003","4.0061e-001","8.0119e-003"
"","  43.9883e-11","1.2868e+000","-3.4200e-003","1.2849e+000","4.9815e-003","4.0061e-001","8.0119e-003"
"","  44.9659e-11","1.2763e+000","-3.5152e-003","1.3039e+000","5.1904e-003","4.0060e-001","8.0119e-003"
