"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:39:15 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.B32 (at pin)"
"Probe 2: U15.A33 (at pin)"
"Probe 3 (Differential): P5.D20 (at pin)/P5.D19 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0070e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9806e-003","1.4819e+000","3.9801e-003","4.0071e-001","8.0144e-003"
"","   1.9551e-11","1.0692e+000","-3.9823e-003","1.4819e+000","3.9811e-003","4.0071e-001","8.0144e-003"
"","   2.9326e-11","1.0692e+000","-3.9839e-003","1.4819e+000","3.9821e-003","4.0070e-001","8.0138e-003"
"","   3.9101e-11","1.0692e+000","-3.9854e-003","1.4819e+000","3.9829e-003","4.0070e-001","8.0138e-003"
"","   4.8877e-11","1.0692e+000","-3.9868e-003","1.4819e+000","3.9836e-003","4.0070e-001","8.0138e-003"
"","   5.8652e-11","1.0692e+000","-3.9880e-003","1.4819e+000","3.9843e-003","4.0070e-001","8.0138e-003"
"","   6.8427e-11","1.0692e+000","-3.9892e-003","1.4819e+000","3.9847e-003","4.0070e-001","8.0138e-003"
"","   7.8202e-11","1.0692e+000","-3.9903e-003","1.4819e+000","3.9841e-003","4.0070e-001","8.0138e-003"
"","   8.7978e-11","1.0697e+000","-3.9913e-003","1.4814e+000","3.9757e-003","4.0070e-001","8.0138e-003"
"","   9.7753e-11","1.0702e+000","-3.9923e-003","1.4809e+000","3.9657e-003","4.0070e-001","8.0138e-003"
"","  10.7528e-11","1.0702e+000","-3.9932e-003","1.4809e+000","3.9438e-003","4.0070e-001","8.0138e-003"
"","  11.7304e-11","1.0701e+000","-3.9931e-003","1.4810e+000","3.9048e-003","4.0070e-001","8.0138e-003"
"","  12.7079e-11","1.0701e+000","-3.9826e-003","1.4810e+000","3.8094e-003","4.0070e-001","8.0138e-003"
"","  13.6854e-11","1.0695e+000","-3.9704e-003","1.4815e+000","3.6934e-003","4.0070e-001","8.0138e-003"
"","  14.6630e-11","1.0700e+000","-3.9439e-003","1.4810e+000","3.5786e-003","4.0070e-001","8.0138e-003"
"","  15.6405e-11","1.0700e+000","-3.9052e-003","1.4810e+000","3.4648e-003","4.0070e-001","8.0138e-003"
"","  16.6180e-11","1.0699e+000","-3.8493e-003","1.4810e+000","3.3520e-003","4.0070e-001","8.0138e-003"
"","  17.5955e-11","1.0699e+000","-3.7003e-003","1.4807e+000","3.2205e-003","4.0070e-001","8.0138e-003"
"","  18.5731e-11","1.0698e+000","-3.5758e-003","1.4803e+000","3.1338e-003","4.0070e-001","8.0138e-003"
"","  19.5506e-11","1.0698e+000","-3.4175e-003","1.4795e+000","3.0358e-003","4.0070e-001","8.0138e-003"
"","  20.5281e-11","1.0698e+000","-3.2729e-003","1.4780e+000","2.9422e-003","4.0070e-001","8.0138e-003"
"","  21.5057e-11","1.0702e+000","-3.1777e-003","1.4745e+000","2.8542e-003","4.0070e-001","8.0138e-003"
"","  22.4832e-11","1.0707e+000","-3.0554e-003","1.4702e+000","2.7364e-003","4.0070e-001","8.0138e-003"
"","  23.4607e-11","1.0717e+000","-2.9854e-003","1.4658e+000","2.6604e-003","4.0070e-001","8.0138e-003"
"","  24.4383e-11","1.0731e+000","-2.7831e-003","1.4617e+000","2.4051e-003","4.0070e-001","8.0138e-003"
"","  25.4158e-11","1.0751e+000","-2.5270e-003","1.4575e+000","2.0838e-003","4.0070e-001","8.0138e-003"
"","  26.3933e-11","1.0802e+000","-2.2112e-003","1.4535e+000","1.6871e-003","4.0070e-001","8.0138e-003"
"","  27.3708e-11","1.0854e+000","-1.8847e-003","1.4496e+000","1.3208e-003","4.0070e-001","8.0138e-003"
"","  28.3484e-11","1.0912e+000","-1.4605e-003","1.4456e+000","9.7633e-004","4.0070e-001","8.0138e-003"
"","  29.3259e-11","1.0967e+000","-9.9367e-004","1.4418e+000","6.5161e-004","4.0070e-001","8.0139e-003"
"","  30.3034e-11","1.1001e+000","-4.7432e-004","1.4382e+000","3.2267e-004","4.0070e-001","8.0138e-003"
"","  31.2810e-11","1.1035e+000","4.4259e-005","1.4342e+000","8.8970e-006","4.0070e-001","8.0138e-003"
"","  32.2585e-11","1.1070e+000","5.5228e-004","1.4303e+000","-2.9239e-004","4.0070e-001","8.0138e-003"
"","  33.2360e-11","1.1149e+000","1.0400e-003","1.4203e+000","-5.9575e-004","4.0070e-001","8.0138e-003"
"","  34.2136e-11","1.1251e+000","1.5012e-003","1.4080e+000","-8.7062e-004","4.0070e-001","8.0138e-003"
