"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 06:36:01 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.M26 (at pin)"
"Probe 2: U15.M25 (at pin)"
"Probe 3 (Differential): P5.A6 (at pin)/P5.A5 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4814e+000",DC,"1.0685e+000",DC,"4.0075e-001",DC
"","   0.1955e-10","1.4814e+000","3.9836e-003","1.0685e+000","-3.9815e-003","4.0075e-001","8.0150e-003"
"","   0.3910e-10","1.4814e+000","3.9870e-003","1.0685e+000","-3.9835e-003","4.0075e-001","8.0150e-003"
"","   0.5865e-10","1.4814e+000","3.9896e-003","1.0685e+000","-3.9853e-003","4.0075e-001","8.0150e-003"
"","   0.7820e-10","1.4814e+000","3.9904e-003","1.0685e+000","-3.9868e-003","4.0075e-001","8.0150e-003"
"","   0.9775e-10","1.4807e+000","3.9729e-003","1.0692e+000","-3.9881e-003","4.0075e-001","8.0150e-003"
"","   1.1730e-10","1.4805e+000","3.9126e-003","1.0694e+000","-3.9883e-003","4.0075e-001","8.0150e-003"
"","   1.3685e-10","1.4805e+000","3.7016e-003","1.0694e+000","-3.9652e-003","4.0075e-001","8.0150e-003"
"","   1.5640e-10","1.4806e+000","3.4731e-003","1.0694e+000","-3.8996e-003","4.0075e-001","8.0150e-003"
"","   1.7595e-10","1.4806e+000","3.1968e-003","1.0693e+000","-3.6623e-003","4.0075e-001","8.0150e-003"
"","   1.9550e-10","1.4798e+000","3.0438e-003","1.0692e+000","-3.4100e-003","4.0075e-001","8.0150e-003"
"","   2.1505e-10","1.4767e+000","2.8680e-003","1.0694e+000","-3.1765e-003","4.0075e-001","8.0150e-003"
"","   2.3460e-10","1.4688e+000","2.6717e-003","1.0704e+000","-2.9816e-003","4.0075e-001","8.0150e-003"
"","   2.5415e-10","1.4599e+000","2.0900e-003","1.0730e+000","-2.5198e-003","4.0076e-001","8.0153e-003"
"","   2.7371e-10","1.4506e+000","1.3139e-003","1.0812e+000","-1.8774e-003","4.0076e-001","8.0154e-003"
"","   2.9326e-10","1.4427e+000","6.0391e-004","1.0925e+000","-9.8314e-004","4.0076e-001","8.0154e-003"
"","   3.1281e-10","1.4354e+000","-1.4608e-004","1.1017e+000","7.3554e-005","4.0076e-001","8.0154e-003"
"","   3.3236e-10","1.4253e+000","-7.2676e-004","1.1113e+000","1.1064e-003","4.0075e-001","8.0150e-003"
"","   3.5191e-10","1.4023e+000","-1.2590e-003","1.1297e+000","2.1659e-003","4.0075e-001","8.0149e-003"
"","   3.7146e-10","1.3734e+000","-1.6312e-003","1.1558e+000","2.8734e-003","4.0075e-001","8.0149e-003"
"","   3.9101e-10","1.3451e+000","-2.0171e-003","1.1914e+000","3.4131e-003","4.0075e-001","8.0149e-003"
"","   4.1056e-10","1.3179e+000","-2.4073e-003","1.2324e+000","3.9434e-003","4.0075e-001","8.0148e-003"
"","   4.3011e-10","1.2939e+000","-3.0122e-003","1.2726e+000","4.5802e-003","4.0075e-001","8.0149e-003"
"","   4.4966e-10","1.2728e+000","-3.2632e-003","1.3107e+000","4.9962e-003","4.0075e-001","8.0149e-003"
"","   4.6921e-10","1.2543e+000","-3.3109e-003","1.3409e+000","5.3471e-003","4.0075e-001","8.0148e-003"
"","   4.8876e-10","1.2375e+000","-3.3544e-003","1.3657e+000","5.4476e-003","4.0075e-001","8.0148e-003"
"","   5.0831e-10","1.2204e+000","-3.3368e-003","1.3891e+000","5.3717e-003","4.0075e-001","8.0149e-003"
"","   5.2786e-10","1.2030e+000","-3.3698e-003","1.4104e+000","5.2668e-003","4.0075e-001","8.0149e-003"
"","   5.4741e-10","1.1923e+000","-3.3632e-003","1.4270e+000","4.9701e-003","4.0075e-001","8.0148e-003"
"","   5.6696e-10","1.1853e+000","-3.3941e-003","1.4392e+000","4.8331e-003","4.0075e-001","8.0148e-003"
"","   5.8651e-10","1.1800e+000","-3.4756e-003","1.4458e+000","4.8057e-003","4.0075e-001","8.0148e-003"
"","   6.0606e-10","1.1755e+000","-3.5609e-003","1.4485e+000","4.7560e-003","4.0075e-001","8.0148e-003"
"","   6.2561e-10","1.1709e+000","-3.4421e-003","1.4488e+000","4.6263e-003","4.0075e-001","8.0148e-003"
"","   6.4516e-10","1.1661e+000","-3.4714e-003","1.4479e+000","4.5364e-003","4.0075e-001","8.0148e-003"
"","   6.6471e-10","1.1616e+000","-3.5331e-003","1.4486e+000","4.4166e-003","4.0075e-001","8.0148e-003"
"","   6.8426e-10","1.1557e+000","-3.6167e-003","1.4513e+000","4.3804e-003","4.0075e-001","8.0148e-003"
"","   7.0381e-10","1.1514e+000","-3.7298e-003","1.4528e+000","4.4150e-003","4.0075e-001","8.0148e-003"
"","   7.2336e-10","1.1492e+000","-3.8193e-003","1.4534e+000","4.4471e-003","4.0075e-001","8.0148e-003"
"","   7.4291e-10","1.1450e+000","-3.8856e-003","1.4535e+000","4.5386e-003","4.0075e-001","8.0148e-003"
"","   7.6246e-10","1.1409e+000","-3.9959e-003","1.4539e+000","4.6185e-003","4.0075e-001","8.0148e-003"
