"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:41:34 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.N27 (at pin)"
"Probe 2: U15.M27 (at pin)"
"Probe 3 (Differential): P5.C2 (at pin)/P5.C1 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0068e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9804e-003","1.4819e+000","3.9799e-003","4.0068e-001","8.0132e-003"
"","   1.9550e-11","1.0692e+000","-3.9821e-003","1.4819e+000","3.9809e-003","4.0068e-001","8.0132e-003"
"","   2.9326e-11","1.0692e+000","-3.9837e-003","1.4819e+000","3.9819e-003","4.0068e-001","8.0132e-003"
"","   3.9101e-11","1.0692e+000","-3.9852e-003","1.4819e+000","3.9827e-003","4.0068e-001","8.0132e-003"
"","   4.8876e-11","1.0692e+000","-3.9866e-003","1.4819e+000","3.9834e-003","4.0068e-001","8.0132e-003"
"","   5.8651e-11","1.0692e+000","-3.9879e-003","1.4819e+000","3.9841e-003","4.0068e-001","8.0132e-003"
"","   6.8427e-11","1.0692e+000","-3.9891e-003","1.4819e+000","3.9845e-003","4.0068e-001","8.0132e-003"
"","   7.8202e-11","1.0692e+000","-3.9902e-003","1.4819e+000","3.9839e-003","4.0068e-001","8.0132e-003"
"","   8.7977e-11","1.0693e+000","-3.9912e-003","1.4819e+000","3.9755e-003","4.0068e-001","8.0132e-003"
"","   9.7752e-11","1.0698e+000","-3.9922e-003","1.4814e+000","3.9655e-003","4.0068e-001","8.0132e-003"
"","  10.7528e-11","1.0700e+000","-3.9931e-003","1.4811e+000","3.9436e-003","4.0068e-001","8.0132e-003"
"","  11.7303e-11","1.0701e+000","-3.9930e-003","1.4810e+000","3.9047e-003","4.0068e-001","8.0132e-003"
"","  12.7078e-11","1.0701e+000","-3.9825e-003","1.4810e+000","3.8092e-003","4.0068e-001","8.0132e-003"
"","  13.6853e-11","1.0701e+000","-3.9703e-003","1.4810e+000","3.6933e-003","4.0068e-001","8.0132e-003"
"","  14.6628e-11","1.0701e+000","-3.9438e-003","1.4810e+000","3.5784e-003","4.0068e-001","8.0132e-003"
"","  15.6404e-11","1.0700e+000","-3.9051e-003","1.4810e+000","3.4646e-003","4.0068e-001","8.0132e-003"
"","  16.6179e-11","1.0700e+000","-3.8492e-003","1.4810e+000","3.3518e-003","4.0068e-001","8.0132e-003"
"","  17.5954e-11","1.0699e+000","-3.6674e-003","1.4809e+000","3.1875e-003","4.0068e-001","8.0132e-003"
"","  18.5729e-11","1.0699e+000","-3.5536e-003","1.4807e+000","3.1106e-003","4.0068e-001","8.0132e-003"
"","  19.5505e-11","1.0698e+000","-3.4118e-003","1.4802e+000","3.0286e-003","4.0068e-001","8.0132e-003"
"","  20.5280e-11","1.0698e+000","-3.2748e-003","1.4794e+000","2.9426e-003","4.0068e-001","8.0132e-003"
