"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 11:26:36 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: P5:ZDOK0 DOUT0-DOUT15 (@500MHz)"
"Probe 1: U15.L29 (at pin)"
"Probe 3: U15.K29 (at pin)"
"Probe 4 (Differential): P5.C4 (at pin)/P5.C3 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","1.0685e+000",DC,"1.4814e+000",DC,"4.0087e-001",DC
"","   0.9775e-11","1.0685e+000","-3.9816e-003","1.4814e+000","3.9828e-003","4.0077e-001","8.0107e-003"
"","   1.9551e-11","1.0685e+000","-3.9827e-003","1.4814e+000","3.9848e-003","4.0069e-001","8.0056e-003"
"","   2.9326e-11","1.0685e+000","-3.9838e-003","1.4814e+000","3.9866e-003","4.0075e-001","8.0097e-003"
"","   3.9101e-11","1.0685e+000","-3.9848e-003","1.4814e+000","3.9881e-003","4.0086e-001","8.0169e-003"
"","   4.8877e-11","1.0685e+000","-3.9857e-003","1.4814e+000","3.9895e-003","4.0088e-001","8.0180e-003"
"","   5.8652e-11","1.0685e+000","-3.9865e-003","1.4814e+000","3.9907e-003","4.0086e-001","8.0165e-003"
"","   6.8427e-11","1.0685e+000","-3.9873e-003","1.4814e+000","3.9916e-003","4.0085e-001","8.0161e-003"
"","   7.8202e-11","1.0685e+000","-3.9880e-003","1.4814e+000","3.9915e-003","4.0087e-001","8.0175e-003"
"","   8.7978e-11","1.0690e+000","-3.9887e-003","1.4809e+000","3.9834e-003","4.0086e-001","8.0169e-003"
"","   9.7753e-11","1.0695e+000","-3.9893e-003","1.4804e+000","3.9738e-003","4.0087e-001","8.0170e-003"
"","  10.7528e-11","1.0695e+000","-3.9899e-003","1.4805e+000","3.9522e-003","4.0088e-001","8.0174e-003"
"","  11.7304e-11","1.0691e+000","-3.9895e-003","1.4809e+000","3.9135e-003","4.0086e-001","8.0177e-003"
"","  12.7079e-11","1.0694e+000","-3.9788e-003","1.4806e+000","3.8182e-003","4.0084e-001","8.0156e-003"
"","  13.6854e-11","1.0695e+000","-3.9664e-003","1.4805e+000","3.7025e-003","4.0086e-001","8.0168e-003"
"","  14.6630e-11","1.0695e+000","-3.9397e-003","1.4806e+000","3.5877e-003","4.0088e-001","8.0177e-003"
"","  15.6405e-11","1.0694e+000","-3.9009e-003","1.4806e+000","3.4739e-003","4.0087e-001","8.0175e-003"
"","  16.6180e-11","1.0694e+000","-3.8447e-003","1.4806e+000","3.3611e-003","4.0086e-001","8.0169e-003"
"","  17.5955e-11","1.0694e+000","-3.6948e-003","1.4803e+000","3.2289e-003","4.0087e-001","8.0174e-003"
"","  18.5731e-11","1.0693e+000","-3.5683e-003","1.4800e+000","3.1402e-003","4.0086e-001","8.0166e-003"
"","  19.5506e-11","1.0693e+000","-3.4101e-003","1.4794e+000","3.0423e-003","4.0087e-001","8.0170e-003"
"","  20.5281e-11","1.0693e+000","-3.2494e-003","1.4781e+000","2.9338e-003","4.0087e-001","8.0172e-003"
"","  21.5057e-11","1.0697e+000","-3.1709e-003","1.4750e+000","2.8626e-003","4.0087e-001","8.0169e-003"
"","  22.4832e-11","1.0701e+000","-3.0857e-003","1.4712e+000","2.7817e-003","4.0087e-001","8.0171e-003"
"","  23.4607e-11","1.0708e+000","-2.9832e-003","1.4683e+000","2.6734e-003","4.0087e-001","8.0172e-003"
"","  24.4383e-11","1.0721e+000","-2.7781e-003","1.4648e+000","2.4151e-003","4.0086e-001","8.0170e-003"
"","  25.4158e-11","1.0738e+000","-2.5219e-003","1.4607e+000","2.0938e-003","4.0086e-001","8.0169e-003"
"","  26.3933e-11","1.0785e+000","-2.2058e-003","1.4560e+000","1.6959e-003","4.0087e-001","8.0172e-003"
