"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:46:24 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J31 (at pin)"
"Probe 2: U15.J30 (at pin)"
"Probe 3 (Differential): P5.C8 (at pin)/P5.C7 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0072e-001",DC
"","   0.9775e-11","1.4819e+000","3.9803e-003","1.0692e+000","-3.9808e-003","4.0072e-001","8.0143e-003"
"","   1.9550e-11","1.4819e+000","3.9814e-003","1.0692e+000","-3.9825e-003","4.0072e-001","8.0143e-003"
"","   2.9326e-11","1.4819e+000","3.9823e-003","1.0692e+000","-3.9841e-003","4.0072e-001","8.0143e-003"
"","   3.9101e-11","1.4819e+000","3.9831e-003","1.0692e+000","-3.9856e-003","4.0072e-001","8.0143e-003"
"","   4.8876e-11","1.4819e+000","3.9839e-003","1.0692e+000","-3.9869e-003","4.0072e-001","8.0143e-003"
"","   5.8651e-11","1.4819e+000","3.9845e-003","1.0692e+000","-3.9882e-003","4.0072e-001","8.0143e-003"
"","   6.8427e-11","1.4819e+000","3.9850e-003","1.0692e+000","-3.9894e-003","4.0072e-001","8.0143e-003"
"","   7.8202e-11","1.4819e+000","3.9843e-003","1.0692e+000","-3.9905e-003","4.0072e-001","8.0143e-003"
"","   8.7977e-11","1.4819e+000","3.9759e-003","1.0693e+000","-3.9915e-003","4.0072e-001","8.0143e-003"
"","   9.7752e-11","1.4813e+000","3.9660e-003","1.0698e+000","-3.9924e-003","4.0072e-001","8.0143e-003"
"","  10.7528e-11","1.4811e+000","3.9441e-003","1.0700e+000","-3.9933e-003","4.0072e-001","8.0143e-003"
"","  11.7303e-11","1.4810e+000","3.9051e-003","1.0701e+000","-3.9932e-003","4.0072e-001","8.0143e-003"
"","  12.7078e-11","1.4810e+000","3.8097e-003","1.0701e+000","-3.9827e-003","4.0072e-001","8.0143e-003"
"","  13.6853e-11","1.4810e+000","3.6937e-003","1.0701e+000","-3.9705e-003","4.0072e-001","8.0143e-003"
"","  14.6628e-11","1.4810e+000","3.5789e-003","1.0701e+000","-3.9440e-003","4.0071e-001","8.0136e-003"
"","  15.6404e-11","1.4810e+000","3.4651e-003","1.0700e+000","-3.9054e-003","4.0071e-001","8.0136e-003"
"","  16.6179e-11","1.4810e+000","3.3523e-003","1.0700e+000","-3.8494e-003","4.0071e-001","8.0136e-003"
"","  17.5954e-11","1.4809e+000","3.1879e-003","1.0699e+000","-3.6676e-003","4.0071e-001","8.0136e-003"
"","  18.5729e-11","1.4807e+000","3.1110e-003","1.0699e+000","-3.5538e-003","4.0071e-001","8.0136e-003"
"","  19.5505e-11","1.4802e+000","3.0290e-003","1.0698e+000","-3.4119e-003","4.0071e-001","8.0136e-003"
"","  20.5280e-11","1.4794e+000","2.9431e-003","1.0698e+000","-3.2750e-003","4.0073e-001","8.0148e-003"
"","  21.5055e-11","1.4776e+000","2.8584e-003","1.0699e+000","-3.1832e-003","4.0074e-001","8.0153e-003"
"","  22.4830e-11","1.4744e+000","2.7720e-003","1.0702e+000","-3.0922e-003","4.0074e-001","8.0155e-003"
"","  23.4605e-11","1.4705e+000","2.6644e-003","1.0707e+000","-2.9901e-003","4.0074e-001","8.0155e-003"
"","  24.4381e-11","1.4663e+000","2.4064e-003","1.0717e+000","-2.7853e-003","4.0074e-001","8.0156e-003"
"","  25.4156e-11","1.4619e+000","2.0831e-003","1.0731e+000","-2.5291e-003","4.0073e-001","8.0152e-003"
"","  26.3931e-11","1.4573e+000","1.6748e-003","1.0759e+000","-2.2131e-003","4.0071e-001","8.0139e-003"
"","  27.3706e-11","1.4526e+000","1.3028e-003","1.0803e+000","-1.8873e-003","4.0071e-001","8.0137e-003"
"","  28.3482e-11","1.4484e+000","9.3584e-004","1.0854e+000","-1.4624e-003","4.0071e-001","8.0136e-003"
"","  29.3257e-11","1.4445e+000","5.8089e-004","1.0909e+000","-9.9353e-004","4.0071e-001","8.0136e-003"
"","  30.3032e-11","1.4408e+000","1.5877e-004","1.0959e+000","-4.5877e-004","4.0071e-001","8.0136e-003"
"","  31.2807e-11","1.4372e+000","-2.0967e-004","1.1003e+000","6.7978e-005","4.0071e-001","8.0135e-003"
"","  32.2583e-11","1.4335e+000","-5.2917e-004","1.1043e+000","6.0381e-004","4.0072e-001","8.0140e-003"
"","  33.2358e-11","1.4277e+000","-8.1569e-004","1.1096e+000","1.1130e-003","4.0072e-001","8.0142e-003"
"","  34.2133e-11","1.4190e+000","-1.0717e-003","1.1169e+000","1.6125e-003","4.0072e-001","8.0143e-003"
"","  35.1908e-11","1.4069e+000","-1.3535e-003","1.1266e+000","2.2068e-003","4.0072e-001","8.0143e-003"
"","  36.1683e-11","1.3932e+000","-1.5242e-003","1.1378e+000","2.5996e-003","4.0072e-001","8.0143e-003"
"","  37.1459e-11","1.3792e+000","-1.7148e-003","1.1511e+000","2.9589e-003","4.0072e-001","8.0144e-003"
"","  38.1234e-11","1.3652e+000","-1.9020e-003","1.1667e+000","3.2629e-003","4.0072e-001","8.0144e-003"
"","  39.1009e-11","1.3509e+000","-2.0835e-003","1.1847e+000","3.4995e-003","4.0072e-001","8.0144e-003"
"","  40.0784e-11","1.3366e+000","-2.2543e-003","1.2043e+000","3.7412e-003","4.0072e-001","8.0144e-003"
"","  41.0560e-11","1.3229e+000","-2.4706e-003","1.2246e+000","4.0104e-003","4.0072e-001","8.0144e-003"
"","  42.0335e-11","1.3100e+000","-2.8404e-003","1.2451e+000","4.3721e-003","4.0072e-001","8.0144e-003"
"","  43.0110e-11","1.2980e+000","-3.1620e-003","1.2649e+000","4.6974e-003","4.0072e-001","8.0143e-003"
"","  43.9885e-11","1.2867e+000","-3.4191e-003","1.2850e+000","4.9809e-003","4.0072e-001","8.0143e-003"
"","  44.9661e-11","1.2762e+000","-3.5134e-003","1.3040e+000","5.1903e-003","4.0072e-001","8.0143e-003"
"","  45.9436e-11","1.2666e+000","-3.5612e-003","1.3209e+000","5.4383e-003","4.0072e-001","8.0143e-003"
"","  46.9211e-11","1.2575e+000","-3.5753e-003","1.3361e+000","5.6255e-003","4.0072e-001","8.0144e-003"
"","  47.8986e-11","1.2488e+000","-3.6338e-003","1.3496e+000","5.7620e-003","4.0072e-001","8.0144e-003"
"","  48.8761e-11","1.2407e+000","-3.6189e-003","1.3620e+000","5.8027e-003","4.0072e-001","8.0144e-003"
"","  49.8537e-11","1.2328e+000","-3.5823e-003","1.3736e+000","5.8100e-003","4.0072e-001","8.0144e-003"
"","  50.8312e-11","1.2236e+000","-3.5501e-003","1.3855e+000","5.7445e-003","4.0072e-001","8.0144e-003"
"","  51.8087e-11","1.2142e+000","-3.5178e-003","1.3970e+000","5.6652e-003","4.0072e-001","8.0144e-003"
"","  52.7862e-11","1.2049e+000","-3.5304e-003","1.4080e+000","5.6315e-003","4.0072e-001","8.0144e-003"
"","  53.7638e-11","1.1974e+000","-3.4681e-003","1.4177e+000","5.4139e-003","4.0072e-001","8.0144e-003"
"","  54.7413e-11","1.1917e+000","-3.4703e-003","1.4267e+000","5.2582e-003","4.0072e-001","8.0144e-003"
"","  55.7188e-11","1.1875e+000","-3.4721e-003","1.4344e+000","5.1323e-003","4.0072e-001","8.0144e-003"
"","  56.6963e-11","1.1837e+000","-3.4783e-003","1.4411e+000","5.0212e-003","4.0072e-001","8.0144e-003"
"","  57.6738e-11","1.1806e+000","-3.4831e-003","1.4462e+000","4.9547e-003","4.0072e-001","8.0143e-003"
"","  58.6514e-11","1.1783e+000","-3.5538e-003","1.4499e+000","4.9442e-003","4.0072e-001","8.0144e-003"
"","  59.6289e-11","1.1763e+000","-3.6649e-003","1.4524e+000","4.9496e-003","4.0072e-001","8.0144e-003"
"","  60.6064e-11","1.1746e+000","-3.6988e-003","1.4535e+000","4.9164e-003","4.0072e-001","8.0144e-003"
"","  61.5839e-11","1.1727e+000","-3.6392e-003","1.4544e+000","4.8385e-003","4.0072e-001","8.0144e-003"
"","  62.5615e-11","1.1710e+000","-3.5305e-003","1.4541e+000","4.7542e-003","4.0072e-001","8.0144e-003"
"","  63.5390e-11","1.1694e+000","-3.4735e-003","1.4529e+000","4.6971e-003","4.0072e-001","8.0144e-003"
"","  64.5165e-11","1.1674e+000","-3.4575e-003","1.4520e+000","4.6238e-003","4.0072e-001","8.0144e-003"
"","  65.4940e-11","1.1654e+000","-3.4928e-003","1.4511e+000","4.5305e-003","4.0072e-001","8.0144e-003"
"","  66.4716e-11","1.1635e+000","-3.4833e-003","1.4507e+000","4.4363e-003","4.0072e-001","8.0144e-003"
"","  67.4491e-11","1.1612e+000","-3.4942e-003","1.4509e+000","4.3916e-003","4.0072e-001","8.0144e-003"
"","  68.4266e-11","1.1579e+000","-3.5354e-003","1.4520e+000","4.3234e-003","4.0072e-001","8.0143e-003"
"","  69.4041e-11","1.1549e+000","-3.5846e-003","1.4530e+000","4.3101e-003","4.0072e-001","8.0143e-003"
"","  70.3816e-11","1.1526e+000","-3.6652e-003","1.4537e+000","4.3272e-003","4.0072e-001","8.0143e-003"
"","  71.3592e-11","1.1516e+000","-3.6891e-003","1.4538e+000","4.2641e-003","4.0072e-001","8.0144e-003"
"","  72.3367e-11","1.1509e+000","-3.7682e-003","1.4540e+000","4.3037e-003","4.0072e-001","8.0144e-003"
"","  73.3142e-11","1.1500e+000","-3.8196e-003","1.4539e+000","4.3569e-003","4.0072e-001","8.0144e-003"
"","  74.2917e-11","1.1484e+000","-3.8670e-003","1.4536e+000","4.4144e-003","4.0072e-001","8.0144e-003"
"","  75.2693e-11","1.1467e+000","-3.9117e-003","1.4531e+000","4.4826e-003","4.0072e-001","8.0144e-003"
"","  76.2468e-11","1.1451e+000","-4.0044e-003","1.4528e+000","4.5645e-003","4.0072e-001","8.0144e-003"
"","  77.2243e-11","1.1432e+000","-4.0472e-003","1.4528e+000","4.5866e-003","4.0072e-001","8.0144e-003"
