"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:50:31 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.G30 (at pin)"
"Probe 2: U15.F30 (at pin)"
"Probe 3 (Differential): P5.C12 (at pin)/P5.C11 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0065e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9801e-003","1.4819e+000","3.9796e-003","4.0065e-001","8.0126e-003"
"","   1.9550e-11","1.0692e+000","-3.9819e-003","1.4819e+000","3.9806e-003","4.0065e-001","8.0126e-003"
"","   2.9326e-11","1.0692e+000","-3.9835e-003","1.4819e+000","3.9816e-003","4.0065e-001","8.0126e-003"
"","   3.9101e-11","1.0692e+000","-3.9850e-003","1.4819e+000","3.9824e-003","4.0065e-001","8.0126e-003"
"","   4.8876e-11","1.0692e+000","-3.9864e-003","1.4819e+000","3.9831e-003","4.0065e-001","8.0126e-003"
"","   5.8651e-11","1.0692e+000","-3.9877e-003","1.4819e+000","3.9838e-003","4.0065e-001","8.0126e-003"
"","   6.8426e-11","1.0692e+000","-3.9889e-003","1.4819e+000","3.9842e-003","4.0065e-001","8.0126e-003"
"","   7.8202e-11","1.0692e+000","-3.9900e-003","1.4819e+000","3.9836e-003","4.0065e-001","8.0126e-003"
"","   8.7977e-11","1.0698e+000","-3.9910e-003","1.4814e+000","3.9752e-003","4.0065e-001","8.0126e-003"
"","   9.7752e-11","1.0702e+000","-3.9920e-003","1.4809e+000","3.9652e-003","4.0065e-001","8.0126e-003"
"","  10.7527e-11","1.0702e+000","-3.9929e-003","1.4809e+000","3.9433e-003","4.0065e-001","8.0126e-003"
"","  11.7302e-11","1.0701e+000","-3.9928e-003","1.4810e+000","3.9044e-003","4.0069e-001","8.0150e-003"
"","  12.7077e-11","1.0700e+000","-3.9823e-003","1.4810e+000","3.8089e-003","4.0066e-001","8.0134e-003"
"","  13.6853e-11","1.0699e+000","-3.9701e-003","1.4812e+000","3.6930e-003","4.0066e-001","8.0131e-003"
"","  14.6628e-11","1.0700e+000","-3.9436e-003","1.4810e+000","3.5781e-003","4.0065e-001","8.0130e-003"
"","  15.6403e-11","1.0700e+000","-3.9050e-003","1.4810e+000","3.4643e-003","4.0065e-001","8.0130e-003"
"","  16.6178e-11","1.0699e+000","-3.8490e-003","1.4810e+000","3.3515e-003","4.0065e-001","8.0130e-003"
"","  17.5953e-11","1.0699e+000","-3.7045e-003","1.4807e+000","3.2245e-003","4.0065e-001","8.0130e-003"
"","  18.5729e-11","1.0699e+000","-3.5754e-003","1.4803e+000","3.1332e-003","4.0065e-001","8.0130e-003"
"","  19.5504e-11","1.0698e+000","-3.4172e-003","1.4795e+000","3.0352e-003","4.0066e-001","8.0128e-003"
"","  20.5279e-11","1.0698e+000","-3.2725e-003","1.4781e+000","2.9417e-003","4.0066e-001","8.0129e-003"
"","  21.5054e-11","1.0702e+000","-3.1760e-003","1.4746e+000","2.8523e-003","4.0065e-001","8.0129e-003"
"","  22.4829e-11","1.0707e+000","-3.0795e-003","1.4703e+000","2.7598e-003","4.0065e-001","8.0129e-003"
"","  23.4605e-11","1.0716e+000","-2.9870e-003","1.4661e+000","2.6616e-003","4.0065e-001","8.0129e-003"
"","  24.4380e-11","1.0731e+000","-2.7836e-003","1.4620e+000","2.4052e-003","4.0065e-001","8.0129e-003"
"","  25.4155e-11","1.0750e+000","-2.5275e-003","1.4586e+000","2.0840e-003","4.0065e-001","8.0129e-003"
"","  26.3930e-11","1.0801e+000","-2.2128e-003","1.4544e+000","1.6883e-003","4.0065e-001","8.0129e-003"
"","  27.3705e-11","1.0851e+000","-1.8858e-003","1.4504e+000","1.3215e-003","4.0065e-001","8.0129e-003"
"","  28.3480e-11","1.0909e+000","-1.4609e-003","1.4463e+000","9.7613e-004","4.0065e-001","8.0129e-003"
"","  29.3256e-11","1.0962e+000","-9.9403e-004","1.4425e+000","6.5019e-004","4.0065e-001","8.0129e-003"
"","  30.3031e-11","1.0987e+000","-4.7430e-004","1.4389e+000","3.1525e-004","4.0065e-001","8.0129e-003"
"","  31.2806e-11","1.1021e+000","4.4177e-005","1.4351e+000","3.7985e-006","4.0065e-001","8.0129e-003"
"","  32.2581e-11","1.1059e+000","5.5450e-004","1.4309e+000","-3.1121e-004","4.0065e-001","8.0129e-003"
"","  33.2356e-11","1.1140e+000","1.0412e-003","1.4209e+000","-6.1455e-004","4.0065e-001","8.0129e-003"
"","  34.2132e-11","1.1248e+000","1.5102e-003","1.4086e+000","-9.3357e-004","4.0065e-001","8.0129e-003"
"","  35.1907e-11","1.1373e+000","1.9468e-003","1.3932e+000","-1.1928e-003","4.0065e-001","8.0129e-003"
"","  36.1682e-11","1.1497e+000","2.3382e-003","1.3794e+000","-1.4264e-003","4.0065e-001","8.0129e-003"
"","  37.1457e-11","1.1642e+000","2.6836e-003","1.3686e+000","-1.6448e-003","4.0065e-001","8.0129e-003"
"","  38.1232e-11","1.1811e+000","3.0223e-003","1.3570e+000","-1.8465e-003","4.0065e-001","8.0129e-003"
"","  39.1008e-11","1.2003e+000","3.4134e-003","1.3450e+000","-2.0514e-003","4.0065e-001","8.0129e-003"
"","  40.0783e-11","1.2203e+000","3.6942e-003","1.3319e+000","-2.2024e-003","4.0065e-001","8.0129e-003"
"","  41.0558e-11","1.2388e+000","3.9652e-003","1.3187e+000","-2.3723e-003","4.0073e-001","8.0180e-003"
"","  42.0333e-11","1.2573e+000","4.1667e-003","1.3060e+000","-2.5168e-003","4.0065e-001","8.0130e-003"
"","  43.0108e-11","1.2751e+000","4.3062e-003","1.2938e+000","-2.6475e-003","4.0065e-001","8.0129e-003"
"","  43.9883e-11","1.2931e+000","4.4518e-003","1.2826e+000","-2.7382e-003","4.0065e-001","8.0129e-003"
"","  44.9659e-11","1.3092e+000","4.6144e-003","1.2727e+000","-2.8576e-003","4.0065e-001","8.0129e-003"
"","  45.9434e-11","1.3241e+000","4.8130e-003","1.2629e+000","-3.0817e-003","4.0065e-001","8.0129e-003"
"","  46.9209e-11","1.3387e+000","4.9442e-003","1.2539e+000","-3.2209e-003","4.0065e-001","8.0129e-003"
"","  47.8984e-11","1.3537e+000","5.0244e-003","1.2448e+000","-3.3233e-003","4.0065e-001","8.0129e-003"
"","  48.8759e-11","1.3670e+000","5.0596e-003","1.2368e+000","-3.3390e-003","4.0065e-001","8.0129e-003"
"","  49.8535e-11","1.3791e+000","5.1565e-003","1.2291e+000","-3.3401e-003","4.0065e-001","8.0129e-003"
"","  50.8310e-11","1.3888e+000","5.1954e-003","1.2220e+000","-3.3498e-003","4.0065e-001","8.0129e-003"
"","  51.8085e-11","1.3964e+000","5.1980e-003","1.2155e+000","-3.3767e-003","4.0065e-001","8.0129e-003"
"","  52.7860e-11","1.4049e+000","5.1502e-003","1.2099e+000","-3.3886e-003","4.0065e-001","8.0129e-003"
"","  53.7635e-11","1.4129e+000","5.0979e-003","1.2042e+000","-3.4124e-003","4.0065e-001","8.0129e-003"
"","  54.7411e-11","1.4214e+000","5.0424e-003","1.1964e+000","-3.4278e-003","4.0065e-001","8.0129e-003"
"","  55.7186e-11","1.4279e+000","4.9926e-003","1.1908e+000","-3.4485e-003","4.0065e-001","8.0129e-003"
"","  56.6961e-11","1.4324e+000","4.9406e-003","1.1856e+000","-3.4440e-003","4.0065e-001","8.0129e-003"
"","  57.6736e-11","1.4356e+000","4.8517e-003","1.1830e+000","-3.4394e-003","4.0065e-001","8.0129e-003"
"","  58.6511e-11","1.4401e+000","4.7946e-003","1.1812e+000","-3.4628e-003","4.0065e-001","8.0129e-003"
"","  59.6286e-11","1.4438e+000","4.7697e-003","1.1779e+000","-3.4775e-003","4.0065e-001","8.0129e-003"
"","  60.6062e-11","1.4464e+000","4.7753e-003","1.1743e+000","-3.5100e-003","4.0065e-001","8.0129e-003"
"","  61.5837e-11","1.4476e+000","4.7128e-003","1.1711e+000","-3.5230e-003","4.0065e-001","8.0129e-003"
"","  62.5612e-11","1.4479e+000","4.6828e-003","1.1683e+000","-3.5684e-003","4.0065e-001","8.0129e-003"
"","  63.5387e-11","1.4490e+000","4.6182e-003","1.1660e+000","-3.5753e-003","4.0065e-001","8.0129e-003"
"","  64.5162e-11","1.4504e+000","4.5693e-003","1.1637e+000","-3.6055e-003","4.0065e-001","8.0129e-003"
"","  65.4938e-11","1.4514e+000","4.5551e-003","1.1619e+000","-3.6047e-003","4.0065e-001","8.0129e-003"
"","  66.4713e-11","1.4513e+000","4.5701e-003","1.1601e+000","-3.6521e-003","4.0065e-001","8.0129e-003"
"","  67.4488e-11","1.4517e+000","4.5657e-003","1.1577e+000","-3.7203e-003","4.0065e-001","8.0129e-003"
"","  68.4263e-11","1.4525e+000","4.5414e-003","1.1556e+000","-3.7191e-003","4.0065e-001","8.0129e-003"
"","  69.4038e-11","1.4540e+000","4.5064e-003","1.1530e+000","-3.7122e-003","4.0065e-001","8.0129e-003"
"","  70.3814e-11","1.4543e+000","4.5039e-003","1.1509e+000","-3.7201e-003","4.0065e-001","8.0129e-003"
"","  71.3589e-11","1.4548e+000","4.5393e-003","1.1484e+000","-3.7468e-003","4.0065e-001","8.0130e-003"
"","  72.3364e-11","1.4544e+000","4.5326e-003","1.1465e+000","-3.7998e-003","4.0065e-001","8.0129e-003"
"","  73.3139e-11","1.4543e+000","4.5123e-003","1.1443e+000","-3.8426e-003","4.0065e-001","8.0129e-003"
"","  74.2914e-11","1.4554e+000","4.4961e-003","1.1427e+000","-3.8713e-003","4.0065e-001","8.0129e-003"
"","  75.2690e-11","1.4565e+000","4.5183e-003","1.1407e+000","-3.9178e-003","4.0065e-001","8.0129e-003"
"","  76.2465e-11","1.4577e+000","4.5341e-003","1.1376e+000","-3.9447e-003","4.0065e-001","8.0129e-003"
"","  77.2240e-11","1.4581e+000","4.5519e-003","1.1365e+000","-3.9727e-003","4.0065e-001","8.0129e-003"
"","  78.2015e-11","1.4580e+000","4.5543e-003","1.1350e+000","-3.9859e-003","4.0065e-001","8.0129e-003"
"","  79.1790e-11","1.4585e+000","4.5507e-003","1.1337e+000","-4.0077e-003","4.0065e-001","8.0129e-003"
"","  80.1565e-11","1.4602e+000","4.5667e-003","1.1319e+000","-4.0374e-003","4.0065e-001","8.0129e-003"
"","  81.1341e-11","1.4608e+000","4.5859e-003","1.1291e+000","-4.0507e-003","4.0065e-001","8.0129e-003"
"","  82.1116e-11","1.4614e+000","4.6015e-003","1.1267e+000","-4.0772e-003","4.0065e-001","8.0129e-003"
"","  83.0891e-11","1.4615e+000","4.5786e-003","1.1251e+000","-4.0901e-003","4.0065e-001","8.0129e-003"
"","  84.0666e-11","1.4622e+000","4.5854e-003","1.1232e+000","-4.1148e-003","4.0065e-001","8.0129e-003"
"","  85.0441e-11","1.4633e+000","4.5652e-003","1.1219e+000","-4.0954e-003","4.0065e-001","8.0129e-003"
"","  86.0217e-11","1.4643e+000","4.5767e-003","1.1202e+000","-4.1185e-003","4.0065e-001","8.0129e-003"
"","  86.9992e-11","1.4646e+000","4.5958e-003","1.1190e+000","-4.1072e-003","4.0065e-001","8.0129e-003"
