"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:51:30 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.H25 (at pin)"
"Probe 2: U15.H24 (at pin)"
"Probe 3 (Differential): P5.C14 (at pin)/P5.C13 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0062e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9798e-003","1.4819e+000","3.9793e-003","4.0062e-001","8.0124e-003"
"","   1.9550e-11","1.0692e+000","-3.9816e-003","1.4819e+000","3.9803e-003","4.0062e-001","8.0124e-003"
"","   2.9326e-11","1.0692e+000","-3.9832e-003","1.4819e+000","3.9813e-003","4.0062e-001","8.0124e-003"
"","   3.9101e-11","1.0692e+000","-3.9847e-003","1.4819e+000","3.9821e-003","4.0062e-001","8.0124e-003"
"","   4.8876e-11","1.0692e+000","-3.9861e-003","1.4819e+000","3.9828e-003","4.0062e-001","8.0124e-003"
"","   5.8651e-11","1.0692e+000","-3.9874e-003","1.4819e+000","3.9835e-003","4.0062e-001","8.0124e-003"
"","   6.8427e-11","1.0692e+000","-3.9886e-003","1.4819e+000","3.9839e-003","4.0062e-001","8.0124e-003"
"","   7.8202e-11","1.0692e+000","-3.9898e-003","1.4819e+000","3.9833e-003","4.0062e-001","8.0124e-003"
"","   8.7977e-11","1.0693e+000","-3.9908e-003","1.4819e+000","3.9749e-003","4.0062e-001","8.0124e-003"
"","   9.7752e-11","1.0698e+000","-3.9917e-003","1.4814e+000","3.9649e-003","4.0062e-001","8.0124e-003"
"","  10.7527e-11","1.0700e+000","-3.9926e-003","1.4811e+000","3.9430e-003","4.0062e-001","8.0124e-003"
"","  11.7303e-11","1.0701e+000","-3.9926e-003","1.4810e+000","3.9041e-003","4.0062e-001","8.0124e-003"
"","  12.7078e-11","1.0701e+000","-3.9821e-003","1.4810e+000","3.8086e-003","4.0062e-001","8.0124e-003"
"","  13.6853e-11","1.0701e+000","-3.9699e-003","1.4810e+000","3.6927e-003","4.0062e-001","8.0124e-003"
"","  14.6628e-11","1.0700e+000","-3.9434e-003","1.4810e+000","3.5779e-003","4.0062e-001","8.0124e-003"
"","  15.6404e-11","1.0700e+000","-3.9048e-003","1.4810e+000","3.4641e-003","4.0062e-001","8.0124e-003"
"","  16.6179e-11","1.0700e+000","-3.8488e-003","1.4810e+000","3.3513e-003","4.0062e-001","8.0124e-003"
"","  17.5954e-11","1.0699e+000","-3.6659e-003","1.4809e+000","3.1859e-003","4.0062e-001","8.0124e-003"
"","  18.5729e-11","1.0699e+000","-3.5527e-003","1.4807e+000","3.1095e-003","4.0062e-001","8.0124e-003"
"","  19.5504e-11","1.0698e+000","-3.4112e-003","1.4803e+000","3.0278e-003","4.0062e-001","8.0124e-003"
"","  20.5280e-11","1.0698e+000","-3.2744e-003","1.4794e+000","2.9420e-003","4.0056e-001","8.0084e-003"
"","  21.5055e-11","1.0699e+000","-3.1827e-003","1.4776e+000","2.8574e-003","4.0061e-001","8.0116e-003"
"","  22.4830e-11","1.0702e+000","-3.0917e-003","1.4745e+000","2.7710e-003","4.0061e-001","8.0116e-003"
"","  23.4605e-11","1.0707e+000","-2.9896e-003","1.4706e+000","2.6635e-003","4.0061e-001","8.0116e-003"
