"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 06:39:35 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.L28 (at pin)"
"Probe 2: U15.K28 (at pin)"
"Probe 3 (Differential): P5.A8 (at pin)/P5.A7 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4819e+000",DC,"1.0692e+000",DC,"4.0065e-001",DC
"","   0.1955e-10","1.4819e+000","3.9806e-003","1.0692e+000","-3.9818e-003","4.0073e-001","8.0180e-003"
"","   0.3910e-10","1.4819e+000","3.9823e-003","1.0692e+000","-3.9849e-003","4.0064e-001","8.0119e-003"
"","   0.5865e-10","1.4819e+000","3.9837e-003","1.0692e+000","-3.9876e-003","4.0064e-001","8.0122e-003"
"","   0.7820e-10","1.4819e+000","3.9835e-003","1.0692e+000","-3.9899e-003","4.0065e-001","8.0125e-003"
"","   0.9775e-10","1.4813e+000","3.9652e-003","1.0699e+000","-3.9919e-003","4.0065e-001","8.0123e-003"
"","   1.1730e-10","1.4810e+000","3.9043e-003","1.0701e+000","-3.9927e-003","4.0064e-001","8.0123e-003"
"","   1.3685e-10","1.4810e+000","3.6929e-003","1.0701e+000","-3.9701e-003","4.0065e-001","8.0126e-003"
"","   1.5640e-10","1.4810e+000","3.4643e-003","1.0700e+000","-3.9049e-003","4.0066e-001","8.0133e-003"
"","   1.7595e-10","1.4809e+000","3.1878e-003","1.0699e+000","-3.6678e-003","4.0065e-001","8.0131e-003"
"","   1.9550e-10","1.4802e+000","3.0312e-003","1.0698e+000","-3.4144e-003","4.0066e-001","8.0132e-003"
"","   2.1506e-10","1.4773e+000","2.8584e-003","1.0699e+000","-3.1833e-003","4.0064e-001","8.0123e-003"
"","   2.3461e-10","1.4698e+000","2.6634e-003","1.0708e+000","-2.9892e-003","4.0065e-001","8.0125e-003"
"","   2.5416e-10","1.4610e+000","2.0821e-003","1.0733e+000","-2.5280e-003","4.0066e-001","8.0137e-003"
"","   2.7371e-10","1.4517e+000","1.3039e-003","1.0810e+000","-1.8862e-003","4.0066e-001","8.0131e-003"
"","   2.9326e-10","1.4437e+000","5.8779e-004","1.0920e+000","-9.9256e-004","4.0065e-001","8.0128e-003"
"","   3.1281e-10","1.4364e+000","-1.8221e-004","1.1013e+000","6.6174e-005","4.0065e-001","8.0129e-003"
"","   3.3236e-10","1.4266e+000","-7.7377e-004","1.1107e+000","1.1049e-003","4.0065e-001","8.0127e-003"
"","   3.5191e-10","1.4047e+000","-1.3070e-003","1.1284e+000","2.1807e-003","4.0065e-001","8.0128e-003"
"","   3.7146e-10","1.3763e+000","-1.6734e-003","1.1538e+000","2.9093e-003","4.0065e-001","8.0128e-003"
"","   3.9101e-10","1.3480e+000","-2.0512e-003","1.1884e+000","3.4477e-003","4.0066e-001","8.0135e-003"
"","   4.1056e-10","1.3203e+000","-2.4413e-003","1.2289e+000","3.9686e-003","4.0065e-001","8.0131e-003"
"","   4.3011e-10","1.2959e+000","-3.0911e-003","1.2692e+000","4.6319e-003","4.0065e-001","8.0128e-003"
"","   4.4966e-10","1.2745e+000","-3.3882e-003","1.3078e+000","5.0848e-003","4.0065e-001","8.0126e-003"
"","   4.6921e-10","1.2559e+000","-3.4392e-003","1.3389e+000","5.4759e-003","4.0065e-001","8.0131e-003"
"","   4.8876e-10","1.2392e+000","-3.4801e-003","1.3642e+000","5.6110e-003","4.0065e-001","8.0128e-003"
"","   5.0831e-10","1.2221e+000","-3.4363e-003","1.3876e+000","5.5403e-003","4.0066e-001","8.0136e-003"
"","   5.2786e-10","1.2039e+000","-3.4442e-003","1.4095e+000","5.4285e-003","4.0066e-001","8.0132e-003"
"","   5.4741e-10","1.1920e+000","-3.4147e-003","1.4271e+000","5.0932e-003","4.0065e-001","8.0128e-003"
"","   5.6696e-10","1.1846e+000","-3.4370e-003","1.4404e+000","4.9099e-003","4.0065e-001","8.0129e-003"
"","   5.8651e-10","1.1794e+000","-3.5174e-003","1.4480e+000","4.8639e-003","4.0065e-001","8.0127e-003"
"","   6.0606e-10","1.1754e+000","-3.6296e-003","1.4510e+000","4.8251e-003","4.0065e-001","8.0128e-003"
"","   6.2561e-10","1.1712e+000","-3.4799e-003","1.4513e+000","4.6766e-003","4.0065e-001","8.0126e-003"
"","   6.4517e-10","1.1670e+000","-3.4629e-003","1.4497e+000","4.5666e-003","4.0065e-001","8.0129e-003"
"","   6.6472e-10","1.1627e+000","-3.5110e-003","1.4495e+000","4.4135e-003","4.0065e-001","8.0129e-003"
"","   6.8427e-10","1.1569e+000","-3.5838e-003","1.4517e+000","4.3431e-003","4.0065e-001","8.0128e-003"
"","   7.0382e-10","1.1521e+000","-3.7063e-003","1.4533e+000","4.3652e-003","4.0065e-001","8.0129e-003"
"","   7.2337e-10","1.1503e+000","-3.8039e-003","1.4537e+000","4.3763e-003","4.0065e-001","8.0127e-003"
"","   7.4292e-10","1.1469e+000","-3.8840e-003","1.4536e+000","4.4821e-003","4.0065e-001","8.0128e-003"
"","   7.6247e-10","1.1431e+000","-4.0065e-003","1.4533e+000","4.5962e-003","4.0065e-001","8.0129e-003"
"","   7.8202e-10","1.1388e+000","-4.0216e-003","1.4541e+000","4.5865e-003","4.0065e-001","8.0129e-003"
"","   8.0157e-10","1.1339e+000","-3.9621e-003","1.4558e+000","4.5599e-003","4.0065e-001","8.0128e-003"
"","   8.2112e-10","1.1289e+000","-4.0777e-003","1.4585e+000","4.5602e-003","4.0065e-001","8.0129e-003"
"","   8.4067e-10","1.1246e+000","-4.1119e-003","1.4618e+000","4.5584e-003","4.0065e-001","8.0130e-003"
"","   8.6022e-10","1.1202e+000","-4.1543e-003","1.4648e+000","4.5940e-003","4.0065e-001","8.0129e-003"
