"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:56:08 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.L31 (at pin)"
"Probe 2: U15.K31 (at pin)"
"Probe 3 (Differential): P5.F4 (at pin)/P5.F3 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0069e-001",DC
"","   0.9775e-11","1.4819e+000","3.9799e-003","1.0692e+000","-3.9804e-003","4.0068e-001","8.0133e-003"
"","   1.9551e-11","1.4819e+000","3.9809e-003","1.0692e+000","-3.9821e-003","4.0068e-001","8.0133e-003"
"","   2.9326e-11","1.4819e+000","3.9819e-003","1.0692e+000","-3.9837e-003","4.0068e-001","8.0133e-003"
"","   3.9101e-11","1.4819e+000","3.9827e-003","1.0692e+000","-3.9852e-003","4.0068e-001","8.0133e-003"
"","   4.8877e-11","1.4819e+000","3.9834e-003","1.0692e+000","-3.9866e-003","4.0068e-001","8.0133e-003"
"","   5.8652e-11","1.4819e+000","3.9841e-003","1.0692e+000","-3.9879e-003","4.0068e-001","8.0133e-003"
"","   6.8427e-11","1.4819e+000","3.9845e-003","1.0692e+000","-3.9891e-003","4.0068e-001","8.0133e-003"
"","   7.8202e-11","1.4819e+000","3.9839e-003","1.0692e+000","-3.9902e-003","4.0068e-001","8.0133e-003"
"","   8.7978e-11","1.4814e+000","3.9755e-003","1.0697e+000","-3.9912e-003","4.0068e-001","8.0133e-003"
"","   9.7753e-11","1.4809e+000","3.9655e-003","1.0702e+000","-3.9922e-003","4.0068e-001","8.0133e-003"
"","  10.7528e-11","1.4809e+000","3.9436e-003","1.0702e+000","-3.9930e-003","4.0068e-001","8.0133e-003"
"","  11.7304e-11","1.4810e+000","3.9047e-003","1.0701e+000","-3.9929e-003","4.0068e-001","8.0133e-003"
"","  12.7079e-11","1.4810e+000","3.8092e-003","1.0700e+000","-3.9824e-003","4.0068e-001","8.0133e-003"
"","  13.6854e-11","1.4812e+000","3.6933e-003","1.0699e+000","-3.9702e-003","4.0068e-001","8.0133e-003"
