"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:57:13 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J34 (at pin)"
"Probe 2: U15.H34 (at pin)"
"Probe 3 (Differential): P5.F6 (at pin)/P5.F5 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0064e-001",DC
"","   0.9775e-11","1.4819e+000","3.9794e-003","1.0692e+000","-3.9799e-003","4.0065e-001","8.0131e-003"
"","   1.9551e-11","1.4819e+000","3.9805e-003","1.0692e+000","-3.9817e-003","4.0065e-001","8.0131e-003"
"","   2.9326e-11","1.4819e+000","3.9814e-003","1.0692e+000","-3.9833e-003","4.0065e-001","8.0131e-003"
"","   3.9101e-11","1.4819e+000","3.9822e-003","1.0692e+000","-3.9848e-003","4.0065e-001","8.0130e-003"
"","   4.8876e-11","1.4819e+000","3.9830e-003","1.0692e+000","-3.9862e-003","4.0065e-001","8.0130e-003"
"","   5.8652e-11","1.4819e+000","3.9836e-003","1.0692e+000","-3.9875e-003","4.0065e-001","8.0130e-003"
"","   6.8427e-11","1.4819e+000","3.9841e-003","1.0692e+000","-3.9887e-003","4.0065e-001","8.0130e-003"
"","   7.8202e-11","1.4819e+000","3.9834e-003","1.0692e+000","-3.9899e-003","4.0065e-001","8.0131e-003"
"","   8.7977e-11","1.4806e+000","3.9750e-003","1.0706e+000","-3.9909e-003","4.0065e-001","8.0131e-003"
"","   9.7753e-11","1.4806e+000","3.9652e-003","1.0705e+000","-3.9919e-003","4.0065e-001","8.0131e-003"
"","  10.7528e-11","1.4807e+000","3.9433e-003","1.0704e+000","-3.9928e-003","4.0065e-001","8.0131e-003"
"","  11.7303e-11","1.4807e+000","3.9044e-003","1.0703e+000","-3.9927e-003","4.0065e-001","8.0131e-003"
"","  12.7078e-11","1.4808e+000","3.8090e-003","1.0703e+000","-3.9823e-003","4.0065e-001","8.0131e-003"
"","  13.6854e-11","1.4808e+000","3.6931e-003","1.0702e+000","-3.9701e-003","4.0065e-001","8.0131e-003"
"","  14.6629e-11","1.4808e+000","3.5782e-003","1.0701e+000","-3.9436e-003","4.0065e-001","8.0131e-003"
"","  15.6404e-11","1.4809e+000","3.4644e-003","1.0701e+000","-3.9050e-003","4.0065e-001","8.0131e-003"
"","  16.6179e-11","1.4808e+000","3.3516e-003","1.0700e+000","-3.8491e-003","4.0064e-001","8.0126e-003"
"","  17.5955e-11","1.4804e+000","3.2579e-003","1.0700e+000","-3.7378e-003","4.0064e-001","8.0126e-003"
"","  18.5730e-11","1.4799e+000","3.1469e-003","1.0699e+000","-3.5887e-003","4.0064e-001","8.0126e-003"
"","  19.5505e-11","1.4789e+000","3.0478e-003","1.0699e+000","-3.4291e-003","4.0064e-001","8.0126e-003"
"","  20.5281e-11","1.4770e+000","2.9533e-003","1.0699e+000","-3.2830e-003","4.0064e-001","8.0126e-003"
