"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:59:12 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.H32 (at pin)"
"Probe 3: U15.G32 (at pin)"
"Probe 4 (Differential): P5.F10 (at pin)/P5.F9 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0068e-001",DC
"","   0.9775e-11","1.4819e+000","3.9798e-003","1.0692e+000","-3.9803e-003","4.0068e-001","8.0135e-003"
"","   1.9551e-11","1.4819e+000","3.9809e-003","1.0692e+000","-3.9821e-003","4.0068e-001","8.0135e-003"
"","   2.9326e-11","1.4819e+000","3.9818e-003","1.0692e+000","-3.9837e-003","4.0068e-001","8.0135e-003"
"","   3.9101e-11","1.4819e+000","3.9826e-003","1.0692e+000","-3.9852e-003","4.0068e-001","8.0135e-003"
"","   4.8877e-11","1.4819e+000","3.9834e-003","1.0692e+000","-3.9866e-003","4.0068e-001","8.0135e-003"
"","   5.8652e-11","1.4819e+000","3.9840e-003","1.0692e+000","-3.9878e-003","4.0068e-001","8.0135e-003"
"","   6.8427e-11","1.4819e+000","3.9845e-003","1.0692e+000","-3.9890e-003","4.0068e-001","8.0135e-003"
"","   7.8202e-11","1.4819e+000","3.9838e-003","1.0692e+000","-3.9901e-003","4.0068e-001","8.0135e-003"
"","   8.7978e-11","1.4814e+000","3.9754e-003","1.0697e+000","-3.9912e-003","4.0068e-001","8.0135e-003"
"","   9.7753e-11","1.4809e+000","3.9654e-003","1.0702e+000","-3.9921e-003","4.0068e-001","8.0135e-003"
"","  10.7528e-11","1.4810e+000","3.9435e-003","1.0701e+000","-3.9930e-003","4.0068e-001","8.0135e-003"
"","  11.7304e-11","1.4813e+000","3.9046e-003","1.0698e+000","-3.9929e-003","4.0068e-001","8.0135e-003"
"","  12.7079e-11","1.4811e+000","3.8091e-003","1.0700e+000","-3.9824e-003","4.0068e-001","8.0135e-003"
"","  13.6854e-11","1.4810e+000","3.6932e-003","1.0701e+000","-3.9702e-003","4.0068e-001","8.0135e-003"
"","  14.6630e-11","1.4810e+000","3.5784e-003","1.0700e+000","-3.9436e-003","4.0068e-001","8.0135e-003"
"","  15.6405e-11","1.4810e+000","3.4645e-003","1.0700e+000","-3.9050e-003","4.0068e-001","8.0135e-003"
"","  16.6180e-11","1.4810e+000","3.3518e-003","1.0700e+000","-3.8491e-003","4.0068e-001","8.0135e-003"
"","  17.5955e-11","1.4807e+000","3.2195e-003","1.0699e+000","-3.6993e-003","4.0068e-001","8.0135e-003"
"","  18.5731e-11","1.4803e+000","3.1309e-003","1.0699e+000","-3.5730e-003","4.0068e-001","8.0135e-003"
"","  19.5506e-11","1.4797e+000","3.0331e-003","1.0698e+000","-3.4150e-003","4.0068e-001","8.0135e-003"
"","  20.5281e-11","1.4784e+000","2.9236e-003","1.0698e+000","-3.2551e-003","4.0068e-001","8.0135e-003"
"","  21.5057e-11","1.4753e+000","2.8523e-003","1.0702e+000","-3.1770e-003","4.0068e-001","8.0137e-003"
"","  22.4832e-11","1.4715e+000","2.7716e-003","1.0706e+000","-3.0919e-003","4.0068e-001","8.0137e-003"
"","  23.4607e-11","1.4686e+000","2.6637e-003","1.0713e+000","-2.9894e-003","4.0068e-001","8.0137e-003"
"","  24.4383e-11","1.4651e+000","2.4057e-003","1.0726e+000","-2.7845e-003","4.0068e-001","8.0137e-003"
"","  25.4158e-11","1.4610e+000","2.0846e-003","1.0743e+000","-2.5285e-003","4.0068e-001","8.0137e-003"
"","  26.3933e-11","1.4563e+000","1.6869e-003","1.0789e+000","-2.2127e-003","4.0068e-001","8.0137e-003"
"","  27.3708e-11","1.4521e+000","1.3192e-003","1.0836e+000","-1.8868e-003","4.0068e-001","8.0137e-003"
"","  28.3484e-11","1.4482e+000","9.6315e-004","1.0877e+000","-1.4619e-003","4.0066e-001","8.0119e-003"
"","  29.3259e-11","1.4440e+000","6.3093e-004","1.0926e+000","-9.9473e-004","4.0068e-001","8.0133e-003"
"","  30.3034e-11","1.4404e+000","2.8159e-004","1.0957e+000","-4.7405e-004","4.0068e-001","8.0133e-003"
