"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 11:00:33 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.F33 (at pin)"
"Probe 3: U15.E34 (at pin)"
"Probe 4 (Differential): P5.F12 (at pin)/P5.F11 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","1.0685e+000",DC,"1.4814e+000",DC,"4.0079e-001",DC
"","   0.9775e-11","1.0685e+000","-3.9808e-003","1.4814e+000","3.9820e-003","4.0080e-001","8.0159e-003"
"","   1.9550e-11","1.0685e+000","-3.9820e-003","1.4814e+000","3.9840e-003","4.0080e-001","8.0159e-003"
"","   2.9326e-11","1.0685e+000","-3.9830e-003","1.4814e+000","3.9858e-003","4.0080e-001","8.0159e-003"
"","   3.9101e-11","1.0685e+000","-3.9840e-003","1.4814e+000","3.9874e-003","4.0080e-001","8.0159e-003"
"","   4.8876e-11","1.0685e+000","-3.9849e-003","1.4814e+000","3.9888e-003","4.0080e-001","8.0159e-003"
"","   5.8651e-11","1.0685e+000","-3.9858e-003","1.4814e+000","3.9900e-003","4.0080e-001","8.0159e-003"
"","   6.8427e-11","1.0685e+000","-3.9865e-003","1.4814e+000","3.9910e-003","4.0080e-001","8.0159e-003"
"","   7.8202e-11","1.0685e+000","-3.9873e-003","1.4814e+000","3.9908e-003","4.0079e-001","8.0159e-003"
"","   8.7977e-11","1.0698e+000","-3.9879e-003","1.4800e+000","3.9828e-003","4.0079e-001","8.0159e-003"
"","   9.7752e-11","1.0698e+000","-3.9886e-003","1.4801e+000","3.9733e-003","4.0079e-001","8.0159e-003"
"","  10.7528e-11","1.0697e+000","-3.9892e-003","1.4802e+000","3.9517e-003","4.0079e-001","8.0159e-003"
"","  11.7303e-11","1.0697e+000","-3.9888e-003","1.4803e+000","3.9131e-003","4.0079e-001","8.0159e-003"
