"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 11:02:20 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.F26 (at pin)"
"Probe 3: U15.F25 (at pin)"
"Probe 4 (Differential): P5.F16 (at pin)/P5.F15 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0068e-001",DC
"","   0.9775e-11","1.4819e+000","3.9799e-003","1.0692e+000","-3.9804e-003","4.0067e-001","8.0125e-003"
"","   1.9550e-11","1.4819e+000","3.9810e-003","1.0692e+000","-3.9821e-003","4.0070e-001","8.0148e-003"
"","   2.9326e-11","1.4819e+000","3.9819e-003","1.0692e+000","-3.9837e-003","4.0071e-001","8.0152e-003"
"","   3.9101e-11","1.4819e+000","3.9827e-003","1.0692e+000","-3.9852e-003","4.0069e-001","8.0137e-003"
"","   4.8876e-11","1.4819e+000","3.9835e-003","1.0692e+000","-3.9866e-003","4.0068e-001","8.0135e-003"
"","   5.8651e-11","1.4819e+000","3.9841e-003","1.0692e+000","-3.9879e-003","4.0069e-001","8.0137e-003"
"","   6.8427e-11","1.4819e+000","3.9846e-003","1.0692e+000","-3.9891e-003","4.0069e-001","8.0137e-003"
"","   7.8202e-11","1.4819e+000","3.9839e-003","1.0692e+000","-3.9902e-003","4.0069e-001","8.0136e-003"
"","   8.7977e-11","1.4813e+000","3.9755e-003","1.0698e+000","-3.9912e-003","4.0069e-001","8.0137e-003"
"","   9.7752e-11","1.4809e+000","3.9655e-003","1.0702e+000","-3.9922e-003","4.0069e-001","8.0138e-003"
"","  10.7528e-11","1.4811e+000","3.9437e-003","1.0701e+000","-3.9930e-003","4.0069e-001","8.0137e-003"
"","  11.7303e-11","1.4813e+000","3.9047e-003","1.0698e+000","-3.9930e-003","4.0069e-001","8.0137e-003"
"","  12.7078e-11","1.4811e+000","3.8093e-003","1.0700e+000","-3.9825e-003","4.0070e-001","8.0143e-003"
"","  13.6853e-11","1.4810e+000","3.6933e-003","1.0701e+000","-3.9703e-003","4.0068e-001","8.0130e-003"
"","  14.6628e-11","1.4810e+000","3.5785e-003","1.0700e+000","-3.9438e-003","4.0068e-001","8.0133e-003"
"","  15.6404e-11","1.4810e+000","3.4647e-003","1.0700e+000","-3.9051e-003","4.0068e-001","8.0130e-003"
"","  16.6179e-11","1.4810e+000","3.3519e-003","1.0700e+000","-3.8492e-003","4.0068e-001","8.0130e-003"
"","  17.5954e-11","1.4807e+000","3.2263e-003","1.0699e+000","-3.7061e-003","4.0068e-001","8.0130e-003"
"","  18.5729e-11","1.4803e+000","3.1310e-003","1.0699e+000","-3.5731e-003","4.0068e-001","8.0130e-003"
"","  19.5505e-11","1.4797e+000","3.0192e-003","1.0698e+000","-3.4010e-003","4.0068e-001","8.0130e-003"
"","  20.5280e-11","1.4784e+000","2.9252e-003","1.0698e+000","-3.2568e-003","4.0068e-001","8.0130e-003"
"","  21.5055e-11","1.4753e+000","2.8502e-003","1.0702e+000","-3.1748e-003","4.0068e-001","8.0130e-003"
"","  22.4830e-11","1.4715e+000","2.7716e-003","1.0706e+000","-3.0918e-003","4.0068e-001","8.0132e-003"
"","  23.4605e-11","1.4686e+000","2.6638e-003","1.0713e+000","-2.9895e-003","4.0068e-001","8.0135e-003"
"","  24.4381e-11","1.4651e+000","2.4059e-003","1.0726e+000","-2.7846e-003","4.0068e-001","8.0135e-003"
"","  25.4156e-11","1.4609e+000","2.0847e-003","1.0743e+000","-2.5287e-003","4.0068e-001","8.0136e-003"
"","  26.3931e-11","1.4562e+000","1.6870e-003","1.0789e+000","-2.2128e-003","4.0068e-001","8.0136e-003"
"","  27.3706e-11","1.4521e+000","1.3191e-003","1.0836e+000","-1.8869e-003","4.0069e-001","8.0140e-003"
"","  28.3482e-11","1.4481e+000","9.6284e-004","1.0878e+000","-1.4620e-003","4.0068e-001","8.0136e-003"
"","  29.3257e-11","1.4439e+000","6.3080e-004","1.0926e+000","-9.9486e-004","4.0068e-001","8.0136e-003"
"","  30.3032e-11","1.4404e+000","2.8013e-004","1.0957e+000","-4.7426e-004","4.0068e-001","8.0136e-003"
