"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 11:03:05 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.C33 (at pin)"
"Probe 2: U15.B33 (at pin)"
"Probe 3 (Differential): P5.F18 (at pin)/P5.F17 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4814e+000",DC,"1.0685e+000",DC,"4.0082e-001",DC
"","   0.9775e-11","1.4814e+000","3.9823e-003","1.0685e+000","-3.9811e-003","4.0077e-001","8.0131e-003"
"","   1.9550e-11","1.4814e+000","3.9843e-003","1.0685e+000","-3.9822e-003","4.0087e-001","8.0193e-003"
"","   2.9326e-11","1.4814e+000","3.9860e-003","1.0685e+000","-3.9833e-003","4.0082e-001","8.0162e-003"
"","   3.9101e-11","1.4814e+000","3.9876e-003","1.0685e+000","-3.9843e-003","4.0082e-001","8.0164e-003"
"","   4.8876e-11","1.4814e+000","3.9890e-003","1.0685e+000","-3.9852e-003","4.0082e-001","8.0163e-003"
"","   5.8651e-11","1.4814e+000","3.9902e-003","1.0685e+000","-3.9860e-003","4.0082e-001","8.0163e-003"
"","   6.8427e-11","1.4814e+000","3.9912e-003","1.0685e+000","-3.9868e-003","4.0082e-001","8.0163e-003"
"","   7.8202e-11","1.4814e+000","3.9910e-003","1.0685e+000","-3.9875e-003","4.0082e-001","8.0163e-003"
"","   8.7977e-11","1.4809e+000","3.9830e-003","1.0690e+000","-3.9882e-003","4.0082e-001","8.0163e-003"
"","   9.7752e-11","1.4804e+000","3.9734e-003","1.0695e+000","-3.9888e-003","4.0082e-001","8.0163e-003"
"","  10.7527e-11","1.4805e+000","3.9518e-003","1.0695e+000","-3.9894e-003","4.0082e-001","8.0163e-003"
"","  11.7303e-11","1.4805e+000","3.9131e-003","1.0694e+000","-3.9889e-003","4.0082e-001","8.0163e-003"
"","  12.7078e-11","1.4806e+000","3.8179e-003","1.0694e+000","-3.9781e-003","4.0082e-001","8.0163e-003"
"","  13.6853e-11","1.4808e+000","3.7021e-003","1.0692e+000","-3.9657e-003","4.0082e-001","8.0163e-003"
"","  14.6628e-11","1.4806e+000","3.5873e-003","1.0694e+000","-3.9390e-003","4.0082e-001","8.0163e-003"
"","  15.6404e-11","1.4806e+000","3.4736e-003","1.0694e+000","-3.9002e-003","4.0082e-001","8.0163e-003"
"","  16.6179e-11","1.4806e+000","3.3608e-003","1.0694e+000","-3.8441e-003","4.0082e-001","8.0163e-003"
"","  17.5954e-11","1.4803e+000","3.2282e-003","1.0694e+000","-3.6938e-003","4.0082e-001","8.0163e-003"
"","  18.5729e-11","1.4800e+000","3.1423e-003","1.0693e+000","-3.5702e-003","4.0082e-001","8.0163e-003"
"","  19.5504e-11","1.4792e+000","3.0441e-003","1.0693e+000","-3.4118e-003","4.0082e-001","8.0163e-003"
"","  20.5280e-11","1.4778e+000","2.9504e-003","1.0693e+000","-3.2670e-003","4.0082e-001","8.0163e-003"
"","  21.5055e-11","1.4744e+000","2.8623e-003","1.0697e+000","-3.1717e-003","4.0082e-001","8.0163e-003"
"","  22.4830e-11","1.4700e+000","2.7689e-003","1.0701e+000","-3.0729e-003","4.0082e-001","8.0163e-003"
"","  23.4605e-11","1.4659e+000","2.6708e-003","1.0711e+000","-2.9804e-003","4.0082e-001","8.0163e-003"
"","  24.4380e-11","1.4618e+000","2.4141e-003","1.0726e+000","-2.7768e-003","4.0082e-001","8.0163e-003"
"","  25.4156e-11","1.4584e+000","2.0928e-003","1.0745e+000","-2.5205e-003","4.0082e-001","8.0163e-003"
"","  26.3931e-11","1.4541e+000","1.6970e-003","1.0796e+000","-2.2055e-003","4.0082e-001","8.0162e-003"
"","  27.3706e-11","1.4501e+000","1.3301e-003","1.0846e+000","-1.8781e-003","4.0082e-001","8.0163e-003"
"","  28.3481e-11","1.4461e+000","9.8459e-004","1.0904e+000","-1.4529e-003","4.0082e-001","8.0163e-003"
"","  29.3257e-11","1.4423e+000","6.5870e-004","1.0957e+000","-9.8554e-004","4.0082e-001","8.0163e-003"
"","  30.3032e-11","1.4387e+000","3.2337e-004","1.0983e+000","-4.6537e-004","4.0082e-001","8.0163e-003"
"","  31.2807e-11","1.4349e+000","1.1753e-005","1.1017e+000","5.3464e-005","4.0082e-001","8.0163e-003"
"","  32.2582e-11","1.4307e+000","-3.0314e-004","1.1054e+000","5.6413e-004","4.0082e-001","8.0163e-003"
"","  33.2357e-11","1.4207e+000","-6.0672e-004","1.1136e+000","1.0511e-003","4.0082e-001","8.0163e-003"
"","  34.2133e-11","1.4084e+000","-9.2557e-004","1.1243e+000","1.5201e-003","4.0082e-001","8.0163e-003"
"","  35.1908e-11","1.3930e+000","-1.1867e-003","1.1368e+000","1.9586e-003","4.0082e-001","8.0163e-003"
"","  36.1683e-11","1.3792e+000","-1.4192e-003","1.1492e+000","2.3486e-003","4.0082e-001","8.0163e-003"
"","  37.1458e-11","1.3684e+000","-1.6377e-003","1.1637e+000","2.6943e-003","4.0082e-001","8.0163e-003"
"","  38.1234e-11","1.3569e+000","-1.8395e-003","1.1806e+000","3.0325e-003","4.0082e-001","8.0163e-003"
"","  39.1009e-11","1.3448e+000","-2.0372e-003","1.1999e+000","3.4168e-003","4.0082e-001","8.0163e-003"
"","  40.0784e-11","1.3317e+000","-2.1954e-003","1.2199e+000","3.7048e-003","4.0082e-001","8.0163e-003"
"","  41.0559e-11","1.3185e+000","-2.3653e-003","1.2384e+000","3.9760e-003","4.0082e-001","8.0163e-003"
"","  42.0334e-11","1.3058e+000","-2.5103e-003","1.2569e+000","4.1784e-003","4.0082e-001","8.0163e-003"
"","  43.0110e-11","1.2936e+000","-2.6409e-003","1.2747e+000","4.3177e-003","4.0082e-001","8.0163e-003"
"","  43.9885e-11","1.2824e+000","-2.7319e-003","1.2928e+000","4.4636e-003","4.0082e-001","8.0163e-003"
"","  44.9660e-11","1.2724e+000","-2.8499e-003","1.3089e+000","4.6247e-003","4.0082e-001","8.0163e-003"
"","  45.9435e-11","1.2627e+000","-3.0747e-003","1.3238e+000","4.8240e-003","4.0082e-001","8.0163e-003"
"","  46.9211e-11","1.2537e+000","-3.2134e-003","1.3383e+000","4.9548e-003","4.0082e-001","8.0163e-003"
"","  47.8986e-11","1.2447e+000","-3.3171e-003","1.3532e+000","5.0358e-003","4.0082e-001","8.0163e-003"
"","  48.8761e-11","1.2366e+000","-3.3331e-003","1.3667e+000","5.0706e-003","4.0082e-001","8.0163e-003"
"","  49.8536e-11","1.2289e+000","-3.3343e-003","1.3789e+000","5.1680e-003","4.0082e-001","8.0163e-003"
"","  50.8311e-11","1.2217e+000","-3.3434e-003","1.3886e+000","5.2063e-003","4.0082e-001","8.0163e-003"
"","  51.8087e-11","1.2152e+000","-3.3711e-003","1.3962e+000","5.2097e-003","4.0082e-001","8.0163e-003"
"","  52.7862e-11","1.2096e+000","-3.3789e-003","1.4047e+000","5.1583e-003","4.0082e-001","8.0163e-003"
"","  53.7637e-11","1.2040e+000","-3.4060e-003","1.4127e+000","5.1055e-003","4.0082e-001","8.0163e-003"
"","  54.7412e-11","1.1962e+000","-3.4217e-003","1.4211e+000","5.0515e-003","4.0082e-001","8.0163e-003"
"","  55.7188e-11","1.1905e+000","-3.4422e-003","1.4276e+000","5.0026e-003","4.0082e-001","8.0163e-003"
"","  56.6963e-11","1.1853e+000","-3.4447e-003","1.4322e+000","4.9583e-003","4.0082e-001","8.0163e-003"
"","  57.6738e-11","1.1827e+000","-3.4332e-003","1.4354e+000","4.8626e-003","4.0089e-001","8.0207e-003"
"","  58.6513e-11","1.1809e+000","-3.4563e-003","1.4399e+000","4.8055e-003","4.0084e-001","8.0179e-003"
"","  59.6288e-11","1.1776e+000","-3.4711e-003","1.4436e+000","4.7793e-003","4.0083e-001","8.0169e-003"
"","  60.6064e-11","1.1740e+000","-3.4964e-003","1.4462e+000","4.7790e-003","4.0082e-001","8.0165e-003"
"","  61.5839e-11","1.1709e+000","-3.5160e-003","1.4474e+000","4.7225e-003","4.0082e-001","8.0163e-003"
"","  62.5614e-11","1.1680e+000","-3.5614e-003","1.4476e+000","4.6928e-003","4.0082e-001","8.0163e-003"
"","  63.5389e-11","1.1657e+000","-3.5694e-003","1.4488e+000","4.6292e-003","4.0082e-001","8.0162e-003"
"","  64.5164e-11","1.1634e+000","-3.5990e-003","1.4502e+000","4.5791e-003","4.0082e-001","8.0162e-003"
"","  65.4940e-11","1.1615e+000","-3.5984e-003","1.4513e+000","4.5649e-003","4.0083e-001","8.0160e-003"
"","  66.4715e-11","1.1598e+000","-3.6440e-003","1.4512e+000","4.5785e-003","4.0082e-001","8.0161e-003"
"","  67.4490e-11","1.1574e+000","-3.7145e-003","1.4515e+000","4.5765e-003","4.0082e-001","8.0161e-003"
"","  68.4265e-11","1.1553e+000","-3.7119e-003","1.4523e+000","4.5509e-003","4.0082e-001","8.0161e-003"
"","  69.4041e-11","1.1527e+000","-3.7061e-003","1.4537e+000","4.5161e-003","4.0082e-001","8.0161e-003"
"","  70.3816e-11","1.1506e+000","-3.7133e-003","1.4541e+000","4.5125e-003","4.0082e-001","8.0160e-003"
"","  71.3591e-11","1.1481e+000","-3.7403e-003","1.4546e+000","4.5496e-003","4.0082e-001","8.0161e-003"
"","  72.3366e-11","1.1462e+000","-3.7923e-003","1.4543e+000","4.5419e-003","4.0082e-001","8.0161e-003"
"","  73.3141e-11","1.1440e+000","-3.8365e-003","1.4541e+000","4.5225e-003","4.0082e-001","8.0161e-003"
"","  74.2917e-11","1.1424e+000","-3.8708e-003","1.4552e+000","4.5120e-003","4.0082e-001","8.0161e-003"
"","  75.2692e-11","1.1404e+000","-3.9110e-003","1.4563e+000","4.5257e-003","4.0082e-001","8.0161e-003"
"","  76.2467e-11","1.1373e+000","-3.9383e-003","1.4575e+000","4.5442e-003","4.0082e-001","8.0161e-003"
"","  77.2242e-11","1.1362e+000","-3.9662e-003","1.4579e+000","4.5618e-003","4.0082e-001","8.0161e-003"
"","  78.2018e-11","1.1347e+000","-3.9816e-003","1.4578e+000","4.5664e-003","4.0082e-001","8.0161e-003"
"","  79.1793e-11","1.1334e+000","-4.0012e-003","1.4582e+000","4.5604e-003","4.0082e-001","8.0161e-003"
"","  80.1568e-11","1.1316e+000","-4.0309e-003","1.4599e+000","4.5762e-003","4.0082e-001","8.0161e-003"
"","  81.1343e-11","1.1288e+000","-4.0443e-003","1.4606e+000","4.5944e-003","4.0082e-001","8.0161e-003"
"","  82.1118e-11","1.1264e+000","-4.0647e-003","1.4612e+000","4.6060e-003","4.0082e-001","8.0161e-003"
"","  83.0894e-11","1.1247e+000","-4.0825e-003","1.4614e+000","4.5870e-003","4.0082e-001","8.0160e-003"
"","  84.0669e-11","1.1229e+000","-4.1080e-003","1.4619e+000","4.5948e-003","4.0082e-001","8.0160e-003"
"","  85.0444e-11","1.1216e+000","-4.0897e-003","1.4631e+000","4.5753e-003","4.0082e-001","8.0160e-003"
"","  86.0219e-11","1.1199e+000","-4.1121e-003","1.4641e+000","4.5856e-003","4.0082e-001","8.0160e-003"
"","  86.9995e-11","1.1187e+000","-4.1011e-003","1.4644e+000","4.6056e-003","4.0082e-001","8.0160e-003"
"","  87.9770e-11","1.1173e+000","-4.1311e-003","1.4647e+000","4.6242e-003","4.0082e-001","8.0160e-003"
"","  88.9545e-11","1.1157e+000","-4.1473e-003","1.4653e+000","4.6058e-003","4.0082e-001","8.0160e-003"
"","  89.9320e-11","1.1146e+000","-4.1354e-003","1.4660e+000","4.6027e-003","4.0082e-001","8.0160e-003"
"","  90.9095e-11","1.1132e+000","-4.1324e-003","1.4667e+000","4.5892e-003","4.0082e-001","8.0160e-003"
"","  91.8871e-11","1.1123e+000","-4.1508e-003","1.4666e+000","4.5988e-003","4.0082e-001","8.0160e-003"
"","  92.8646e-11","1.1111e+000","-4.1678e-003","1.4669e+000","4.6169e-003","4.0082e-001","8.0160e-003"
"","  93.8421e-11","1.1106e+000","-4.1898e-003","1.4669e+000","4.5999e-003","4.0082e-001","8.0160e-003"
"","  94.8196e-11","1.1096e+000","-4.1874e-003","1.4675e+000","4.5854e-003","4.0082e-001","8.0160e-003"
"","  95.7971e-11","1.1092e+000","-4.1923e-003","1.4684e+000","4.5915e-003","4.0082e-001","8.0160e-003"
