"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:04:59 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.L24 (at pin)"
"Probe 2: U15.K24 (at pin)"
"Probe 3 (Differential): P5.A10 (at pin)/P5.A9 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0064e-001",DC
"","   0.9775e-11","1.4819e+000","3.9794e-003","1.0692e+000","-3.9800e-003","4.0064e-001","8.0125e-003"
"","   1.9550e-11","1.4819e+000","3.9804e-003","1.0692e+000","-3.9817e-003","4.0064e-001","8.0125e-003"
"","   2.9326e-11","1.4819e+000","3.9814e-003","1.0692e+000","-3.9833e-003","4.0064e-001","8.0125e-003"
"","   3.9101e-11","1.4819e+000","3.9822e-003","1.0692e+000","-3.9848e-003","4.0064e-001","8.0125e-003"
"","   4.8876e-11","1.4819e+000","3.9829e-003","1.0692e+000","-3.9862e-003","4.0064e-001","8.0125e-003"
"","   5.8651e-11","1.4819e+000","3.9836e-003","1.0692e+000","-3.9875e-003","4.0064e-001","8.0125e-003"
"","   6.8427e-11","1.4819e+000","3.9840e-003","1.0692e+000","-3.9887e-003","4.0064e-001","8.0125e-003"
"","   7.8202e-11","1.4819e+000","3.9834e-003","1.0692e+000","-3.9899e-003","4.0064e-001","8.0125e-003"
"","   8.7977e-11","1.4819e+000","3.9750e-003","1.0693e+000","-3.9909e-003","4.0064e-001","8.0125e-003"
"","   9.7752e-11","1.4814e+000","3.9651e-003","1.0698e+000","-3.9918e-003","4.0064e-001","8.0125e-003"
"","  10.7528e-11","1.4811e+000","3.9431e-003","1.0700e+000","-3.9927e-003","4.0064e-001","8.0125e-003"
"","  11.7303e-11","1.4810e+000","3.9042e-003","1.0701e+000","-3.9926e-003","4.0064e-001","8.0125e-003"
"","  12.7078e-11","1.4810e+000","3.8088e-003","1.0701e+000","-3.9822e-003","4.0064e-001","8.0125e-003"
"","  13.6853e-11","1.4810e+000","3.6928e-003","1.0701e+000","-3.9700e-003","4.0064e-001","8.0125e-003"
"","  14.6628e-11","1.4810e+000","3.5780e-003","1.0700e+000","-3.9435e-003","4.0064e-001","8.0125e-003"
"","  15.6404e-11","1.4810e+000","3.4642e-003","1.0700e+000","-3.9048e-003","4.0064e-001","8.0125e-003"
"","  16.6179e-11","1.4810e+000","3.3514e-003","1.0700e+000","-3.8489e-003","4.0064e-001","8.0125e-003"
"","  17.5954e-11","1.4809e+000","3.1871e-003","1.0699e+000","-3.6671e-003","4.0064e-001","8.0125e-003"
"","  18.5729e-11","1.4807e+000","3.1101e-003","1.0699e+000","-3.5533e-003","4.0064e-001","8.0125e-003"
"","  19.5505e-11","1.4803e+000","3.0282e-003","1.0698e+000","-3.4115e-003","4.0064e-001","8.0125e-003"
"","  20.5280e-11","1.4794e+000","2.9422e-003","1.0698e+000","-3.2745e-003","4.0064e-001","8.0125e-003"
