"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:18:33 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J29 (at pin)"
"Probe 2: U15.H29 (at pin)"
"Probe 3 (Differential): P5.A12 (at pin)/P5.A11 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4814e+000",DC,"1.0685e+000",DC,"4.0080e-001",DC
"","   0.9775e-11","1.4814e+000","3.9821e-003","1.0685e+000","-3.9809e-003","4.0081e-001","8.0159e-003"
"","   1.9550e-11","1.4814e+000","3.9841e-003","1.0685e+000","-3.9821e-003","4.0081e-001","8.0159e-003"
"","   2.9326e-11","1.4814e+000","3.9859e-003","1.0685e+000","-3.9831e-003","4.0081e-001","8.0159e-003"
"","   3.9101e-11","1.4814e+000","3.9874e-003","1.0685e+000","-3.9841e-003","4.0081e-001","8.0159e-003"
"","   4.8876e-11","1.4814e+000","3.9888e-003","1.0685e+000","-3.9850e-003","4.0080e-001","8.0159e-003"
"","   5.8651e-11","1.4814e+000","3.9901e-003","1.0685e+000","-3.9858e-003","4.0080e-001","8.0159e-003"
"","   6.8427e-11","1.4814e+000","3.9910e-003","1.0685e+000","-3.9866e-003","4.0080e-001","8.0159e-003"
"","   7.8202e-11","1.4814e+000","3.9908e-003","1.0685e+000","-3.9874e-003","4.0080e-001","8.0159e-003"
"","   8.7977e-11","1.4813e+000","3.9829e-003","1.0685e+000","-3.9880e-003","4.0080e-001","8.0159e-003"
"","   9.7752e-11","1.4808e+000","3.9733e-003","1.0691e+000","-3.9886e-003","4.0080e-001","8.0159e-003"
"","  10.7528e-11","1.4806e+000","3.9517e-003","1.0693e+000","-3.9892e-003","4.0080e-001","8.0159e-003"
"","  11.7303e-11","1.4805e+000","3.9130e-003","1.0694e+000","-3.9888e-003","4.0080e-001","8.0159e-003"
"","  12.7078e-11","1.4805e+000","3.8178e-003","1.0694e+000","-3.9781e-003","4.0080e-001","8.0159e-003"
"","  13.6853e-11","1.4805e+000","3.7020e-003","1.0694e+000","-3.9657e-003","4.0080e-001","8.0159e-003"
"","  14.6628e-11","1.4806e+000","3.5873e-003","1.0694e+000","-3.9390e-003","4.0080e-001","8.0159e-003"
"","  15.6404e-11","1.4806e+000","3.4735e-003","1.0694e+000","-3.9002e-003","4.0080e-001","8.0159e-003"
"","  16.6179e-11","1.4806e+000","3.3607e-003","1.0694e+000","-3.8440e-003","4.0080e-001","8.0159e-003"
"","  17.5954e-11","1.4806e+000","3.1964e-003","1.0693e+000","-3.6620e-003","4.0080e-001","8.0159e-003"
"","  18.5729e-11","1.4803e+000","3.1207e-003","1.0693e+000","-3.5473e-003","4.0080e-001","8.0159e-003"
"","  19.5505e-11","1.4799e+000","3.0390e-003","1.0693e+000","-3.4050e-003","4.0080e-001","8.0159e-003"
"","  20.5280e-11","1.4791e+000","2.9529e-003","1.0693e+000","-3.2679e-003","4.0080e-001","8.0159e-003"
"","  21.5055e-11","1.4773e+000","2.8679e-003","1.0694e+000","-3.1760e-003","4.0080e-001","8.0159e-003"
"","  22.4830e-11","1.4741e+000","2.7811e-003","1.0697e+000","-3.0850e-003","4.0080e-001","8.0159e-003"
"","  23.4605e-11","1.4703e+000","2.6731e-003","1.0702e+000","-2.9829e-003","4.0080e-001","8.0159e-003"
"","  24.4381e-11","1.4660e+000","2.4149e-003","1.0712e+000","-2.7779e-003","4.0080e-001","8.0159e-003"
"","  25.4156e-11","1.4616e+000","2.0914e-003","1.0726e+000","-2.5214e-003","4.0080e-001","8.0159e-003"
"","  26.3931e-11","1.4571e+000","1.6829e-003","1.0754e+000","-2.2052e-003","4.0080e-001","8.0159e-003"
"","  27.3706e-11","1.4524e+000","1.3108e-003","1.0798e+000","-1.8790e-003","4.0080e-001","8.0159e-003"
"","  28.3482e-11","1.4482e+000","9.4368e-004","1.0849e+000","-1.4536e-003","4.0079e-001","8.0151e-003"
"","  29.3257e-11","1.4443e+000","5.8858e-004","1.0905e+000","-9.8439e-004","4.0081e-001","8.0164e-003"
"","  30.3032e-11","1.4406e+000","1.6627e-004","1.0955e+000","-4.4924e-004","4.0082e-001","8.0167e-003"
"","  31.2807e-11","1.4370e+000","-2.0235e-004","1.0998e+000","7.7859e-005","4.0082e-001","8.0167e-003"
"","  32.2583e-11","1.4333e+000","-5.2205e-004","1.1039e+000","6.1398e-004","4.0082e-001","8.0168e-003"
