"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:20:28 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.H28 (at pin)"
"Probe 2: U15.G28 (at pin)"
"Probe 3 (Differential): P5.A14 (at pin)/P5.A13 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0685e+000",DC,"1.4814e+000",DC,"4.0073e-001",DC
"","   0.9775e-11","1.0685e+000","-3.9802e-003","1.4814e+000","3.9815e-003","4.0073e-001","8.0146e-003"
"","   1.9550e-11","1.0685e+000","-3.9814e-003","1.4814e+000","3.9835e-003","4.0073e-001","8.0146e-003"
"","   2.9326e-11","1.0685e+000","-3.9824e-003","1.4814e+000","3.9853e-003","4.0073e-001","8.0146e-003"
"","   3.9101e-11","1.0685e+000","-3.9834e-003","1.4814e+000","3.9869e-003","4.0073e-001","8.0146e-003"
"","   4.8876e-11","1.0685e+000","-3.9843e-003","1.4814e+000","3.9883e-003","4.0073e-001","8.0146e-003"
"","   5.8651e-11","1.0685e+000","-3.9852e-003","1.4814e+000","3.9895e-003","4.0073e-001","8.0146e-003"
"","   6.8427e-11","1.0685e+000","-3.9859e-003","1.4814e+000","3.9905e-003","4.0073e-001","8.0146e-003"
"","   7.8202e-11","1.0685e+000","-3.9867e-003","1.4814e+000","3.9903e-003","4.0073e-001","8.0146e-003"
"","   8.7977e-11","1.0691e+000","-3.9873e-003","1.4808e+000","3.9824e-003","4.0073e-001","8.0146e-003"
"","   9.7752e-11","1.0695e+000","-3.9880e-003","1.4804e+000","3.9728e-003","4.0073e-001","8.0146e-003"
"","  10.7528e-11","1.0694e+000","-3.9885e-003","1.4805e+000","3.9512e-003","4.0073e-001","8.0146e-003"
"","  11.7303e-11","1.0694e+000","-3.9882e-003","1.4805e+000","3.9125e-003","4.0073e-001","8.0146e-003"
"","  12.7078e-11","1.0694e+000","-3.9775e-003","1.4806e+000","3.8172e-003","4.0073e-001","8.0146e-003"
"","  13.6853e-11","1.0692e+000","-3.9650e-003","1.4808e+000","3.7015e-003","4.0073e-001","8.0146e-003"
"","  14.6628e-11","1.0693e+000","-3.9383e-003","1.4806e+000","3.5868e-003","4.0073e-001","8.0146e-003"
"","  15.6404e-11","1.0693e+000","-3.8995e-003","1.4806e+000","3.4730e-003","4.0073e-001","8.0146e-003"
"","  16.6179e-11","1.0693e+000","-3.8434e-003","1.4806e+000","3.3602e-003","4.0073e-001","8.0146e-003"
"","  17.5954e-11","1.0693e+000","-3.7012e-003","1.4803e+000","3.2357e-003","4.0073e-001","8.0146e-003"
"","  18.5729e-11","1.0693e+000","-3.5695e-003","1.4800e+000","3.1417e-003","4.0073e-001","8.0146e-003"
"","  19.5505e-11","1.0692e+000","-3.4112e-003","1.4792e+000","3.0435e-003","4.0073e-001","8.0146e-003"
"","  20.5280e-11","1.0692e+000","-3.2663e-003","1.4778e+000","2.9499e-003","4.0073e-001","8.0141e-003"
"","  21.5055e-11","1.0696e+000","-3.1674e-003","1.4744e+000","2.8582e-003","4.0073e-001","8.0142e-003"
"","  22.4830e-11","1.0701e+000","-3.0727e-003","1.4700e+000","2.7689e-003","4.0073e-001","8.0142e-003"
"","  23.4605e-11","1.0711e+000","-2.9798e-003","1.4658e+000","2.6704e-003","4.0073e-001","8.0142e-003"
"","  24.4381e-11","1.0726e+000","-2.7760e-003","1.4618e+000","2.4136e-003","4.0073e-001","8.0142e-003"
"","  25.4156e-11","1.0745e+000","-2.5197e-003","1.4584e+000","2.0922e-003","4.0073e-001","8.0142e-003"
"","  26.3931e-11","1.0795e+000","-2.2045e-003","1.4541e+000","1.6964e-003","4.0073e-001","8.0142e-003"
"","  27.3706e-11","1.0846e+000","-1.8772e-003","1.4501e+000","1.3295e-003","4.0073e-001","8.0142e-003"
"","  28.3482e-11","1.0904e+000","-1.4519e-003","1.4461e+000","9.8410e-004","4.0073e-001","8.0140e-003"
"","  29.3257e-11","1.0957e+000","-9.8451e-004","1.4423e+000","6.5797e-004","4.0073e-001","8.0144e-003"
"","  30.3032e-11","1.0983e+000","-4.6437e-004","1.4386e+000","3.2306e-004","4.0073e-001","8.0145e-003"
"","  31.2807e-11","1.1017e+000","5.4519e-005","1.4349e+000","1.1515e-005","4.0073e-001","8.0145e-003"
"","  32.2583e-11","1.1055e+000","5.6515e-004","1.4306e+000","-3.0388e-004","4.0073e-001","8.0145e-003"
"","  33.2358e-11","1.1136e+000","1.0522e-003","1.4206e+000","-6.0724e-004","4.0073e-001","8.0145e-003"
"","  34.2133e-11","1.1244e+000","1.5214e-003","1.4082e+000","-9.2668e-004","4.0073e-001","8.0145e-003"
"","  35.1908e-11","1.1369e+000","1.9584e-003","1.3929e+000","-1.1857e-003","4.0073e-001","8.0145e-003"
"","  36.1683e-11","1.1493e+000","2.3498e-003","1.3791e+000","-1.4191e-003","4.0073e-001","8.0146e-003"
"","  37.1459e-11","1.1639e+000","2.6952e-003","1.3683e+000","-1.6377e-003","4.0073e-001","8.0145e-003"
"","  38.1234e-11","1.1808e+000","3.0346e-003","1.3567e+000","-1.8394e-003","4.0073e-001","8.0145e-003"
"","  39.1009e-11","1.2001e+000","3.4279e-003","1.3446e+000","-2.0469e-003","4.0073e-001","8.0145e-003"
"","  40.0784e-11","1.2201e+000","3.7063e-003","1.3316e+000","-2.1956e-003","4.0073e-001","8.0145e-003"
"","  41.0560e-11","1.2386e+000","3.9769e-003","1.3183e+000","-2.3656e-003","4.0073e-001","8.0145e-003"
"","  42.0335e-11","1.2571e+000","4.1778e-003","1.3056e+000","-2.5097e-003","4.0073e-001","8.0145e-003"
