"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:22:12 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.F31 (at pin)"
"Probe 2: U15.E31 (at pin)"
"Probe 3 (Differential): P5.A16 (at pin)/P5.A15 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0070e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9806e-003","1.4819e+000","3.9801e-003","4.0067e-001","8.0120e-003"
"","   1.9550e-11","1.0692e+000","-3.9823e-003","1.4819e+000","3.9811e-003","4.0067e-001","8.0120e-003"
"","   2.9326e-11","1.0692e+000","-3.9839e-003","1.4819e+000","3.9821e-003","4.0067e-001","8.0120e-003"
"","   3.9101e-11","1.0692e+000","-3.9854e-003","1.4819e+000","3.9829e-003","4.0069e-001","8.0133e-003"
"","   4.8876e-11","1.0692e+000","-3.9867e-003","1.4819e+000","3.9837e-003","4.0070e-001","8.0140e-003"
"","   5.8651e-11","1.0692e+000","-3.9880e-003","1.4819e+000","3.9843e-003","4.0071e-001","8.0142e-003"
"","   6.8427e-11","1.0692e+000","-3.9892e-003","1.4819e+000","3.9848e-003","4.0071e-001","8.0142e-003"
"","   7.8202e-11","1.0692e+000","-3.9903e-003","1.4819e+000","3.9841e-003","4.0071e-001","8.0143e-003"
"","   8.7977e-11","1.0698e+000","-3.9913e-003","1.4813e+000","3.9757e-003","4.0070e-001","8.0142e-003"
"","   9.7752e-11","1.0701e+000","-3.9923e-003","1.4810e+000","3.9657e-003","4.0070e-001","8.0142e-003"
"","  10.7528e-11","1.0697e+000","-3.9932e-003","1.4814e+000","3.9438e-003","4.0070e-001","8.0142e-003"
"","  11.7303e-11","1.0701e+000","-3.9931e-003","1.4810e+000","3.9049e-003","4.0070e-001","8.0142e-003"
"","  12.7078e-11","1.0701e+000","-3.9826e-003","1.4810e+000","3.8094e-003","4.0071e-001","8.0142e-003"
"","  13.6853e-11","1.0701e+000","-3.9704e-003","1.4810e+000","3.6935e-003","4.0071e-001","8.0142e-003"
"","  14.6628e-11","1.0700e+000","-3.9439e-003","1.4810e+000","3.5786e-003","4.0071e-001","8.0142e-003"
"","  15.6404e-11","1.0700e+000","-3.9053e-003","1.4810e+000","3.4648e-003","4.0071e-001","8.0142e-003"
"","  16.6179e-11","1.0700e+000","-3.8493e-003","1.4810e+000","3.3520e-003","4.0071e-001","8.0142e-003"
"","  17.5954e-11","1.0699e+000","-3.7049e-003","1.4807e+000","3.2251e-003","4.0071e-001","8.0142e-003"
"","  18.5729e-11","1.0699e+000","-3.5704e-003","1.4805e+000","3.1282e-003","4.0071e-001","8.0142e-003"
"","  19.5505e-11","1.0698e+000","-3.3932e-003","1.4799e+000","3.0105e-003","4.0071e-001","8.0142e-003"
"","  20.5280e-11","1.0698e+000","-3.2721e-003","1.4787e+000","2.9401e-003","4.0071e-001","8.0142e-003"
"","  21.5055e-11","1.0702e+000","-3.1809e-003","1.4760e+000","2.8560e-003","4.0071e-001","8.0142e-003"
"","  22.4830e-11","1.0704e+000","-3.0911e-003","1.4730e+000","2.7707e-003","4.0071e-001","8.0142e-003"
"","  23.4605e-11","1.0711e+000","-2.9898e-003","1.4700e+000","2.6639e-003","4.0071e-001","8.0142e-003"
"","  24.4381e-11","1.0722e+000","-2.7853e-003","1.4659e+000","2.4064e-003","4.0071e-001","8.0142e-003"
"","  25.4156e-11","1.0737e+000","-2.5291e-003","1.4616e+000","2.0848e-003","4.0071e-001","8.0142e-003"
"","  26.3931e-11","1.0782e+000","-2.2132e-003","1.4570e+000","1.6857e-003","4.0071e-001","8.0142e-003"
"","  27.3706e-11","1.0815e+000","-1.8872e-003","1.4528e+000","1.3091e-003","4.0071e-001","8.0142e-003"
"","  28.3482e-11","1.0865e+000","-1.4626e-003","1.4484e+000","9.5554e-004","4.0071e-001","8.0142e-003"
"","  29.3257e-11","1.0908e+000","-9.9532e-004","1.4449e+000","6.1365e-004","4.0071e-001","8.0142e-003"
"","  30.3032e-11","1.0953e+000","-4.7317e-004","1.4405e+000","2.4535e-004","4.0071e-001","8.0142e-003"
"","  31.2807e-11","1.1001e+000","5.9812e-005","1.4369e+000","-1.4430e-004","4.0071e-001","8.0142e-003"
"","  32.2583e-11","1.1046e+000","5.8101e-004","1.4328e+000","-5.0922e-004","4.0070e-001","8.0136e-003"
"","  33.2358e-11","1.1124e+000","1.0860e-003","1.4236e+000","-8.0579e-004","4.0070e-001","8.0135e-003"
"","  34.2133e-11","1.1196e+000","1.5750e-003","1.4154e+000","-1.0671e-003","4.0070e-001","8.0135e-003"
