"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:24:24 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.D32 (at pin)"
"Probe 2: U15.C32 (at pin)"
"Probe 3 (Differential): P5.A20 (at pin)/P5.A19 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.4819e+000",DC,"1.0692e+000",DC,"4.0070e-001",DC
"","   0.9775e-11","1.4819e+000","3.9801e-003","1.0692e+000","-3.9806e-003","4.0064e-001","8.0100e-003"
"","   1.9550e-11","1.4819e+000","3.9812e-003","1.0692e+000","-3.9823e-003","4.0063e-001","8.0091e-003"
"","   2.9326e-11","1.4819e+000","3.9821e-003","1.0692e+000","-3.9839e-003","4.0066e-001","8.0111e-003"
"","   3.9101e-11","1.4819e+000","3.9830e-003","1.0692e+000","-3.9854e-003","4.0070e-001","8.0136e-003"
"","   4.8876e-11","1.4819e+000","3.9837e-003","1.0692e+000","-3.9868e-003","4.0066e-001","8.0114e-003"
"","   5.8651e-11","1.4819e+000","3.9843e-003","1.0692e+000","-3.9880e-003","4.0071e-001","8.0141e-003"
"","   6.8427e-11","1.4819e+000","3.9848e-003","1.0692e+000","-3.9892e-003","4.0069e-001","8.0133e-003"
"","   7.8202e-11","1.4819e+000","3.9842e-003","1.0692e+000","-3.9903e-003","4.0070e-001","8.0135e-003"
"","   8.7977e-11","1.4813e+000","3.9757e-003","1.0698e+000","-3.9913e-003","4.0070e-001","8.0140e-003"
"","   9.7752e-11","1.4809e+000","3.9658e-003","1.0702e+000","-3.9923e-003","4.0071e-001","8.0140e-003"
"","  10.7528e-11","1.4810e+000","3.9439e-003","1.0701e+000","-3.9932e-003","4.0070e-001","8.0141e-003"
"","  11.7303e-11","1.4813e+000","3.9050e-003","1.0698e+000","-3.9931e-003","4.0070e-001","8.0140e-003"
"","  12.7078e-11","1.4811e+000","3.8095e-003","1.0700e+000","-3.9826e-003","4.0070e-001","8.0139e-003"
"","  13.6853e-11","1.4810e+000","3.6936e-003","1.0701e+000","-3.9704e-003","4.0072e-001","8.0149e-003"
"","  14.6628e-11","1.4810e+000","3.5787e-003","1.0700e+000","-3.9439e-003","4.0070e-001","8.0138e-003"
"","  15.6404e-11","1.4810e+000","3.4649e-003","1.0700e+000","-3.9053e-003","4.0070e-001","8.0137e-003"
"","  16.6179e-11","1.4810e+000","3.3521e-003","1.0700e+000","-3.8493e-003","4.0070e-001","8.0140e-003"
"","  17.5954e-11","1.4807e+000","3.2266e-003","1.0699e+000","-3.7062e-003","4.0070e-001","8.0138e-003"
"","  18.5729e-11","1.4803e+000","3.1312e-003","1.0699e+000","-3.5732e-003","4.0070e-001","8.0140e-003"
"","  19.5505e-11","1.4797e+000","3.0194e-003","1.0698e+000","-3.4012e-003","4.0070e-001","8.0141e-003"
"","  20.5280e-11","1.4784e+000","2.9254e-003","1.0698e+000","-3.2569e-003","4.0071e-001","8.0140e-003"
"","  21.5055e-11","1.4753e+000","2.8504e-003","1.0702e+000","-3.1749e-003","4.0071e-001","8.0140e-003"
"","  22.4830e-11","1.4715e+000","2.7718e-003","1.0706e+000","-3.0919e-003","4.0070e-001","8.0141e-003"
"","  23.4605e-11","1.4686e+000","2.6640e-003","1.0713e+000","-2.9896e-003","4.0071e-001","8.0143e-003"
"","  24.4381e-11","1.4651e+000","2.4061e-003","1.0726e+000","-2.7847e-003","4.0070e-001","8.0140e-003"
"","  25.4156e-11","1.4609e+000","2.0849e-003","1.0743e+000","-2.5288e-003","4.0071e-001","8.0143e-003"
"","  26.3931e-11","1.4562e+000","1.6872e-003","1.0789e+000","-2.2129e-003","4.0070e-001","8.0140e-003"
"","  27.3706e-11","1.4521e+000","1.3193e-003","1.0836e+000","-1.8870e-003","4.0070e-001","8.0140e-003"
"","  28.3482e-11","1.4480e+000","9.6305e-004","1.0878e+000","-1.4621e-003","4.0070e-001","8.0139e-003"
"","  29.3257e-11","1.4439e+000","6.3101e-004","1.0926e+000","-9.9500e-004","4.0071e-001","8.0141e-003"
"","  30.3032e-11","1.4404e+000","2.8033e-004","1.0957e+000","-4.7441e-004","4.0070e-001","8.0140e-003"
"","  31.2807e-11","1.4366e+000","-5.9315e-005","1.0997e+000","4.6653e-005","4.0070e-001","8.0139e-003"
"","  32.2583e-11","1.4321e+000","-4.4199e-004","1.1052e+000","5.7151e-004","4.0070e-001","8.0140e-003"
"","  33.2358e-11","1.4224e+000","-7.6976e-004","1.1134e+000","1.0652e-003","4.0071e-001","8.0144e-003"
"","  34.2133e-11","1.4110e+000","-1.0394e-003","1.1228e+000","1.5469e-003","4.0070e-001","8.0140e-003"
"","  35.1908e-11","1.3996e+000","-1.2737e-003","1.1324e+000","2.0087e-003","4.0070e-001","8.0140e-003"
"","  36.1683e-11","1.3881e+000","-1.4994e-003","1.1429e+000","2.4210e-003","4.0070e-001","8.0140e-003"
"","  37.1459e-11","1.3767e+000","-1.7382e-003","1.1572e+000","2.8723e-003","4.0070e-001","8.0139e-003"
"","  38.1234e-11","1.3637e+000","-1.9076e-003","1.1742e+000","3.2150e-003","4.0070e-001","8.0140e-003"
"","  39.1009e-11","1.3495e+000","-2.0969e-003","1.1919e+000","3.5515e-003","4.0070e-001","8.0140e-003"
"","  40.0784e-11","1.3356e+000","-2.2404e-003","1.2105e+000","3.7874e-003","4.0070e-001","8.0140e-003"
"","  41.0560e-11","1.3217e+000","-2.4102e-003","1.2292e+000","3.9814e-003","4.0070e-001","8.0140e-003"
"","  42.0335e-11","1.3088e+000","-2.5677e-003","1.2483e+000","4.1774e-003","4.0070e-001","8.0140e-003"
"","  43.0110e-11","1.2979e+000","-2.7583e-003","1.2673e+000","4.3980e-003","4.0070e-001","8.0140e-003"
"","  43.9885e-11","1.2867e+000","-3.0592e-003","1.2865e+000","4.6989e-003","4.0070e-001","8.0140e-003"
"","  44.9661e-11","1.2758e+000","-3.2905e-003","1.3035e+000","4.9559e-003","4.0070e-001","8.0140e-003"
"","  45.9436e-11","1.2651e+000","-3.4741e-003","1.3204e+000","5.1523e-003","4.0071e-001","8.0141e-003"
"","  46.9211e-11","1.2560e+000","-3.5171e-003","1.3361e+000","5.2672e-003","4.0070e-001","8.0140e-003"
"","  47.8986e-11","1.2476e+000","-3.5153e-003","1.3504e+000","5.4224e-003","4.0070e-001","8.0140e-003"
"","  48.8761e-11","1.2396e+000","-3.5067e-003","1.3629e+000","5.5280e-003","4.0070e-001","8.0140e-003"
"","  49.8537e-11","1.2318e+000","-3.5312e-003","1.3739e+000","5.6083e-003","4.0070e-001","8.0140e-003"
"","  50.8312e-11","1.2239e+000","-3.5387e-003","1.3851e+000","5.6076e-003","4.0070e-001","8.0140e-003"
"","  51.8087e-11","1.2166e+000","-3.5740e-003","1.3955e+000","5.5516e-003","4.0070e-001","8.0140e-003"
"","  52.7862e-11","1.2075e+000","-3.5529e-003","1.4066e+000","5.4541e-003","4.0070e-001","8.0140e-003"
"","  53.7638e-11","1.2002e+000","-3.5100e-003","1.4158e+000","5.3698e-003","4.0070e-001","8.0140e-003"
"","  54.7413e-11","1.1947e+000","-3.4841e-003","1.4225e+000","5.2913e-003","4.0070e-001","8.0140e-003"
"","  55.7188e-11","1.1905e+000","-3.4793e-003","1.4284e+000","5.1769e-003","4.0070e-001","8.0140e-003"
"","  56.6963e-11","1.1867e+000","-3.5021e-003","1.4355e+000","5.1115e-003","4.0070e-001","8.0140e-003"
"","  57.6738e-11","1.1824e+000","-3.4833e-003","1.4415e+000","5.0138e-003","4.0070e-001","8.0140e-003"
"","  58.6514e-11","1.1783e+000","-3.5057e-003","1.4458e+000","4.9542e-003","4.0070e-001","8.0140e-003"
"","  59.6289e-11","1.1754e+000","-3.4917e-003","1.4487e+000","4.8415e-003","4.0070e-001","8.0140e-003"
"","  60.6064e-11","1.1727e+000","-3.5412e-003","1.4500e+000","4.7823e-003","4.0070e-001","8.0140e-003"
"","  61.5839e-11","1.1709e+000","-3.5588e-003","1.4509e+000","4.7347e-003","4.0070e-001","8.0140e-003"
"","  62.5615e-11","1.1698e+000","-3.6144e-003","1.4523e+000","4.7302e-003","4.0070e-001","8.0140e-003"
"","  63.5390e-11","1.1675e+000","-3.6839e-003","1.4535e+000","4.7435e-003","4.0070e-001","8.0140e-003"
"","  64.5165e-11","1.1652e+000","-3.6866e-003","1.4529e+000","4.7062e-003","4.0070e-001","8.0140e-003"
"","  65.4940e-11","1.1631e+000","-3.6512e-003","1.4529e+000","4.6139e-003","4.0070e-001","8.0140e-003"
"","  66.4716e-11","1.1617e+000","-3.5804e-003","1.4529e+000","4.5388e-003","4.0070e-001","8.0140e-003"
"","  67.4491e-11","1.1598e+000","-3.5467e-003","1.4530e+000","4.5203e-003","4.0070e-001","8.0140e-003"
"","  68.4266e-11","1.1578e+000","-3.5728e-003","1.4524e+000","4.4986e-003","4.0070e-001","8.0140e-003"
"","  69.4041e-11","1.1555e+000","-3.6298e-003","1.4523e+000","4.4767e-003","4.0070e-001","8.0140e-003"
"","  70.3816e-11","1.1530e+000","-3.6754e-003","1.4533e+000","4.4333e-003","4.0070e-001","8.0140e-003"
"","  71.3592e-11","1.1507e+000","-3.7372e-003","1.4540e+000","4.3905e-003","4.0070e-001","8.0140e-003"
"","  72.3367e-11","1.1475e+000","-3.7513e-003","1.4552e+000","4.3648e-003","4.0070e-001","8.0140e-003"
"","  73.3142e-11","1.1462e+000","-3.7769e-003","1.4548e+000","4.4072e-003","4.0070e-001","8.0140e-003"
"","  74.2917e-11","1.1453e+000","-3.8326e-003","1.4540e+000","4.4418e-003","4.0070e-001","8.0140e-003"
"","  75.2693e-11","1.1443e+000","-3.8853e-003","1.4543e+000","4.4510e-003","4.0070e-001","8.0140e-003"
"","  76.2468e-11","1.1426e+000","-3.9402e-003","1.4558e+000","4.4879e-003","4.0070e-001","8.0140e-003"
"","  77.2243e-11","1.1402e+000","-3.9565e-003","1.4564e+000","4.5024e-003","4.0070e-001","8.0140e-003"
"","  78.2018e-11","1.1378e+000","-4.0045e-003","1.4564e+000","4.5381e-003","4.0070e-001","8.0140e-003"
"","  79.1794e-11","1.1364e+000","-4.0062e-003","1.4562e+000","4.5206e-003","4.0070e-001","8.0140e-003"
"","  80.1569e-11","1.1343e+000","-4.0662e-003","1.4565e+000","4.5612e-003","4.0070e-001","8.0140e-003"
"","  81.1344e-11","1.1327e+000","-4.0669e-003","1.4571e+000","4.5732e-003","4.0070e-001","8.0140e-003"
"","  82.1119e-11","1.1310e+000","-4.1092e-003","1.4587e+000","4.6110e-003","4.0070e-001","8.0140e-003"
"","  83.0894e-11","1.1281e+000","-4.1203e-003","1.4600e+000","4.6137e-003","4.0070e-001","8.0140e-003"
"","  84.0670e-11","1.1257e+000","-4.1042e-003","1.4600e+000","4.5913e-003","4.0070e-001","8.0140e-003"
"","  85.0445e-11","1.1239e+000","-4.0698e-003","1.4612e+000","4.5445e-003","4.0070e-001","8.0140e-003"
"","  86.0220e-11","1.1225e+000","-4.0600e-003","1.4623e+000","4.5627e-003","4.0070e-001","8.0140e-003"
"","  86.9995e-11","1.1205e+000","-4.0789e-003","1.4634e+000","4.5927e-003","4.0070e-001","8.0140e-003"
"","  87.9771e-11","1.1190e+000","-4.1418e-003","1.4637e+000","4.6108e-003","4.0070e-001","8.0140e-003"
"","  88.9546e-11","1.1172e+000","-4.1838e-003","1.4648e+000","4.6079e-003","4.0070e-001","8.0140e-003"
"","  89.9321e-11","1.1157e+000","-4.2001e-003","1.4660e+000","4.6001e-003","4.0070e-001","8.0140e-003"
"","  90.9096e-11","1.1146e+000","-4.2159e-003","1.4665e+000","4.5980e-003","4.0070e-001","8.0140e-003"
"","  91.8871e-11","1.1131e+000","-4.1916e-003","1.4671e+000","4.5975e-003","4.0070e-001","8.0140e-003"
"","  92.8647e-11","1.1129e+000","-4.1896e-003","1.4668e+000","4.6440e-003","4.0070e-001","8.0140e-003"
"","  93.8422e-11","1.1125e+000","-4.2126e-003","1.4667e+000","4.6376e-003","4.0070e-001","8.0140e-003"
"","  94.8197e-11","1.1117e+000","-4.2214e-003","1.4677e+000","4.6231e-003","4.0070e-001","8.0140e-003"
"","  95.7972e-11","1.1103e+000","-4.2158e-003","1.4689e+000","4.6170e-003","4.0070e-001","8.0140e-003"
"","  96.7748e-11","1.1088e+000","-4.1934e-003","1.4688e+000","4.6051e-003","4.0070e-001","8.0140e-003"
"","  97.7523e-11","1.1077e+000","-4.2055e-003","1.4688e+000","4.6058e-003","4.0070e-001","8.0140e-003"
"","  98.7298e-11","1.1075e+000","-4.1860e-003","1.4689e+000","4.5683e-003","4.0070e-001","8.0140e-003"
"","  99.7073e-11","1.1064e+000","-4.2181e-003","1.4694e+000","4.5896e-003","4.0070e-001","8.0140e-003"
""," 100.6848e-11","1.1059e+000","-4.1871e-003","1.4698e+000","4.5673e-003","4.0070e-001","8.0140e-003"
""," 101.6624e-11","1.1054e+000","-4.2122e-003","1.4707e+000","4.5798e-003","4.0070e-001","8.0140e-003"
""," 102.6399e-11","1.1039e+000","-4.1932e-003","1.4708e+000","4.5507e-003","4.0070e-001","8.0140e-003"
""," 103.6174e-11","1.1032e+000","-4.1867e-003","1.4702e+000","4.5381e-003","4.0070e-001","8.0140e-003"
""," 104.5949e-11","1.1032e+000","-4.1678e-003","1.4707e+000","4.5118e-003","4.0070e-001","8.0140e-003"
""," 105.5725e-11","1.1032e+000","-4.1928e-003","1.4709e+000","4.5525e-003","4.0070e-001","8.0140e-003"
""," 106.5500e-11","1.1023e+000","-4.2094e-003","1.4711e+000","4.5570e-003","4.0070e-001","8.0140e-003"
""," 107.5275e-11","1.1018e+000","-4.2505e-003","1.4706e+000","4.5562e-003","4.0070e-001","8.0140e-003"
""," 108.5050e-11","1.1012e+000","-4.2427e-003","1.4710e+000","4.5257e-003","4.0062e-001","8.0082e-003"
""," 109.4826e-11","1.1011e+000","-4.2243e-003","1.4711e+000","4.5064e-003","4.0037e-001","7.9922e-003"
""," 110.4601e-11","1.1007e+000","-4.2210e-003","1.4710e+000","4.4947e-003","4.0000e-001","7.9678e-003"
""," 111.4376e-11","1.1001e+000","-4.1957e-003","1.4709e+000","4.4509e-003","3.9969e-001","7.9471e-003"
""," 112.4151e-11","1.1002e+000","-4.1895e-003","1.4705e+000","4.4031e-003","3.9949e-001","7.9342e-003"
""," 113.3927e-11","1.0998e+000","-4.1983e-003","1.4706e+000","4.2519e-003","3.9939e-001","7.9276e-003"
""," 114.3702e-11","1.0991e+000","-4.1822e-003","1.4714e+000","4.1282e-003","3.9935e-001","7.9247e-003"
""," 115.3477e-11","1.0983e+000","-4.1297e-003","1.4718e+000","4.0010e-003","3.9934e-001","7.9238e-003"
""," 116.3252e-11","1.0977e+000","-4.0792e-003","1.4712e+000","3.8835e-003","3.9933e-001","7.9235e-003"
""," 117.3027e-11","1.0975e+000","-3.9835e-003","1.4709e+000","3.7670e-003","3.9927e-001","7.9200e-003"
""," 118.2803e-11","1.0978e+000","-3.8378e-003","1.4706e+000","3.6267e-003","3.9912e-001","7.9117e-003"
""," 119.2578e-11","1.0970e+000","-3.7056e-003","1.4708e+000","3.5431e-003","3.9884e-001","7.8943e-003"
""," 120.2353e-11","1.0968e+000","-3.5216e-003","1.4695e+000","3.4173e-003","3.9827e-001","7.8580e-003"
""," 121.2128e-11","1.0969e+000","-3.4519e-003","1.4674e+000","3.3424e-003","3.9710e-001","7.7815e-003"
""," 122.1904e-11","1.0966e+000","-3.3452e-003","1.4632e+000","3.2255e-003","3.9511e-001","7.6506e-003"
""," 123.1679e-11","1.0969e+000","-3.2724e-003","1.4595e+000","3.1409e-003","3.9241e-001","7.4730e-003"
""," 124.1454e-11","1.0985e+000","-3.1003e-003","1.4567e+000","2.9090e-003","3.8920e-001","7.2608e-003"
""," 125.1229e-11","1.0997e+000","-2.9135e-003","1.4525e+000","2.6562e-003","3.8551e-001","7.0173e-003"
""," 126.1004e-11","1.1025e+000","-2.6211e-003","1.4480e+000","2.2485e-003","3.8137e-001","6.7448e-003"
""," 127.0780e-11","1.1073e+000","-2.3445e-003","1.4429e+000","1.8714e-003","3.7655e-001","6.4274e-003"
""," 128.0555e-11","1.1111e+000","-1.9407e-003","1.4390e+000","1.4892e-003","3.7080e-001","6.0497e-003"
""," 129.0330e-11","1.1160e+000","-1.5068e-003","1.4348e+000","1.1562e-003","3.6421e-001","5.6180e-003"
""," 130.0105e-11","1.1188e+000","-1.0278e-003","1.4307e+000","8.1910e-004","3.5706e-001","5.1526e-003"
""," 130.9881e-11","1.1219e+000","-5.2250e-004","1.4268e+000","4.6100e-004","3.4993e-001","4.6915e-003"
""," 131.9656e-11","1.1267e+000","-3.0889e-005","1.4227e+000","1.0720e-004","3.4288e-001","4.2390e-003"
""," 132.9431e-11","1.1332e+000","4.4296e-004","1.4146e+000","-2.8780e-004","3.3487e-001","3.7251e-003"
""," 133.9206e-11","1.1411e+000","9.0333e-004","1.4042e+000","-5.6436e-004","3.2470e-001","3.0712e-003"
""," 134.8981e-11","1.1499e+000","1.3916e-003","1.3925e+000","-8.2424e-004","3.1148e-001","2.2174e-003"
""," 135.8757e-11","1.1593e+000","1.7872e-003","1.3802e+000","-1.0452e-003","2.9536e-001","1.1762e-003"
""," 136.8532e-11","1.1713e+000","2.2034e-003","1.3697e+000","-1.2703e-003","2.7707e-001","-4.1651e-006"
""," 137.8307e-11","1.1868e+000","2.5766e-003","1.3571e+000","-1.4915e-003","2.5702e-001","-1.2977e-003"
""," 138.8082e-11","1.2027e+000","2.9008e-003","1.3436e+000","-1.6536e-003","2.3511e-001","-2.7127e-003"
""," 139.7858e-11","1.2203e+000","3.2032e-003","1.3292e+000","-1.8439e-003","2.1129e-001","-4.2542e-003"
""," 140.7633e-11","1.2376e+000","3.3650e-003","1.3156e+000","-1.9875e-003","1.8574e-001","-5.9094e-003"
""," 141.7408e-11","1.2556e+000","3.5961e-003","1.3017e+000","-2.1846e-003","1.5902e-001","-7.6356e-003"
""," 142.7183e-11","1.2736e+000","3.7714e-003","1.2902e+000","-2.3262e-003","1.3190e-001","-9.3771e-003"
""," 143.6959e-11","1.2926e+000","4.0673e-003","1.2795e+000","-2.6294e-003","1.0501e-001","-1.1090e-002"
""," 144.6734e-11","1.3093e+000","4.2988e-003","1.2681e+000","-2.8334e-003","7.8561e-002","-1.2763e-002"
""," 145.6509e-11","1.3248e+000","4.5598e-003","1.2575e+000","-3.0998e-003","5.2763e-002","-1.4384e-002"
""," 146.6284e-11","1.3408e+000","4.6698e-003","1.2473e+000","-3.1667e-003","2.7826e-002","-1.5941e-002"
""," 147.6059e-11","1.3549e+000","4.8513e-003","1.2391e+000","-3.1960e-003","3.8334e-003","-1.7428e-002"
""," 148.5835e-11","1.3683e+000","4.9582e-003","1.2307e+000","-3.1773e-003","-1.9138e-002","-1.8839e-002"
""," 149.5610e-11","1.3786e+000","5.0586e-003","1.2227e+000","-3.1990e-003","-4.1034e-002","-2.0172e-002"
""," 150.5385e-11","1.3896e+000","5.0940e-003","1.2147e+000","-3.2262e-003","-6.1632e-002","-2.1416e-002"
""," 151.5160e-11","1.4000e+000","5.0570e-003","1.2075e+000","-3.2498e-003","-8.1130e-002","-2.2588e-002"
""," 152.4936e-11","1.4103e+000","4.9849e-003","1.1988e+000","-3.2801e-003","-1.0001e-001","-2.3720e-002"
""," 153.4711e-11","1.4199e+000","4.8938e-003","1.1912e+000","-3.2167e-003","-1.1847e-001","-2.4828e-002"
""," 154.4486e-11","1.4277e+000","4.8600e-003","1.1845e+000","-3.1981e-003","-1.3635e-001","-2.5901e-002"
""," 155.4261e-11","1.4336e+000","4.7358e-003","1.1795e+000","-3.1758e-003","-1.5291e-001","-2.6892e-002"
""," 156.4037e-11","1.4399e+000","4.6660e-003","1.1766e+000","-3.1924e-003","-1.6750e-001","-2.7757e-002"
""," 157.3812e-11","1.4465e+000","4.5825e-003","1.1720e+000","-3.2018e-003","-1.8029e-001","-2.8508e-002"
""," 158.3587e-11","1.4509e+000","4.5225e-003","1.1679e+000","-3.1928e-003","-1.9176e-001","-2.9177e-002"
""," 159.3362e-11","1.4547e+000","4.4588e-003","1.1642e+000","-3.2164e-003","-2.0221e-001","-2.9784e-002"
""," 160.3137e-11","1.4562e+000","4.3483e-003","1.1617e+000","-3.2281e-003","-2.1166e-001","-3.0330e-002"
""," 161.2913e-11","1.4573e+000","4.3413e-003","1.1592e+000","-3.2852e-003","-2.1988e-001","-3.0796e-002"
""," 162.2688e-11","1.4584e+000","4.2893e-003","1.1583e+000","-3.2945e-003","-2.2667e-001","-3.1171e-002"
""," 163.2463e-11","1.4602e+000","4.3278e-003","1.1566e+000","-3.3981e-003","-2.3228e-001","-3.1470e-002"
""," 164.2238e-11","1.4599e+000","4.2784e-003","1.1539e+000","-3.3799e-003","-2.3722e-001","-3.1731e-002"
""," 165.2014e-11","1.4594e+000","4.2536e-003","1.1519e+000","-3.4243e-003","-2.4169e-001","-3.1971e-002"
""," 166.1789e-11","1.4600e+000","4.1413e-003","1.1500e+000","-3.3272e-003","-2.4577e-001","-3.2191e-002"
""," 167.1564e-11","1.4599e+000","4.1348e-003","1.1488e+000","-3.2938e-003","-2.4962e-001","-3.2401e-002"
""," 168.1339e-11","1.4601e+000","4.0977e-003","1.1465e+000","-3.2923e-003","-2.5333e-001","-3.2606e-002"
""," 169.1114e-11","1.4590e+000","4.0845e-003","1.1444e+000","-3.3504e-003","-2.5697e-001","-3.2811e-002"
""," 170.0890e-11","1.4601e+000","4.0536e-003","1.1418e+000","-3.4065e-003","-2.6044e-001","-3.3010e-002"
""," 171.0665e-11","1.4608e+000","4.0074e-003","1.1399e+000","-3.4613e-003","-2.6397e-001","-3.3219e-002"
""," 172.0440e-11","1.4616e+000","3.9872e-003","1.1368e+000","-3.5115e-003","-2.6770e-001","-3.3445e-002"
""," 173.0215e-11","1.4617e+000","3.9951e-003","1.1351e+000","-3.5039e-003","-2.7149e-001","-3.3678e-002"
""," 173.9991e-11","1.4613e+000","4.0579e-003","1.1335e+000","-3.5621e-003","-2.7502e-001","-3.3895e-002"
""," 174.9766e-11","1.4611e+000","4.0439e-003","1.1327e+000","-3.6109e-003","-2.7787e-001","-3.4068e-002"
""," 175.9541e-11","1.4619e+000","4.0878e-003","1.1321e+000","-3.6765e-003","-2.8009e-001","-3.4200e-002"
""," 176.9316e-11","1.4630e+000","4.1013e-003","1.1292e+000","-3.7083e-003","-2.8231e-001","-3.4332e-002"
""," 177.9092e-11","1.4628e+000","4.1404e-003","1.1270e+000","-3.7371e-003","-2.8488e-001","-3.4488e-002"
""," 178.8867e-11","1.4630e+000","4.1492e-003","1.1252e+000","-3.7704e-003","-2.8779e-001","-3.4666e-002"
""," 179.8642e-11","1.4628e+000","4.1421e-003","1.1236e+000","-3.8000e-003","-2.9085e-001","-3.4853e-002"
""," 180.8417e-11","1.4633e+000","4.1987e-003","1.1215e+000","-3.8394e-003","-2.9382e-001","-3.5034e-002"
""," 181.8192e-11","1.4644e+000","4.2023e-003","1.1203e+000","-3.8481e-003","-2.9667e-001","-3.5207e-002"
""," 182.7968e-11","1.4660e+000","4.2389e-003","1.1179e+000","-3.8963e-003","-2.9961e-001","-3.5387e-002"
""," 183.7743e-11","1.4660e+000","4.2015e-003","1.1150e+000","-3.8564e-003","-3.0285e-001","-3.5590e-002"
""," 184.7518e-11","1.4667e+000","4.2026e-003","1.1131e+000","-3.8819e-003","-3.0618e-001","-3.5801e-002"
