"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 06:17:34 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.H18 (at pin)"
"Probe 2: U15.H17 (at pin)"
"Probe 3 (Differential): P7.C20 (at pin)/P7.C19 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4819e+000",DC,"1.0692e+000",DC,"4.0055e-001",DC
"","   0.1955e-10","1.4819e+000","3.9797e-003","1.0692e+000","-3.9810e-003","4.0051e-001","8.0083e-003"
"","   0.3910e-10","1.4819e+000","3.9814e-003","1.0692e+000","-3.9842e-003","4.0054e-001","8.0102e-003"
"","   0.5865e-10","1.4819e+000","3.9828e-003","1.0692e+000","-3.9869e-003","4.0054e-001","8.0101e-003"
"","   0.7820e-10","1.4819e+000","3.9826e-003","1.0692e+000","-3.9893e-003","4.0054e-001","8.0101e-003"
"","   0.9775e-10","1.4811e+000","3.9643e-003","1.0700e+000","-3.9913e-003","4.0058e-001","8.0105e-003"
"","   1.1730e-10","1.4809e+000","3.9035e-003","1.0702e+000","-3.9922e-003","4.0056e-001","8.0112e-003"
"","   1.3685e-10","1.4810e+000","3.6921e-003","1.0701e+000","-3.9695e-003","4.0056e-001","8.0115e-003"
"","   1.5640e-10","1.4810e+000","3.4634e-003","1.0700e+000","-3.9044e-003","4.0056e-001","8.0111e-003"
"","   1.7595e-10","1.4809e+000","3.1879e-003","1.0699e+000","-3.6682e-003","4.0056e-001","8.0113e-003"
"","   1.9550e-10","1.4800e+000","3.0362e-003","1.0698e+000","-3.4193e-003","4.0056e-001","8.0111e-003"
"","   2.1505e-10","1.4765e+000","2.8579e-003","1.0699e+000","-3.1825e-003","4.0056e-001","8.0111e-003"
