"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 13 February 2008   Time: 06:19:00 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.L18 (at pin)"
"Probe 2: U15.K17 (at pin)"
"Probe 3 (Differential): P7.F20 (at pin)/P7.F19 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","1.4819e+000",DC,"1.0692e+000",DC,"4.0053e-001",DC
"","   0.1955e-10","1.4819e+000","3.9793e-003","1.0692e+000","-3.9807e-003","4.0053e-001","8.0105e-003"
"","   0.3911e-10","1.4819e+000","3.9811e-003","1.0692e+000","-3.9839e-003","4.0053e-001","8.0105e-003"
"","   0.5866e-10","1.4819e+000","3.9825e-003","1.0692e+000","-3.9867e-003","4.0053e-001","8.0105e-003"
"","   0.7822e-10","1.4818e+000","3.9799e-003","1.0694e+000","-3.9891e-003","4.0053e-001","8.0105e-003"
"","   0.9777e-10","1.4809e+000","3.9568e-003","1.0702e+000","-3.9911e-003","4.0053e-001","8.0105e-003"
"","   1.1732e-10","1.4809e+000","3.8717e-003","1.0702e+000","-3.9878e-003","4.0053e-001","8.0105e-003"
"","   1.3688e-10","1.4810e+000","3.6488e-003","1.0700e+000","-3.9624e-003","4.0053e-001","8.0105e-003"
"","   1.5643e-10","1.4810e+000","3.4210e-003","1.0699e+000","-3.8889e-003","4.0053e-001","8.0105e-003"
"","   1.7599e-10","1.4805e+000","3.1937e-003","1.0698e+000","-3.6647e-003","4.0053e-001","8.0105e-003"
"","   1.9554e-10","1.4788e+000","3.0018e-003","1.0698e+000","-3.3635e-003","4.0053e-001","8.0105e-003"
"","   2.1509e-10","1.4724e+000","2.8232e-003","1.0704e+000","-3.1467e-003","4.0053e-001","8.0105e-003"
"","   2.3465e-10","1.4635e+000","2.5616e-003","1.0723e+000","-2.9069e-003","4.0053e-001","8.0105e-003"
"","   2.5420e-10","1.4542e+000","1.9195e-003","1.0776e+000","-2.4006e-003","4.0053e-001","8.0105e-003"
"","   2.7375e-10","1.4458e+000","1.1762e-003","1.0884e+000","-1.7309e-003","4.0053e-001","8.0105e-003"
"","   2.9331e-10","1.4382e+000","4.8962e-004","1.0993e+000","-7.9214e-004","4.0053e-001","8.0105e-003"
"","   3.1286e-10","1.4311e+000","-1.3676e-004","1.1072e+000","2.5037e-004","4.0053e-001","8.0105e-003"
"","   3.3242e-10","1.4132e+000","-6.9401e-004","1.1218e+000","1.2316e-003","4.0053e-001","8.0105e-003"
"","   3.5197e-10","1.3841e+000","-1.1778e-003","1.1456e+000","2.1298e-003","4.0053e-001","8.0105e-003"
"","   3.7152e-10","1.3560e+000","-1.6202e-003","1.1774e+000","2.7876e-003","4.0053e-001","8.0105e-003"
"","   3.9108e-10","1.3293e+000","-2.0116e-003","1.2175e+000","3.3702e-003","4.0053e-001","8.0105e-003"
"","   4.1063e-10","1.3046e+000","-2.4279e-003","1.2583e+000","3.9381e-003","4.0053e-001","8.0105e-003"
"","   4.3019e-10","1.2823e+000","-2.7362e-003","1.2966e+000","4.3665e-003","4.0053e-001","8.0105e-003"
"","   4.4974e-10","1.2624e+000","-2.8584e-003","1.3284e+000","4.6791e-003","4.0053e-001","8.0105e-003"
"","   4.6929e-10","1.2444e+000","-2.9575e-003","1.3549e+000","4.8154e-003","4.0053e-001","8.0105e-003"
"","   4.8885e-10","1.2280e+000","-3.0302e-003","1.3792e+000","4.8183e-003","4.0053e-001","8.0105e-003"
"","   5.0840e-10","1.2126e+000","-3.1039e-003","1.4001e+000","4.7759e-003","4.0053e-001","8.0105e-003"
"","   5.2796e-10","1.2020e+000","-3.1769e-003","1.4160e+000","4.6603e-003","4.0053e-001","8.0105e-003"
"","   5.4751e-10","1.1936e+000","-3.2466e-003","1.4278e+000","4.6125e-003","4.0053e-001","8.0105e-003"
"","   5.6706e-10","1.1864e+000","-3.3028e-003","1.4348e+000","4.5872e-003","4.0053e-001","8.0105e-003"
"","   5.8662e-10","1.1798e+000","-3.3733e-003","1.4394e+000","4.5585e-003","4.0053e-001","8.0105e-003"
"","   6.0617e-10","1.1734e+000","-3.4181e-003","1.4420e+000","4.5220e-003","4.0053e-001","8.0105e-003"
"","   6.2572e-10","1.1675e+000","-3.5016e-003","1.4439e+000","4.5012e-003","4.0053e-001","8.0105e-003"
"","   6.4528e-10","1.1621e+000","-3.5889e-003","1.4469e+000","4.4721e-003","4.0053e-001","8.0105e-003"
"","   6.6483e-10","1.1569e+000","-3.6605e-003","1.4497e+000","4.4903e-003","4.0053e-001","8.0105e-003"
"","   6.8439e-10","1.1521e+000","-3.7261e-003","1.4518e+000","4.5094e-003","4.0053e-001","8.0105e-003"
"","   7.0394e-10","1.1473e+000","-3.7961e-003","1.4540e+000","4.5442e-003","4.0053e-001","8.0105e-003"
"","   7.2349e-10","1.1422e+000","-3.8672e-003","1.4555e+000","4.5822e-003","4.0053e-001","8.0105e-003"
"","   7.4305e-10","1.1376e+000","-3.9343e-003","1.4571e+000","4.5953e-003","4.0053e-001","8.0105e-003"
"","   7.6260e-10","1.1337e+000","-3.9828e-003","1.4592e+000","4.5950e-003","4.0053e-001","8.0105e-003"
"","   7.8216e-10","1.1300e+000","-4.0222e-003","1.4611e+000","4.5978e-003","4.0053e-001","8.0105e-003"
"","   8.0171e-10","1.1260e+000","-4.0568e-003","1.4632e+000","4.5934e-003","4.0053e-001","8.0105e-003"
"","   8.2126e-10","1.1223e+000","-4.0785e-003","1.4647e+000","4.5917e-003","4.0053e-001","8.0105e-003"
"","   8.4082e-10","1.1189e+000","-4.0963e-003","1.4658e+000","4.5917e-003","4.0053e-001","8.0105e-003"
"","   8.6037e-10","1.1162e+000","-4.1102e-003","1.4665e+000","4.5883e-003","4.0053e-001","8.0105e-003"
"","   8.7993e-10","1.1139e+000","-4.1281e-003","1.4671e+000","4.5874e-003","4.0053e-001","8.0105e-003"
