C1       TPSD227K010R0050                 292.000    72.100     Top                            270          3.1MM                            220UF    
C2       1210YD226KAT2A                   291.892    61.125     Top                            90           2.79MM                           22UF     
C3       C0402X7R160-104KN                41.100     103.217    Top                            0            0.55MM                           0.1UF    
C4       C0402X7R160-104KN                297.834    229.559    Bottom                         0            0.55MM                           0.1UF    
C5       GRM155R71A104KAO1B               237.058    18.810     Top                            90           0.55MM                           100NF    
C6       GRM155R71E103KAO1B               233.629    22.696     Top                            270          0.55MM                           10NF     
C7       GRM21BR60J106KE19L               129.500    86.000     Top                            90           1.35MM                           10UF     
C8       GRM21BR60J106KE19L               152.000    164.000    Top                            90           1.35MM                           10UF     
C9       GRM21BR60J106KE19L               117.500    86.000     Top                            90           1.35MM                           10UF     
C10      ECJ-0EB0J224K                    141.000    121.000    Bottom                         0            0.55MM                           220NF    
C11      ECJ-0EB0J224K                    139.000    127.000    Bottom                         0            0.55MM                           220NF    
C12      ECJ-0EB0J224K                    137.000    125.000    Bottom                         0            0.55MM                           220NF    
C13      GRM155R71A104KAO1B               213.440    77.071     Bottom                         90           0.55MM                           100NF    
C14      GRM155R71E103KAO1B               242.087    25.490     Top                            270          0.55MM                           10NF     
C15      GRM155R71A104KAO1B               248.996    18.810     Top                            90           0.55MM                           100NF    
C16      GRM155R71E103KAO1B               245.288    22.671     Top                            270          0.55MM                           10NF     
C17      GRM155R71E103KAO1B               254.076    25.566     Top                            270          0.55MM                           10NF     
C18      ECJ-0EB0J224K                    233.705    25.897     Top                            270          0.55MM                           220NF    
C19      ECJ-0EB0J224K                    245.288    25.490     Top                            270          0.55MM                           220NF    
C20      GRM155R71A104KAO1B               254.076    18.810     Top                            270          0.55MM                           100NF    
C21      GRM1555C1H220JZ01B               296.500    129.000    Top                            0            0.55MM                           22PF     
C22      GRM1555C1H220JZ01B               47.300     109.817    Top                            0            0.55MM                           22PF     
C23      GRM21BR60J106KE19L               86.500     117.500    Top                            0            1.35MM                           10UF     
C24      GRM21BR60J106KE19L               86.500     98.000     Top                            0            1.35MM                           10UF     
C25      GRM21BR60J106KE19L               115.000    164.000    Top                            90           1.35MM                           10UF     
C26      GRM21BR60J106KE19L               174.000    164.000    Top                            90           1.35MM                           10UF     
C27      GRM21BR60J106KE19L               146.000    164.000    Top                            90           1.35MM                           10UF     
C28      GRM21BR60J106KE19L               86.500     85.000     Top                            0            1.35MM                           10UF     
C29      GRM21BR60J106KE19L               157.500    86.000     Top                            90           1.35MM                           10UF     
C30      GRM21BR60J106KE19L               135.500    86.000     Top                            270          1.35MM                           10UF     
C31      GRM21BR60J106KE19L               141.500    86.000     Top                            270          1.35MM                           10UF     
C32      GRM155R71A104KAO1B               242.138    18.810     Top                            270          0.55MM                           100NF    
C33      GRM155R60J103KA01J               31.800     209.600    Top                            270          0.55MM                           10NF     
C34      ECJ-0EB0J224K                    106.013    209.605    Top                            0            0.55MM                           220NF    
C35      ECJ-0EB0J224K                    86.496     216.540    Top                            90           0.55MM                           220NF    
C36      ECJ-0EB0J224K                    78.393     220.223    Top                            0            0.55MM                           220NF    
C37      ECJ-0EB0J224K                    97.443     213.518    Top                            270          0.55MM                           220NF    
C38      ECJ-0EB0J224K                    97.519     216.515    Top                            90           0.55MM                           220NF    
C39      ECJ-0EB0J224K                    41.208     220.655    Top                            0            0.55MM                           220NF    
C40      ECJ-0EB0J224K                    50.758     211.079    Top                            270          0.55MM                           220NF    
C41      ECJ-0EB0J224K                    61.197     213.568    Top                            270          0.55MM                           220NF    
C42      ECJ-0EB0J224K                    51.672     218.013    Top                            0            0.55MM                           220NF    
C43      ECJ-0EB0J224K                    60.791     216.007    Top                            0            0.55MM                           220NF    
C44      ECJ-0EB0J224K                    50.783     213.441    Top                            270          0.55MM                           220NF    
C45      ECJ-0EB0J224K                    86.750     212.883    Top                            270          0.55MM                           220NF    
C46      GRM155R71E103KAO1B               162.000    113.500    Bottom                         180          0.55MM                           10NF     
C47      08053C225KAT2A                   244.974    38.374     Top                            0            1.4MM                            2.2UF    
C48      04023A180KAT2A                   243.200    66.200     Top                            270          0.55MM                           18PF     
