Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 214960  Y 208661
X 216141  Y 109055
X 220472  Y 109055
X 238188  Y 116141
X 294488  Y 112992
X 296850  Y 112992
X 299212  Y 112992
X 324015  Y 203543
X 340157  Y 172834
X 361811  Y 172834
X 592125  Y 170866
X 645275  Y 157086
X 684645  Y 174803
X 706299  Y 174803
X 943772  Y 157144
X 946456  Y 172834
X 999606  Y 141338
X 1025196  Y 159055
X 1035267  Y 205992
X 1039267  Y 205992
X 1082267  Y 205992
X 1086267  Y 205992
X 1218890  Y 238582
X 1211604  Y 238582
X 725196  Y 233464
X 725196  Y 257086
X 722440  Y 233464
X 722440  Y 257086
X 719328  Y 233560
X 716664  Y 233549
X 713422  Y 233560
X 713385  Y 258267
X 710758  Y 233549
X 710629  Y 258267
X 707517  Y 233560
X 707480  Y 258267
X 704853  Y 233549
X 704724  Y 258267
X 701611  Y 233560
X 698947  Y 233549
X 695706  Y 233560
X 695669  Y 258267
X 693042  Y 233549
X 692913  Y 258267
X 689800  Y 233560
X 689763  Y 258267
X 687136  Y 233549
X 687007  Y 258267
X 683894  Y 233560
X 681231  Y 233549
X 677989  Y 233560
X 677952  Y 258267
X 675325  Y 233549
X 675196  Y 258267
X 672083  Y 233560
X 672047  Y 258267
X 669420  Y 233549
X 669291  Y 258267
X 646493  Y 233560
X 646456  Y 258267
X 643829  Y 233549
X 643700  Y 258267
X 640587  Y 233560
X 637924  Y 233549
X 634682  Y 233560
X 634645  Y 258267
X 632018  Y 233549
X 631889  Y 258267
X 628776  Y 233560
X 628740  Y 258267
X 626113  Y 233549
X 625984  Y 258267
X 622871  Y 233560
X 622834  Y 258267
X 620207  Y 233549
X 620078  Y 258267
X 616965  Y 233560
X 614302  Y 233549
X 611060  Y 233560
X 611023  Y 258267
X 608396  Y 233549
X 608267  Y 258267
X 605154  Y 233560
X 605118  Y 258267
X 602490  Y 233549
X 602362  Y 258267
X 599249  Y 233560
X 599212  Y 258267
X 596585  Y 233549
X 596456  Y 258267
X 593343  Y 233560
X 593307  Y 258267
X 590679  Y 233549
X 590551  Y 258267
X 349509  Y 210937
X 247637  Y 235433
X 238582  Y 256692
X 237007  Y 239763
