"Overview [Pass/Fail]","Net(s)","Coupled Net(s)","Driver(s) [RefDes.Pin]","Receiver [RefDes.Pin]","Simulation Corner","Rise Min Delay [ns]","Rise Max Delay [ns]","Rise Ref Time-to-Vmeas [ns]","Fall Min Delay [ns]","Fall Max Delay [ns]","Fall Ref Time-to-Vmeas [ns]","Flight Time Comp. [Yes/No]","Driver Meas [Pin/Die]","Receiver Meas [Pin/Die]","Diff Meas [Yes/No]","Rise Overshoot Rail [mV]","Fall Overshoot Rail [mV]","Rise Overshoot SI [mV]","Fall Overshoot SI [mV]","Rise/Fall Monotonic [Pass/Fail]","Rise/Fall Multi Cross [Pass/Fail]","Rise/Fall Threshold [Pass/Fail]","Rise/Fall Crosstalk [mV]","Rise/Fall Delay Error [Pass/Fail]","Rise/Fall Rail Overshoot [Pass/Fail]","Rise/Fall SI Overshoot [Pass/Fail]","Rise/Fall Crosstalk [Pass/Fail]","Driver Model File","Driver Model Name","Receiver Model File","Receiver Model Name","Total Net Length","Comments"
"Fail","PADD21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
