Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
C2       Top                               275.349   -172.614 90         2.79MM                           AVX                              1210YD226KAT2A                   22UF     
C3       Top                                24.556   -130.522 0          0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C4       Bottom                            281.290     -4.180 0          0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C5       Top                               220.514   -214.929 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C6       Top                               217.085   -211.042 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C7       Top                               112.956   -147.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C8       Top                               135.456    -69.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C9       Top                               100.956   -147.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C10      Bottom                            124.456   -112.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C11      Bottom                            122.456   -106.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C12      Bottom                            120.456   -108.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C13      Bottom                            196.896   -156.668 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C14      Top                               225.544   -208.248 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C15      Top                               232.452   -214.929 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C16      Top                               228.744   -211.068 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C17      Top                               237.532   -208.172 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C18      Top                               217.162   -207.842 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C19      Top                               228.744   -208.248 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C20      Top                               237.532   -214.929 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C21      Top                               279.956   -104.739 0          0.55MM                           MURATA                           GRM1555C1H220JZ01B               22PF     
C22      Top                                30.756   -123.922 0          0.55MM                           MURATA                           GRM1555C1H220JZ01B               22PF     
C23      Top                                69.956   -116.239 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C24      Top                                69.956   -135.739 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C25      Top                                98.456    -69.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C26      Top                               157.456    -69.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C27      Top                               129.456    -69.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C28      Top                                69.956   -148.739 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C29      Top                               140.956   -147.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C30      Top                               118.956   -147.739 270        1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C31      Top                               124.956   -147.739 270        1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C32      Top                               225.594   -214.929 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C33      Top                                15.256    -24.139 270        0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C34      Top                                89.470    -24.133 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C35      Top                                69.952    -17.198 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C36      Top                                61.850    -13.515 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C37      Top                                80.900    -20.221 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C38      Top                                80.976    -17.224 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C39      Top                                24.664    -13.084 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C40      Top                                34.214    -22.659 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C41      Top                                44.654    -20.170 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C42      Top                                35.129    -15.725 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C43      Top                                44.247    -17.732 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C44      Top                                34.240    -20.297 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C45      Top                                70.206    -20.856 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C46      Bottom                            145.456   -120.239 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C47      Top                               228.430   -195.365 0          1.4MM                            AVX                              08053C225KAT2A                   2.2UF    
C48      Top                               226.000   -167.600 270        0.55MM                           AVX                              04023A180KAT2A                   18PF     
C49      Top                               235.300   -167.500 270        0.55MM                           AVX                              04023A180KAT2A                   18PF     
C50      Bottom                            148.956   -110.739 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C51      Top                               236.900   -179.300 270        0.55MM                           AVX                              04023A180KAT2A                   18PF     
